year;MLABIL01_;MLABIL02_;MLABIL04_;MLABIL06_;MLABIL07_;MLABIL10_;MLABIL11_;MLABIL13_;MLABIL14_;MLABIL16_;aver
1859;176.6750793;217.9693298;309.0563049;195.0606232;139.4846497;0;0;166.0631561;216.7201538;227.8971558;164.8926453
1860;256.0736694;325.5523987;351.5922241;319.7602844;196.72258;0;203.4552155;235.8490448;323.2667542;310.1234741;252.2395645
1861;338.3780823;428.1550903;430.6657715;462.3738098;227.6555786;0;330.3709717;297.2390137;361.2188721;330.2394409;320.6296631
1862;283.4732666;307.4375;298.5139465;301.3631592;245.4246521;0;224.6608582;250.0543671;297.7965393;264.2626953;247.2986984
1863;324.1417542;316.7309875;398.1252441;423.3442688;243.6303864;0;311.4377136;273.1984863;315.3918762;302.0054626;290.800618
1864;319.1460266;263.7869263;318.6473389;262.6291504;260.137146;0;201.6047363;240.9103088;271.6584167;251.4216919;238.9941742
1865;295.8193054;261.3079834;396.2027283;342.2874451;145.7252502;324.8210754;249.6521759;145.0785675;170.382309;273.6250305;260.4901871
1866;297.0607605;307.4886475;352.6994934;343.7754211;139.9342194;456.1533203;223.234726;142.1546783;276.6930237;255.2342682;279.4428558
1867;324.0215759;317.9450378;361.3491211;381.2776489;128.1609802;454.5211182;223.5665131;160.6191864;344.2690125;284.2486877;297.9978882
1868;272.5326843;351.3948364;356.8725586;460.4326172;210.3382874;457.1865845;264.480957;195.8171997;350.5491943;306.8819885;322.6486908
1869;326.87677;297.4364319;418.9261169;490.1141052;190.272171;445.0508118;318.2089844;197.2815552;414.4489136;253.861969;335.2477829
1870;371.4142456;350.008728;454.7713013;525.3041382;250.0034332;452.8035278;302.0950623;244.2570648;403.4938049;327.5045776;368.1655884
1871;424.730835;295.2220459;508.7957764;570.2214355;277.779541;448.3305054;354.5055237;261.4454346;465.5464783;387.3592224;399.3936798
1872;339.9465027;227.2542267;470.9762573;316.058197;223.921524;353.1192017;259.1281738;228.3040619;327.2610779;330.3544312;307.6323654
1873;378.4196777;245.0206604;496.5237427;379.9855957;316.4561768;376.2051697;268.0744934;290.4851074;365.4969788;376.0603943;349.2727997
1874;355.1058044;180.0786896;410.464447;285.2520142;233.5916443;305.8369446;251.4324493;277.4365845;317.3745728;356.8665161;297.3439667
1875;531.6126099;261.0851135;527.3067627;422.7022705;339.2164917;373.9818726;363.2957153;352.5917664;412.8102112;465.5067749;405.0109589
1876;386.1816101;247.7926331;404.7184143;268.0739441;290.6924744;299.6037598;315.6330872;275.067749;311.9169006;299.2784424;309.8959015
1877;457.3452759;292.5977478;502.1947937;398.7962341;328.5477905;355.4790649;336.4026184;298.6509399;404.1507263;396.7859497;377.0951141
1878;430.5250854;256.7653503;485.6759644;376.4053955;343.3542175;385.9263306;312.2468262;334.0233154;449.6351929;442.8652039;381.7422882
1879;378.5784912;255.8649597;379.8210754;447.8098145;316.4212341;385.7796021;280.3744812;307.2807007;482.4020996;410.958374;364.5290833
1880;484.3158264;266.1462708;481.1418457;400.0332336;327.6536865;348.2512512;320.8502502;327.4607544;378.3396301;390.7577515;372.49505
1881;332.3047791;305.8398743;525.6831055;440.789978;310.6574707;483.4348755;380.3119507;348.5403748;478.7982483;474.2344971;408.0595154
1882;382.3751831;264.8062439;437.905304;298.3623047;214.194519;359.9220581;302.7242126;280.3085632;308.9481812;329.3592834;317.8905853
1883;368.8410645;333.5230408;402.6967468;439.1812744;327.9148254;400.3547363;388.4660034;330.5334778;387.0837708;418.7385254;379.7333466
1884;532.322876;367.3312988;544.4755859;410.1747131;346.5516968;414.1966553;443.676239;305.7162781;512.5827026;442.1822205;431.9210266
1885;474.5238342;384.9364929;532.9235229;412.0039673;338.1199951;400.5486755;302.8742065;299.4708252;444.4407654;421.1205444;401.096283
1886;534.0088501;379.6052551;406.8250732;394.2371826;374.6682739;467.2279053;409.372406;336.0017395;452.977478;462.5569763;421.748114
1887;422.9345093;335.3460693;429.2611694;403.7155457;331.6679382;369.6535034;289.4037476;275.1878967;483.8785095;393.7257996;373.4774689
1888;567.2840576;302.0587463;482.7702942;337.5198364;297.6725159;459.4884338;346.4114685;300.1972961;585.2190552;459.7979126;413.8419617
1889;358.865448;424.5963745;496.763031;463.1568298;337.1282959;470.9444885;356.8861389;357.9112549;555.4859009;490.3890076;431.212677
1890;455.8665466;343.6631775;464.9336243;393.2564392;391.4580383;434.7614136;325.3395996;315.812439;679.6564941;441.7961121;424.6543884
1891;567.4233398;406.8365479;541.5655518;385.7188416;410.7599792;420.2443848;409.7399902;329.3350525;622.359375;449.2172852;454.3200348
1892;566.6832886;414.1054688;567.0048218;395.2015381;428.3243103;522.2059937;412.4960632;392.3656921;748.4638672;468.5003662;491.535141
1893;484.5714417;323.7996826;391.1526489;252.1324615;320.9781799;306.5880127;304.6973267;238.9650421;459.7701111;343.8952942;342.6550201
1894;548.2564087;312.2895203;498.2671814;319.914917;338.0292664;415.4078674;377.7494507;282.480957;310.8233337;477.6882324;388.0907135
1895;433.0595093;284.9869995;422.3416138;273.591156;259.9163208;438.6715698;318.321167;277.1638794;480.3636169;393.7779541;358.2193787
1896;451.7662659;297.9104919;473.4633789;408.9281921;354.188385;386.3908081;333.0796509;261.2770386;457.6222229;429.5480347;385.4174469
1897;491.6644287;359.305481;577.4910889;368.514679;336.4504395;400.8320923;397.4314575;241.1052856;536.8139038;470.5748901;418.0183746
1898;624.9070435;396.0426636;599.0441895;493.6384277;321.7233582;476.8955383;430.5018921;310.9022522;617.5235596;525.4207153;479.659964
1899;545.4729614;377.7167358;562.2027588;299.5428162;363.8073425;407.4428406;373.5306396;311.7358704;591.9608154;543.845459;437.725824
1900;606.4204102;361.3414001;615.9532471;421.8887634;291.0558167;477.5982666;370.7939453;303.161499;527.741394;531.3112183;450.7265961
1901;636.0409546;473.7520752;643.0705566;446.8071899;432.8285522;504.7532349;381.8670349;340.5594177;523.0601196;508.87677;489.1615906
1902;573.9423828;581.144043;678.133728;455.0100708;386.1050415;456.7471313;514.9370117;308.5612793;492.329071;480.4088745;492.7318634
1903;528.8337402;542.7017212;396.4890137;475.76297;383.2208557;470.7824097;445.2230225;428.9082642;423.7353821;392.1712341;448.7828613
1904;584.2160645;540.1325073;615.5743408;500.4677429;393.5246582;540.7526855;488.9924927;452.026001;557.545166;482.9648438;515.6196503
1905;545.9536133;480.5153809;560.154541;410.3454895;477.4183044;466.5670471;395.8950195;450.6567078;572.8619995;430.4015808;479.0769684
1906;624.8189697;577.4240112;594.2573853;538.5404053;519.1385498;563.2960205;483.7143555;519.9212646;679.8637695;521.6450195;562.2619751
1907;668.8290405;633.5599976;534.517395;530.9838867;445.182251;601.866394;494.1437683;530.2731934;651.505127;486.8823547;557.7743408
1908;480.3034668;477.7744751;435.4137878;463.4057312;277.7987366;393.865387;363.931427;490.3870239;511.7886047;392.2256165;428.6894257
1909;519.2359009;381.1639404;398.0805054;319.61026;350.4612427;477.4037476;459.8036804;417.5803223;472.2540283;373.9833069;416.9576935
1910;636.8474121;541.7869263;597.7523804;410.1782532;466.455719;466.4646606;447.84375;526.6866455;581.0390015;550.1074219;522.516217
1911;678.0423584;473.3512268;564.0996704;492.3295593;375.1729126;595.1588135;494.8531799;544.8820801;629.6325684;343.5180054;519.1040375
1912;588.8720703;554.4829102;586.5286865;435.6573181;403.9774475;539.265564;439.4402771;502.938446;495.3703918;452.0084229;499.8541534
1913;463.6922302;462.2880249;399.6552429;332.0282288;300.5456238;447.4222717;361.062561;399.3105469;468.2698059;362.9806824;399.7255219
1914;763.5924072;499.0325012;551.5019531;611.3936768;394.6508484;613.1322021;517.3421021;655.4325562;503.1683044;340.9160767;545.0162628
1915;696.2202148;578.7341919;601.9949341;523.7679443;428.1995239;625.4871826;566.0724487;624.5357056;568.1503296;386.9164429;560.0078918
1916;630.4187012;522.4473267;574.6361084;517.0131836;363.0845032;597.0932007;421.9772949;579.5507202;509.2606506;295.3674316;501.0849121
1917;680.3416748;485.2733765;577.4777222;582.5790405;397.8319397;797.7362671;414.5566711;615.3218994;371.5847778;329.0930176;525.1796387
1918;620.6013794;498.773468;624.682312;615.2394409;329.4562073;543.9838867;328.914032;605.5222778;527.7055054;317.5635071;501.2442017
1919;571.9390869;495.6497498;536.902771;524.8825073;269.4170837;511.9515076;389.1368713;481.995575;414.5104065;327.080658;452.3466217
1920;595.8008423;487.3840027;577.1424561;585.6437988;345.8636169;469.4082947;476.7078247;557.7476807;496.0827942;398.446228;499.0227539
1921;473.3465271;404.5769043;314.6199951;300.6717834;276.199646;452.1750183;292.1712341;389.0253906;322.5289307;292.3570251;351.7672455
1922;709.0198364;627.7727051;631.0921631;580.0310059;388.4467468;541.7028198;529.9614868;650.5491943;659.8059692;406.2538757;572.4635803
1923;592.9135742;577.7346802;636.3301392;568.6557007;333.1586914;587.0615234;422.1725159;610.9710693;595.3962402;367.7073364;529.2101471
1924;601.1084595;612.0308838;681.2773438;536.2302246;433.2886353;594.4241943;473.5316467;651.7200317;606.2608643;471.0525818;566.0924866
1925;630.6577759;459.5630188;606.2752075;585.1984863;414.2035522;618.265564;433.328186;621.8260498;669.6881714;395.5783997;543.4584412
1926;597.1381226;517.4205933;691.3487549;633.7810059;373.3935547;596.0414429;446.8041077;557.430481;592.354248;425.5128174;543.1225128
1927;671.8641357;565.0187988;699.3067627;574.8032227;414.6418762;621.9406738;485.5514526;588.9036865;629.536438;432.0670776;568.3634125
1928;632.2042236;463.0250549;529.1954346;606.2496338;413.7162781;544.0896606;412.7703857;626.3016968;508.4529724;409.4057007;514.5411041
1929;651.8106079;528.1656494;732.1235962;689.4212036;372.0093689;637.4741211;436.4625244;639.4086914;503.1427307;452.4278259;564.244632
1930;735.9163818;569.3999634;499.3449402;815.3444824;463.7093506;641.8648682;577.8955078;754.5255127;525.4252319;445.6938477;602.9120087
