year,MaxLABIL01_,MaxLABIL02_,MaxLABIL04_,MaxLABIL06_,MaxLABIL07_,MaxLABIL10_,MaxLABIL11_,MaxLABIL13_,MaxLABIL14_,MaxLABIL16_
1883,2388.627685546875,1625.086181640625,2475.9072265625,1620.5831298828125,1697.1353759765625,2049.341552734375,1596.9267578125,1516.6824951171875,2170.56298828125,2023.3895263671875
1884,2276.5146484375,2044.6768798828125,2364.967041015625,1794.9559326171875,1450.4161376953125,1935.3876953125,1579.4713134765625,1483.964111328125,2261.739013671875,1759.8465576171875
1885,2322.249267578125,2062.969482421875,2312.5908203125,1539.563720703125,1698.3731689453125,1875.87890625,1465.557373046875,1395.046630859375,2345.88037109375,1608.472900390625
1886,2430.10791015625,2331.318603515625,1750.009765625,1549.0184326171875,1592.661865234375,1608.3082275390625,1347.1446533203125,1448.4273681640625,1874.662353515625,1358.496337890625
1887,1869.45458984375,1761.2420654296875,2024.5618896484375,2245.543212890625,1604.17431640625,2155.4990234375,1272.4139404296875,1958.356689453125,2429.269775390625,1737.749267578125
1888,2391.894287109375,2249.12255859375,2073.986083984375,1515.7041015625,1713.7928466796875,2316.2275390625,1508.96826171875,1557.580810546875,2362.048095703125,1702.043701171875
1889,1634.02734375,2389.932373046875,1989.0867919921875,2047.057861328125,1515.011962890625,2031.571533203125,1583.6563720703125,1832.4505615234375,1692.7314453125,1598.443115234375
1890,1969.70947265625,2412.924560546875,1698.340576171875,1298.5406494140625,1831.4010009765625,1568.703369140625,1251.3658447265625,1298.181396484375,1680.7557373046875,1360.8077392578125
1891,2451.007080078125,2250.036865234375,2257.6318359375,1530.0946044921875,2036.75,1630.1727294921875,1428.4737548828125,1571.083251953125,2081.736083984375,1375.9371337890625
1892,2035.1007080078125,2407.953857421875,2045.6434326171875,1454.41162109375,1998.071044921875,2313.943603515625,1580.6746826171875,1977.873291015625,1961.7421875,1349.8306884765625
1893,2357.9970703125,1401.516845703125,2029.359619140625,952.5493774414062,1414.4600830078125,1067.3720703125,1434.750244140625,1557.4747314453125,1056.82177734375,934.5891723632812
1894,2475.908203125,1420.461669921875,2479.947021484375,1205.7420654296875,1717.3565673828125,2049.73095703125,1526.2249755859375,1594.9947509765625,1327.56201171875,1900.7431640625
1895,2410.15283203125,1266.594970703125,1600.8646240234375,1113.4798583984375,1804.0667724609375,2309.868408203125,1424.975830078125,1748.5621337890625,2365.966064453125,1061.5831298828125
1896,2497.09423828125,1936.999755859375,1828.32958984375,1137.877197265625,1357.82568359375,1453.8543701171875,1407.7308349609375,1656.260498046875,1410.4053955078125,1690.9879150390625
1897,2425.982177734375,1431.8731689453125,2076.53173828125,1218.940673828125,1696.8182373046875,2388.055419921875,1531.9678955078125,1418.107177734375,1582.884033203125,1625.6917724609375
1898,2357.0615234375,1905.6114501953125,2384.98486328125,1351.7427978515625,1882.685302734375,2335.627685546875,1535.52978515625,1612.4063720703125,2097.40625,1943.6734619140625
1899,2011.7581787109375,1759.0501708984375,1975.5545654296875,1179.474609375,1507.6346435546875,2087.162841796875,1463.2340087890625,1606.9637451171875,1891.6505126953125,1390.7664794921875
1900,2419.5361328125,1954.315673828125,2024.046142578125,1291.1497802734375,1776.6365966796875,1973.1488037109375,1558.379638671875,1751.2056884765625,2324.984130859375,1656.4127197265625
1901,2469.987548828125,2076.948974609375,2350.4580078125,1556.33544921875,1919.2301025390625,2380.51123046875,1821.736572265625,2235.5458984375,1756.3505859375,2240.68798828125
1902,2481.222900390625,2182.612060546875,2464.249267578125,1407.018798828125,2140.688720703125,1843.5079345703125,1579.764404296875,2001.8779296875,2049.116943359375,2409.98876953125
1903,1805.676513671875,2047.21826171875,2264.86376953125,1291.8834228515625,2258.13330078125,2147.001220703125,1572.606201171875,2037.471923828125,1713.4093017578125,2387.635986328125
1904,2436.194091796875,2237.41796875,2390.007568359375,1422.8878173828125,1815.40185546875,2281.5615234375,2235.283203125,2187.334228515625,2147.743896484375,2361.913330078125
1905,2310.630615234375,2390.44384765625,2490.774658203125,1115.5059814453125,1559.4190673828125,2491.987060546875,1548.99609375,2011.8743896484375,1641.8182373046875,2104.150634765625
1906,2457.135498046875,2447.69287109375,2469.12890625,1398.0048828125,2024.3345947265625,2483.07470703125,1761.37353515625,2395.98486328125,2000.0213623046875,2398.003173828125
1907,2471.766845703125,2414.3212890625,2429.19580078125,1641.139404296875,1885.6219482421875,2329.5068359375,2095.85498046875,2439.50341796875,2076.193359375,2471.392578125
1908,2286.57421875,2468.853759765625,2420.097900390625,1383.7021484375,1513.9664306640625,2040.5213623046875,1658.19970703125,1910.73974609375,2005.862060546875,1962.827880859375
1909,2495.874267578125,2456.509521484375,2493.738525390625,982.8011474609375,1457.458740234375,2259.539794921875,1826.1981201171875,1737.575439453125,2469.5556640625,1621.324462890625
1910,2484.86279296875,2090.30322265625,2413.9013671875,1405.470458984375,1863.173828125,2141.53466796875,1701.5394287109375,2336.491943359375,2486.105712890625,2490.95458984375
1911,2475.017578125,2064.849853515625,2482.75830078125,1703.95947265625,1763.715087890625,2348.292724609375,1734.0401611328125,2120.990478515625,2279.3984375,2269.675537109375
1912,2217.218994140625,2336.974853515625,2391.47119140625,1289.60595703125,1837.866455078125,2385.21533203125,2225.447265625,2177.950439453125,2133.073974609375,2434.01416015625
1913,2447.48193359375,2492.28125,2146.990966796875,1412.2593994140625,1585.9140625,2486.9228515625,1699.2813720703125,1824.9014892578125,2423.70068359375,1726.790283203125
1914,2476.606689453125,2476.04833984375,2494.08447265625,1922.49853515625,1743.7379150390625,2388.79541015625,1934.0274658203125,2471.88037109375,2275.365234375,2241.448486328125
