year,MaxRWBIL01_,MaxRWBIL02_,MaxRWBIL04_,MaxRWBIL06_,MaxRWBIL07_,MaxRWBIL10_,MaxRWBIL11_,MaxRWBIL13_,MaxRWBIL14_,MaxRWBIL16_
1991,605.5625,271.5859375,483.1171875,295.578125,407.5390625,404.6640625,485.84375,261.578125,378.515625,239.5625
1992,263.15625,69.640625,105.125,132.3671875,132.1875,119.9453125,227.984375,36.0546875,140.625,53.9296875
1993,390.5234375,141.03125,200.1796875,85.1328125,187.890625,192.6015625,238.234375,71.6484375,112.1015625,70.75
1994,566.8046875,188.265625,313.859375,302.8671875,297.140625,234.390625,379.1484375,185.796875,265.96875,170.203125
1995,670.4375,170.6328125,285.1640625,249.328125,325.2109375,317.9296875,547.890625,158.421875,285.7734375,163.9765625
1996,448.2109375,137.046875,123.71875,96.1640625,243.9921875,221.5625,398.03125,81.3359375,211.6796875,76.9609375
1997,791.546875,292.1796875,430.5,371,491.578125,472.984375,880.078125,369.984375,372.0859375,342.6171875
1998,505.1328125,186.9921875,201.125,264.84375,376.609375,494.2578125,732.8828125,450.2578125,296.5078125,128.1640625
1999,634.78125,273.609375,351.78125,306.1328125,393.890625,545.0546875,815.2734375,486.234375,385.015625,244
2000,526.9453125,214.3203125,255.4765625,178,431.4296875,441.953125,752.265625,470.3671875,363.328125,174.546875
2001,634.0546875,149.828125,243.0078125,212.640625,324.984375,514.8984375,590.3828125,274.53125,442.0859375,149.6640625
2002,499.28125,221.359375,381.484375,271.453125,283.28125,354.28125,568.4921875,244.8828125,483.7578125,147.1875
2003,472.578125,170.1796875,259.9296875,219.2421875,334.171875,285.0390625,408.5390625,203.3125,361.3984375,64.5703125
2004,593.46875,257.5,417.703125,340.25,367.7890625,473.2578125,596.765625,327.015625,464.4140625,224.0390625
2005,594.53125,305.4609375,564.5,383.3125,573.40625,436.375,552.5625,395.0390625,628.3125,275.2890625
2006,562.1953125,178.578125,324.9296875,297.078125,364.25,376.1875,554.703125,232.0703125,333.0234375,146.6953125
2007,567.609375,243.953125,355.3984375,291.109375,392.53125,427.765625,622.453125,232.984375,465.1953125,230.4296875
2008,480.0234375,177.2421875,331.1796875,223.3046875,348.3984375,446.5234375,538.8671875,218.53125,260.125,180.421875
2009,398.640625,165.84375,257.1640625,161.703125,300.5859375,378.9296875,458.3984375,151.6015625,247.9765625,130.8671875
2010,716.5390625,214.03125,382.96875,364.8359375,460.2265625,531.125,953.8515625,225.25,453.15625,219.2421875
2011,575.046875,227.6328125,369.9921875,461.7421875,291.296875,387.7734375,751.046875,321.3671875,411.265625,172.8359375
2012,536.2421875,255.0859375,337.6484375,287.9921875,304.0859375,391.9765625,631.375,285.296875,424.625,172.375
2013,375.6953125,139.6875,175.0625,138.375,255.4765625,280.2578125,344.1875,102.421875,124.4140625,57.484375
2014,377.9296875,87.46875,116.5546875,186.5390625,244.0625,352.2265625,280.3828125,48.71875,268.3046875,94.59375
2015,629.9140625,184.359375,293.9921875,266.8046875,352.53125,412.8125,441.5859375,217.03125,366.578125,188.8046875
2016,648.5703125,142.71875,306.25,230.34375,391.6484375,508.703125,507.859375,208.65625,343.890625,92.875
2017,808.65625,167.9765625,461.0234375,419.234375,595.8984375,778.03125,759.8515625,182.546875,541.9375,69.8671875
2018,639.6484375,190.5390625,302.8125,334.6484375,511.4375,789.375,684.25,199.9296875,435.7890625,114.4921875
2019,717.546875,151.6796875,327.5234375,236.90625,391.609375,725.9921875,625.0546875,169.2578125,432.90625,118.4921875
2020,574.1796875,207.7421875,277.609375,248.1015625,347,597.9921875,545.4453125,166.6484375,317.8125,133.03125
2021,592.71875,216.1640625,325.96875,209.2578125,379.2890625,699.125,588.5078125,205.984375,434.234375,136.5546875
2022,385.75,98.1875,238.765625,136.2734375,208.421875,370.4765625,384.171875,75.1328125,268.484375,80.8828125
2023,364.234375,85.3046875,126.8359375,106.921875,226.65625,286.2578125,301.78125,68.9921875,209.6015625
