year,KhBIL01_,KhBIL02_,KhBIL04_,KhBIL06_,KhBIL07_,KhBIL10_,KhBIL11_,KhBIL13_,KhBIL14_,KhBIL16_
1897,2.7543627065745022e-8,7.748501264601213e-9,3.01349311106654e-8,6.7599388475649575e-9,1.1306941898423316e-8,1.1794395398932151e-8,1.1119012075148976e-8,4.7302025598945674e-9,1.4113588182599499e-8,1.4247625124115689e-8
1898,4.79811586959535e-8,1.374115684683342e-8,3.4311271031970364e-8,1.0501537933571066e-8,1.756936818883396e-8,1.913244474000182e-8,1.327319859799373e-8,9.449437678934871e-9,2.4538133983510443e-8,2.1216023281080426e-8
1899,2.0036384989534086e-8,7.3541949073080896e-9,1.649844461010484e-8,2.0186751020562535e-9,1.0209387218169542e-8,1.0431763726551849e-8,6.9176211775019375e-9,6.496754948564987e-9,1.2210651686783284e-8,1.2764872951344636e-8
1900,6.006018021061983e-8,1.651712129860707e-8,3.1139899609115346e-8,6.556477094728738e-9,1.2093092388227138e-8,1.8472260305944434e-8,1.632713662398117e-8,1.3593029539724475e-8,1.3792969060740974e-8,2.8191196439140172e-8
1901,5.157349290240876e-8,1.6892235548012296e-8,3.8732416929140926e-8,9.204546841995852e-9,1.9275589600095663e-8,2.7877909562073247e-8,1.1191709881126945e-8,1.6377854586425708e-8,1.4249973526089336e-8,2.6743204840487496e-8
1902,8.241297236833753e-8,2.9155271596329577e-8,7.272893998413777e-8,1.066605859228749e-8,3.248606296172963e-8,2.9704392838574332e-8,1.6681509769694127e-8,2.211963366459107e-8,2.895615871914755e-8,3.3581818218798196e-8
1903,4.91942233276114e-8,1.6871519073581368e-8,2.4461494514224714e-8,8.459824010054621e-9,1.842794654909903e-8,1.8606289684519122e-8,8.63994140575425e-9,3.947029884095812e-8,1.894035292338253e-8,1.4131057978305e-8
1904,4.203544377885148e-8,2.9466701705460994e-8,3.9590689734815306e-8,1.0296737195358948e-8,1.965890480001076e-8,2.2234126111326926e-8,1.8319204437229125e-8,3.23983677279573e-8,3.481228139511616e-8,2.114354764766107e-8
1905,1.3797221314482636e-8,9.689056766874854e-9,1.3659195558301074e-8,4.455518081223538e-9,9.742999732580224e-9,9.119317514251117e-9,7.269226995898294e-9,9.403538171785755e-9,1.7686580916598446e-8,6.048907578620224e-9
1906,3.5634439928043997e-8,2.2297464124441693e-8,2.3509934107652775e-8,1.0301878354123153e-8,1.998365336487973e-8,2.0850614203238057e-8,1.4433597783206839e-8,2.1785865512425354e-8,2.8430746034282855e-8,1.6193359376254123e-8
1907,6.14542323907692e-8,3.2246938378835444e-8,6.388269226500602e-8,1.3078109970347388e-8,2.339430030911168e-8,2.7983361216014325e-8,2.1883579085943034e-8,4.120733952920988e-8,3.0790426821836566e-8,2.0180853636498504e-8
1908,3.0392438998234707e-8,2.2154721086670607e-8,3.025721456163208e-8,7.495569973779268e-9,8.946450598615554e-9,1.1624129974518543e-8,1.4362624306802112e-8,2.7496866501244e-8,2.3365433440777314e-8,1.2584996077104814e-8
1909,2.517105026400311e-8,7.397967461353718e-9,8.014836649687749e-9,2.077510748467777e-9,7.873203749692489e-9,1.3042215122432069e-8,9.744557261505817e-9,9.963492906954668e-9,1.570949183079149e-8,4.523407200701368e-9
1910,3.90090239235943e-8,1.2797681121005852e-8,1.9017406708371077e-8,3.9272328033678385e-9,1.5770965334476243e-8,1.2031666439609371e-8,1.22129472461394e-8,1.6118774597528568e-8,2.110590052716738e-8,1.1415622388851212e-8
1911,6.30555369656316e-8,2.830943270736804e-8,1.9103804115156012e-8,1.1093893951782541e-8,1.617153226991721e-8,2.2706134715357293e-8,2.174191966910818e-8,2.9822994015864384e-8,2.8944878022102507e-8,1.066012939271346e-8
1912,4.3868793649767237e-8,2.503171979714933e-8,3.347094929615128e-8,6.447054399165317e-9,1.9903430865111867e-8,1.8771829742253793e-8,2.002264722723398e-8,1.9292150222658604e-8,2.646068429604067e-8,1.468311113678963e-8
1913,1.8374886415135596e-8,1.4735857810203562e-8,1.1004470608424775e-8,3.547375088121674e-9,7.187545287111713e-9,1.6631155937761378e-8,1.408421430495202e-8,9.45587264879418e-9,2.6270542220215143e-8,6.063055843298274e-9
1914,7.426881071547162e-8,3.592654319122724e-8,3.849058419492968e-8,1.8057690718563386e-8,1.4889621141269501e-8,2.580824170419464e-8,3.050466289833286e-8,3.2873207034137945e-8,4.1322944660904056e-8,7.562237937975936e-9
1915,5.938342530888704e-8,2.0532083770249343e-8,5.159936795416791e-8,1.0408929743359158e-8,1.3740455934138691e-8,2.3940342575609645e-8,2.0933865693756546e-8,2.514102129494737e-8,3.130722562071527e-8,5.816511092286926e-9
1916,6.862949732602026e-8,3.265579739089673e-8,4.518834848155405e-8,1.1542136568610528e-8,1.3201992250675902e-8,1.8498960430190947e-8,2.98111276124508e-8,3.56444864435195e-8,3.341239967473034e-8,9.164535094807652e-9
1917,4.957844422673028e-8,1.724840475032324e-8,2.130472538338442e-8,8.604003729516144e-9,1.0472125876092745e-8,3.4070093373247636e-8,2.0773835643071644e-8,3.496912068062363e-8,1.5874360876604323e-8,6.957626214088243e-9
1918,5.650294024223174e-8,2.305126089313711e-8,3.1644532349732274e-8,1.2898369594716158e-8,1.1074828405833064e-8,2.468892098177085e-8,2.2084344515598952e-8,4.544849516138844e-8,4.442079601256683e-8,1.013374283538656e-8
1919,3.790985474433609e-8,1.0849624337965725e-8,2.4093149180135897e-8,6.203352507320837e-9,7.522407627602877e-9,1.5804508939962788e-8,1.458709523669089e-8,1.9236851112781124e-8,1.5484784453428198e-8,4.596635803340159e-9
1920,4.33268806190297e-8,1.2931282752359008e-8,3.043012350628515e-8,6.711409507632408e-9,9.246772803432866e-9,1.0024112978784335e-8,1.7276954382162947e-8,2.476935630408346e-8,2.4040576198108328e-8,9.39555822303286e-9
1921,2.6514520064148663e-8,6.109918847315719e-9,4.542484903364744e-9,4.1463772472508174e-10,4.1758502423086926e-9,8.325741457814882e-9,5.786543110985886e-9,9.462402706500845e-9,4.7394820447693764e-9,3.0945483129236876e-9
1922,5.325134178825848e-8,1.8496305808116452e-8,1.9721367009854325e-8,7.65069607699681e-9,1.1457091776297984e-8,1.6117734434796028e-8,1.4040909342741015e-8,3.241602776852389e-8,3.0878376432369676e-8,6.162914238628075e-9
1923,8.642057850458026e-8,1.9033082101766964e-8,3.907448612443539e-8,1.222307291085816e-8,1.0762588135000503e-8,1.9945898617545506e-8,2.073203075916268e-8,4.481442944648858e-8,3.343419360462661e-8,7.295772218834033e-9
1924,6.936409216543405e-8,2.0768030391135765e-8,5.0031790981958334e-8,1.3224510407784859e-8,1.559354613877168e-8,1.952287040264743e-8,2.285517495645121e-8,3.778285906952011e-8,2.5302527336726136e-8,1.531547169567949e-8
1925,8.719216519820975e-8,1.8687503380759123e-8,6.994652605325573e-8,1.2651412973077789e-8,1.6737667120630244e-8,2.0220746597348924e-8,2.3211319600282642e-8,3.5557635168915865e-8,2.1867141809815575e-8,1.6331920733627473e-8
1926,4.809821372140606e-8,1.3419065423137084e-8,3.867491779853093e-8,9.697461866733344e-9,1.1048294986864703e-8,2.225315808812235e-8,2.1338898364632213e-8,2.4241415125204905e-8,1.6181891601390432e-8,1.0765935243899765e-8
1927,5.392642825515023e-8,1.232189585961285e-8,3.719628362109479e-8,9.986815126816305e-9,1.2096551582402934e-8,2.1628455755259508e-8,1.983098939500387e-8,2.8150911331217907e-8,1.6743884065840374e-8,1.4559430830805402e-8
1928,6.796224416725224e-8,9.877602395187718e-9,2.8228029485431732e-8,1.3968156347400199e-8,1.6711657628476878e-8,2.7048264490739933e-8,1.8801481130743776e-8,3.878192474084263e-8,1.5971836053650802e-8,1.2237457379244172e-8
1929,8.697489047055123e-8,1.606760146649842e-8,3.297646164080976e-8,1.79509884071979e-8,1.631748490993241e-8,4.106989107493766e-8,3.0185310493931753e-8,6.589800206895728e-8,3.054622075126748e-8,1.9131051242580744e-8
1930,7.180232804663856e-8,1.4663730159990607e-8,1.9265264224653078e-8,2.2955470941254325e-8,2.046935665031282e-8,2.7448203820219395e-8,2.6513801831968527e-8,7.05157983548622e-8,1.883523997620181e-8,1.5746037545389648e-8
1931,8.781540751691969e-8,1.4773737826650462e-8,1.7382598708426853e-8,1.909474609896826e-8,1.7966392893391424e-8,2.15650371706911e-8,3.326785590031666e-8,4.5205618297859386e-8,2.7251094920277134e-8,2.028806516269605e-8
1932,1.1012847774366666e-7,1.4454221628804735e-8,2.251438078443113e-8,2.003035145770009e-8,1.5432237362880192e-8,2.2965593445793246e-8,2.775534314752857e-8,6.286339901747898e-8,2.1951158144692434e-8,2.446810696749766e-8
1933,5.1468564604673325e-8,1.164778092425921e-8,1.9259707434880583e-8,9.404526596660245e-9,9.948579920775235e-9,1.2148656406850275e-8,1.9040800708383925e-8,3.035443412477195e-8,1.320649652602984e-8,1.5513993812326828e-8
1934,2.6234997027964335e-8,8.833747924670035e-9,9.480808038899047e-9,5.328275780803896e-9,6.231340897960042e-9,8.500706906154557e-9,1.5718042566275114e-8,2.1094410402705614e-8,6.821269085294392e-9,1.0550006278649708e-8
1935,5.6949393068957315e-8,2.392332385720804e-8,2.713656340950019e-8,1.6066265391177025e-8,2.1379363344700652e-8,9.282615879293616e-9,3.492595876492455e-8,3.7342140900309906e-8,2.004406348940893e-8,2.3332086552630236e-8
1936,3.181177022405776e-8,7.306271095767508e-9,1.910224273502784e-8,7.524740705224739e-9,9.660116376678964e-9,6.971775787826793e-9,2.5856486792340562e-8,8.230738021862043e-9,1.0736743273655351e-8,1.0882583447059726e-8
1937,4.137665469901966e-8,1.8755950379407967e-8,2.8491391723845275e-8,1.2181017144964495e-8,1.4060708922783347e-8,1.222961542619038e-8,3.2139230441419906e-8,2.3495872860024235e-8,1.442417864459359e-8,2.0018133759598382e-8
1938,4.976119301253849e-8,1.4872080147812857e-8,2.0794166750739768e-8,4.9918613434816776e-9,1.1520117126120816e-8,7.444733792507798e-9,1.9994415675878668e-8,1.8833014880495316e-8,9.74152672398058e-9,1.711891087274327e-8
1939,5.617349022746542e-8,1.393958879100851e-8,3.755292159235914e-8,1.0284010168131955e-8,1.9119731797025454e-8,2.0553024952802236e-8,2.6277711112461603e-8,2.9263104429127976e-8,1.70555447431293e-8,2.2150377962357804e-8
1940,5.4592185640084256e-8,2.0593240225535696e-8,3.632335344851778e-8,1.2231263672775544e-8,3.0048809318634414e-8,3.725438527582889e-8,4.1206636605331285e-8,5.269187922380707e-8,1.6881639065399896e-8,3.006793433494616e-8
1941,5.430910791582948e-8,1.8884998148350074e-8,2.49664883867095e-8,1.4217385813887924e-8,2.6054565548358556e-8,1.8810474479548213e-8,4.511050599426159e-8,5.381009418308767e-8,2.4760950697181877e-8,4.4175569073356325e-8
1942,4.713820133095436e-8,1.4148563517257292e-8,2.0301189274181506e-8,1.0014387156086355e-8,2.1291268182430626e-8,1.6088438512373223e-8,3.391165158726393e-8,3.1336454623929686e-8,2.3500732223951336e-8,2.1408016749125276e-8
1943,6.932099030413934e-8,2.4312750865254655e-8,2.9777979600328196e-8,1.6608138187293404e-8,2.6710021800585484e-8,3.7070163547091324e-8,4.454531210346621e-8,4.0268102531219624e-8,1.7279123101810053e-8,3.8818732235327225e-8
1944,5.073601760917363e-8,2.0238163644791875e-8,3.3139939270939305e-8,8.873565363127404e-9,3.434235256305188e-8,2.8616290504139716e-8,4.514826905656249e-8,5.246028721450862e-8,6.745338570349623e-9,4.037949054011664e-8
1945,4.572141893770839e-8,1.0506831580684946e-8,2.0545438837401425e-8,1.6679541908251064e-14,2.4857523628033717e-8,2.494544277337108e-8,2.3093869536113777e-8,3.17715256532349e-8,8.483310124982881e-9,3.545044262253125e-8
1946,3.946890289241646e-8,1.4753292405755217e-8,1.461293760182053e-8,1.2787448784791166e-8,1.692478292162619e-8,1.5583218365018262e-8,2.1562140054808137e-8,1.628837019673114e-8,7.518065388109955e-9,1.6065716820197853e-8
1947,7.655787031047943e-8,3.2285404278526566e-8,3.654253654702789e-8,2.6958407061359665e-8,2.852164055855955e-8,3.00307197667162e-8,3.8121320763307185e-8,4.835643360779265e-8,2.270956214743323e-8,3.8033897059769555e-8
1948,8.304327673065356e-8,3.1977842051650196e-8,4.4889587412954056e-8,2.790688333358082e-8,2.638055301001726e-8,3.249703504810539e-8,3.558293781656108e-8,4.641592457033165e-8,1.3659699887668906e-8,3.984416217820607e-8
1949,7.726632166886895e-8,1.5791730504373802e-8,1.8406008277107757e-8,1.1344270713890021e-8,1.608034065431679e-8,2.2456159204588924e-8,2.0902605918502416e-8,2.76774009560138e-8,9.113902421730199e-9,2.3486613026126228e-8
1950,4.2296069549831376e-8,3.729888031534059e-9,3.2958831794582535e-9,4.369521994645056e-9,6.8801976392928695e-9,7.055273344042967e-9,8.28577330025834e-9,1.9823405366965558e-8,5.282787649430964e-9,5.532436967898848e-9
