year,CD*BIL01_,CD*BIL02_,CD*BIL04_,CD*BIL06_,CD*BIL07_,CD*BIL10_,CD*BIL11_,CD*BIL13_,CD*BIL14_,CD*BIL16_
1863,1553.817626953125,1233.9638671875,1346.929931640625,1127.2076416015625,1699.4324951171875,0,1613.552001953125,1760.2066650390625,1498.1680908203125,1644.8575439453125
1864,1541.804443359375,1551.6007080078125,1512.299072265625,1469.6610107421875,1852.0645751953125,0,2106.63671875,2038.0689697265625,1468.1488037109375,1764.6748046875
1865,1583.3280029296875,1435.527587890625,1242.637451171875,1223.0419921875,1852.2730712890625,597.0458984375,1781.7589111328125,2313.612548828125,1501.33349609375,1527.8336181640625
1866,1569.6107177734375,1291.96240234375,1398.736328125,1276.951904296875,1958.6922607421875,796.884521484375,1884.9100341796875,2366.09912109375,1499.9525146484375,1736.16064453125
1867,1441.2191162109375,1286.9967041015625,1336.6522216796875,1111.0943603515625,1890.2650146484375,729.9281005859375,1727.945068359375,2190.220458984375,1307.8626708984375,1323.45458984375
1868,1623.819580078125,1047.6396484375,1348.032958984375,958.007080078125,1598.2794189453125,706.22021484375,1589.6180419921875,2087.0693359375,1256.775390625,1432.8848876953125
1869,1431.6875,1125.6019287109375,1184.843505859375,860.8292236328125,1834.766845703125,781.9929809570312,1430.2552490234375,2052.96044921875,1125.3365478515625,1320.34033203125
1870,1304.5831298828125,1034.820068359375,1126.3033447265625,796.4487915039062,1391.93115234375,767.8091430664062,1438.024658203125,1781.190185546875,1119.9478759765625,1287.1109619140625
1871,1115.50732421875,1115.7581787109375,1063.511474609375,767.0422973632812,1351.6102294921875,780.6282348632812,1284.7130126953125,1702.952880859375,1076.0498046875,1243.0809326171875
1872,1314.144287109375,1303.2685546875,1118.0848388671875,707.3403930664062,1584.333984375,955.5394287109375,1473.376708984375,1820.3583984375,1281.28955078125,1415.6470947265625
1873,1173.415283203125,1370.819580078125,1007.0786743164062,859.0094604492188,1412.3565673828125,861.2352905273438,1577.7119140625,1575.2110595703125,1209.20849609375,1324.7181396484375
1874,1146.6290283203125,1554.4073486328125,1153.8333740234375,1356.807373046875,1404.3582763671875,1073.9375,1650.49658203125,1595.982177734375,1189.7537841796875,1352.0692138671875
1875,926.6488647460938,1352.8350830078125,1051.939208984375,1274.3272705078125,1351.0750732421875,1051.170166015625,1395.0555419921875,1391.8741455078125,1217.5157470703125,1161.7906494140625
1876,1326.459716796875,1322.7034912109375,1235.0115966796875,1686.000732421875,1453.6937255859375,1253.47607421875,1392.7120361328125,1771.954833984375,1278.620361328125,1510.775390625
1877,1186.707275390625,1140.249267578125,1020.8945922851562,1299.20751953125,1225.926025390625,1154.7254638671875,1240.1685791015625,1716.291015625,1126.2203369140625,1231.47705078125
1878,1196.581787109375,1342.4248046875,1061.1280517578125,1303.2587890625,1322.63330078125,1023.0834350585938,1388.4515380859375,1550.806884765625,1108.48828125,1107.9554443359375
1879,1249.9229736328125,1241.6368408203125,1233.2618408203125,1126.466064453125,1317.702880859375,1048.0506591796875,1378.466064453125,1575.94482421875,999.0376586914062,1131.695068359375
1880,1045.4293212890625,1187.8314208984375,947.5184326171875,1186.7938232421875,1147.4344482421875,1112.7523193359375,1321.45849609375,1464.4400634765625,1085.7086181640625,1091.0218505859375
1881,966.1177978515625,1139.984375,891.8956298828125,1117.5557861328125,1292.0318603515625,876.7592163085938,1255.8385009765625,1360.2872314453125,990.841796875,951.0231323242188
1882,1187.371337890625,1310.696533203125,900.0748901367188,1315.9913330078125,1352.76416015625,1104.4449462890625,1335.906005859375,1317.0906982421875,1188.7618408203125,1166.4888916015625
1883,1211.18408203125,1266.116455078125,1104.10302734375,1198.373291015625,1327.0218505859375,1152.270751953125,1194.0006103515625,1279.25927734375,1202.3094482421875,1078.6480712890625
1884,1003.7166748046875,1150.491943359375,999.2999877929688,1216.83056640625,1299.93212890625,1055.6912841796875,1053.0355224609375,1431.1417236328125,939.1005249023438,1090.6888427734375
1885,1106.65576171875,1208.81787109375,1057.8812255859375,1276.019287109375,1352.7684326171875,1136.5526123046875,1214.8211669921875,1470.6661376953125,1156.119873046875,1154.30224609375
1886,1040.83447265625,1318.233154296875,1318.345458984375,1316.0162353515625,1259.288330078125,986.5531616210938,970.2327880859375,1276.6488037109375,1136.8758544921875,1142.5687255859375
1887,1151.6173095703125,1244.842529296875,1222.2567138671875,1216.7847900390625,1381.7889404296875,1121.8939208984375,1061.4835205078125,1442.824462890625,949.7176513671875,1260.668212890625
1888,963.3510131835938,1312.0755615234375,1090.1063232421875,1209.3763427734375,1191.52294921875,983.32861328125,995.2138671875,1360.8424072265625,850.1930541992188,819.9637451171875
1889,880.1630249023438,1118.3291015625,1048.044677734375,1045.5107421875,1144.91748046875,939.6395874023438,767.9064331054688,1259.259765625,860.9680786132812,856.1146240234375
1890,1147.722412109375,1415.73388671875,1148.6942138671875,1246.2630615234375,1120.8223876953125,1047.6964111328125,1041.2777099609375,1337.985595703125,664.716796875,1029.765625
1891,970.223876953125,1036.194091796875,978.4917602539062,1107.673095703125,976.2666625976562,1073.1856689453125,858.8043823242188,1297.7314453125,621.4773559570312,879.0361328125
1892,979.6581420898438,1152.798095703125,953.4422607421875,1148.8414306640625,1026.9537353515625,907.3677368164062,904.6875,1111.784912109375,735.0516357421875,1040.9521484375
1893,1135.8994140625,1495.533447265625,1291.6978759765625,1496.44189453125,1444.8759765625,1402.18896484375,1286.9224853515625,1515.2711181640625,518.115478515625,1264.299072265625
1894,997.4567260742188,1319.5560302734375,1025.65771484375,1221.1600341796875,1305.799072265625,1043.1051025390625,809.8333129882812,1365.9671630859375,769.6151733398438,865.31103515625
1895,1070.8951416015625,1480.781005859375,1123.70654296875,1226.5364990234375,1528.7073974609375,1080.7095947265625,884.849853515625,1372.7525634765625,970.7325439453125,849.99853515625
1896,1177.615478515625,1567.3619384765625,1161.30078125,963.1737060546875,1383.30517578125,1231.79833984375,1047.7017822265625,1552.2147216796875,935.9595336914062,1045.6854248046875
1897,1038.8970947265625,1107.904541015625,931.2644653320312,1008.7576904296875,1215.8712158203125,842.4686889648438,850.7875366210938,1402.5135498046875,783.0087890625,888.32177734375
1898,865.8258056640625,1118.6865234375,881.1664428710938,893.3446655273438,1286.0960693359375,704.7847900390625,796.8993530273438,1201.798828125,867.668701171875,835.1127319335938
1899,983.9349975585938,1149.06005859375,885.6686401367188,1135.83935546875,1275.694091796875,810.8474731445312,883.8626098632812,1274.158935546875,612.3768920898438,811.2890014648438
1900,897.3606567382812,1229.5921630859375,854.5767211914062,953.0015869140625,1357.462890625,749.6111450195312,944.08984375,1166.1142578125,680.8570556640625,926.0504150390625
1901,799.7550659179688,973.0376586914062,830.4000854492188,1024.0174560546875,1140.7177734375,786.4426879882812,801.31494140625,1212.534423828125,752.8314819335938,984.6553344726562
1902,861.0933227539062,769.3215942382812,728.3623657226562,925.49462890625,1125.75439453125,791.5506591796875,682.9655151367188,1188.1824951171875,880.61767578125,999.4577026367188
1903,920.7432861328125,842.9826049804688,1048.5787353515625,917.03857421875,1187.6754150390625,741.4901733398438,682.947509765625,1102.260498046875,982.51513671875,1122.6524658203125
1904,881.2659301757812,860.812255859375,745.533447265625,895.7818603515625,1151.846435546875,773.0965576171875,791.4723510742188,1049.654296875,886.1919555664062,908.8767700195312
1905,1046.8779296875,1110.8370361328125,891.9049072265625,1161.8857421875,1156.539794921875,820.2017211914062,989.8458251953125,1146.56689453125,990.5977172851562,1233.6427001953125
1906,866.7672119140625,906.64892578125,838.6185302734375,930.463623046875,1056.8828125,724.89453125,827.5302734375,856.4585571289062,786.2116088867188,953.9058227539062
1907,758.03759765625,773.7808227539062,801.9508666992188,881.2122802734375,1109.9398193359375,651.006591796875,811.4328002929688,887.3147583007812,791.312744140625,813.951416015625
1908,1025.0283203125,986.1604614257812,958.2685546875,947.0559692382812,1176.850341796875,831.2634887695312,1043.034912109375,1012.8914794921875,973.1070556640625,1087.7318115234375
1909,897.0084228515625,1056.3619384765625,1061.2919921875,1145.931884765625,1240.804931640625,741.989990234375,820.5098266601562,1107.21923828125,895.01025390625,1000.2169189453125
1910,869.6853637695312,947.5762939453125,756.4526977539062,1124.036865234375,1066.9560546875,679.1024169921875,933.272216796875,948.6167602539062,930.2337646484375,757.6671142578125
1911,752.0261840820312,956.4456787109375,747.76953125,870.954345703125,1094.77490234375,636.9037475585938,777.6910400390625,874.4398803710938,757.158203125,958.8360595703125
1912,835.9158325195312,821.4749145507812,677.5262451171875,899.3312377929688,1072.62548828125,693.3392944335938,856.913330078125,893.0535278320312,881.7513427734375,736.5394897460938
1913,1022.9754028320312,806.232421875,924.9039306640625,1081.1363525390625,1219.973876953125,737.2201538085938,982.3533325195312,1041.540283203125,942.34814453125,783.2507934570312
1914,719.9759521484375,882.1209106445312,705.5047607421875,805.4514770507812,1007.4546508789062,640.5167846679688,856.1566162109375,758.4683837890625,905.2589721679688,858.3339233398438
1915,752.9006958007812,737.6234130859375,725.1891479492188,883.4850463867188,964.8433227539062,582.9646606445312,833.7252807617188,807.214111328125,837.0328369140625,661.4371337890625
1916,832.9900512695312,752.6646728515625,772.06884765625,861.2180786132812,996.1923217773438,601.9252319335938,1037.0367431640625,847.744384765625,910.2974853515625,753.0736083984375
1917,825.0301513671875,678.307861328125,716.6837158203125,804.20263671875,969.9030151367188,462.0340881347656,957.5039672851562,868.1753540039062,885.75732421875,763.843994140625
1918,813.9151000976562,745.743896484375,680.257080078125,747.0145263671875,1070.99951171875,564.5165405273438,1202.8009033203125,851.38916015625,820.3840942382812,724.3677978515625
1919,890.0341796875,695.279541015625,675.7528076171875,767.9404907226562,1182.5010986328125,681.8135375976562,1120.31201171875,1022.9588012695312,838.8872680664062,1017.1232299804688
1920,959.7344970703125,878.0267944335938,813.1973266601562,735.501708984375,1236.7911376953125,805.7550048828125,1054.938720703125,1026.2335205078125,1042.1134033203125,835.6031494140625
1921,1015.986083984375,1050.523681640625,1228.8807373046875,639.1808471679688,1138.1055908203125,708.94677734375,1351.7547607421875,1112.386962890625,1060.8389892578125,1390.2769775390625
1922,819.2652587890625,728.55078125,648.9852294921875,795.3582153320312,978.3612060546875,677.9588623046875,884.9844970703125,872.1795654296875,798.6530151367188,689.0809936523438
1923,781.115966796875,674.4488525390625,635.4156494140625,796.5504760742188,957.5370483398438,633.57080078125,996.1013793945312,784.3958740234375,770.8208618164062,738.6229858398438
1924,848.552978515625,650.5597534179688,587.8190307617188,869.0529174804688,953.7614135742188,680.3150024414062,952.8321533203125,870.4039916992188,841.7359008789062,643.828125
1925,820.9131469726562,815.086669921875,724.3313598632812,812.7528686523438,894.3616333007812,612.0399169921875,1028.6949462890625,785.6918334960938,707.3312377929688,985.2908325195312
1926,876.2718505859375,732.7150268554688,666.227294921875,726.3600463867188,941.3865356445312,603.272216796875,914.811279296875,846.53466796875,793.3892822265625,787.0197143554688
1927,782.8790893554688,585.5958251953125,592.0197143554688,775.4599609375,850.1187744140625,612.7546997070312,885.4327392578125,865.7390747070312,711.3660888671875,831.8397216796875
1928,781.9967651367188,735.823974609375,764.26904296875,754.9000854492188,916.2897338867188,727.4540405273438,963.4790649414062,810.947265625,857.8681640625,859.4168701171875
1929,763.3656616210938,592.8091430664062,368.29974365234375,652.9368896484375,911.1435546875,656.3019409179688,880.433349609375,761.9506225585938,784.3584594726562,775.1649780273438
1930,725.2116088867188,605.6737060546875,435.4796447753906,570.568359375,901.5223999023438,606.1358642578125,725.7940063476562,708.021728515625,780.06640625,914.254638671875
1931,764.4038696289062,654.5352172851562,688.2485961914062,564.2354125976562,1003.8385009765625,575.2731323242188,901.3120727539062,874.2971801757812,779.5668334960938,831.9427490234375
1932,671.5104370117188,516.8748168945312,594.0313110351562,647.3475952148438,835.2015991210938,562.54296875,821.5045166015625,806.2789306640625,877.1716918945312,735.8030395507812
1933,811.2431640625,658.9744873046875,706.8268432617188,638.2930908203125,891.7249145507812,470.7541198730469,985.1259155273438,933.3428344726562,862.8412475585938,874.1988525390625
1934,831.2587890625,777.4447021484375,792.21728515625,705.3089599609375,1111.734130859375,509.9766540527344,1002.3818969726562,1014.6281127929688,877.4306030273438,1000.850830078125
1935,744.8687133789062,651.3782958984375,679.7101440429688,658.4774780273438,962.3909301757812,394.9453125,859.2771606445312,820.0078735351562,827.9111938476562,914.721435546875
1936,704.07421875,724.6854858398438,596.45751953125,683.8772583007812,995.6437377929688,536.3065185546875,770.3975219726562,860.686767578125,792.1275634765625,827.9135131835938
1937,697.2975463867188,530.408935546875,593.6210327148438,499.67437744140625,930.9013061523438,467.7489929199219,770.99755859375,759.112060546875,726.8045043945312,654.09423828125
1938,716.7555541992188,800.607421875,838.439208984375,515.329833984375,1002.6093139648438,663.9168090820312,843.555908203125,891.610595703125,827.7876586914062,908.0215454101562
1939,752.5272216796875,845.7745361328125,775.4326782226562,552.9407348632812,884.935302734375,677.7554321289062,715.1148071289062,1111.29443359375,739.8285522460938,831.781982421875
1940,726.5597534179688,622.9225463867188,672.973388671875,474.6654968261719,849.3025512695312,633.6364135742188,700.0980834960938,945.937255859375,647.4033813476562,762.258544921875
1941,665.7216186523438,581.21435546875,545.9392700195312,413.3314514160156,951.7552490234375,650.905029296875,789.3659057617188,824.8027954101562,670.3216552734375,670.1690063476562
1942,742.3765869140625,674.7555541992188,613.69189453125,531.3757934570312,1037.883056640625,665.7627563476562,751.1599731445312,827.0849609375,513.640625,706.698974609375
1943,706.9063110351562,728.2890014648438,645.0857543945312,483.3651123046875,980.8624877929688,731.5767211914062,711.6063842773438,873.5741577148438,639.3513793945312,907.43310546875
1944,729.0684204101562,576.7756958007812,648.0580444335938,380.72265625,748.3462524414062,692.3206787109375,638.8865356445312,787.2366333007812,670.02197265625,855.2264404296875
1945,776.8496704101562,526.6270141601562,744.3197021484375,2.1006298065185547,784.4225463867188,702.6394653320312,754.2796020507812,917.001708984375,661.6368408203125,773.6661376953125
1946,761.8857421875,684.0265502929688,735.8347778320312,920.3469848632812,937.9521484375,638.8991088867188,725.458984375,990.6851196289062,752.0172729492188,847.0513305664062
1947,700.745361328125,700.0233154296875,573.9041137695312,766.3524780273438,984.6472778320312,634.1524658203125,657.022705078125,760.1730346679688,653.441650390625,702.3992919921875
1948,764.0712280273438,667.0008544921875,564.3262939453125,768.2859497070312,997.3258056640625,656.4818115234375,661.193115234375,767.5368041992188,788.6453857421875,794.6044311523438
1949,843.6192626953125,731.6784057617188,848.8120727539062,923.0460205078125,1156.3375244140625,696.248291015625,817.8427734375,809.81884765625,825.3145141601562,884.8568725585938
1950,885.72314453125,1005.5352783203125,1259.550048828125,1234.4727783203125,1233.307373046875,869.1973266601562,1066.7279052734375,810.148681640625,912.0512084960938,1359.3851318359375
1951,836.164306640625,887.73583984375,791.3121948242188,875.6288452148438,1208.5855712890625,730.7373046875,842.1561889648438,558.9071044921875,654.2471313476562,973.9805908203125
1952,691.3607177734375,680.1553955078125,553.2313232421875,555.2732543945312,960.8098754882812,562.3203125,613.8978271484375,320.1703186035156,657.92724609375,737.2041625976562
1953,758.4627075195312,753.3349609375,585.909423828125,597.230712890625,981.8773803710938,597.388671875,683.9129638671875,316.3475036621094,784.21044921875,756.98486328125
1954,795.2799072265625,826.9432983398438,876.4553833007812,829.6708984375,1075.60205078125,662.2328491210938,755.7412719726562,390.0712890625,718.8346557617188,882.9129028320312
1955,697.71142578125,756.3676147460938,728.5645141601562,629.65380859375,1132.9798583984375,692.5764770507812,780.9798583984375,414.0472412109375,698.9885864257812,746.036376953125
1956,736.9402465820312,836.698486328125,652.202880859375,671.7598266601562,956.3119506835938,697.298095703125,769.333251953125,329.5957946777344,676.9597778320312,838.3346557617188
1957,742.2586059570312,675.1373901367188,617.1869506835938,609.0800170898438,853.0875244140625,640.0337524414062,651.191162109375,409.652587890625,628.6739501953125,751.8878784179688
1958,665.6229858398438,768.0084228515625,654.9481811523438,645.848388671875,879.966796875,619.2514038085938,725.9766845703125,355.7261047363281,548.0980834960938,749.0123901367188
1959,651.8676147460938,623.6537475585938,666.4577026367188,673.3572998046875,885.3278198242188,585.2901611328125,581.0466918945312,428.0976867675781,598.5908203125,641.523681640625
1960,634.419677734375,633.3649291992188,655.926513671875,544.3192749023438,873.142822265625,559.3948364257812,683.515869140625,434.8765563964844,545.0069580078125,568.7322387695312
1961,751.3121948242188,788.4462890625,892.4696655273438,788.3251342773438,1008.789306640625,678.5422973632812,793.1925048828125,597.5269775390625,534.8095703125,933.0737915039062
1962,748.9592895507812,764.7317504882812,934.5543823242188,850.1483154296875,987.047119140625,707.0957641601562,749.2320556640625,556.9805908203125,678.5088500976562,755.2264404296875
1963,784.9766235351562,874.3805541992188,743.4842529296875,780.3384399414062,1002.1176147460938,736.171630859375,777.013916015625,534.7433471679688,776.4765625,745.9452514648438
1964,727.6130981445312,807.5621948242188,631.3450317382812,630.8905029296875,1066.4085693359375,585.0994873046875,649.5313110351562,627.9942016601562,605.06640625,758.6348876953125
1965,686.0161743164062,724.7025146484375,713.0947875976562,769.15576171875,984.9671630859375,616.750732421875,749.7294921875,645.8880004882812,696.0408935546875,806.922119140625
1966,777.0029907226562,778.20068359375,885.814697265625,878.9113159179688,1047.5225830078125,657.9078979492188,777.3718872070312,631.6395263671875,566.6168212890625,884.7319946289062
1967,743.9754638671875,764.7709350585938,827.5077514648438,879.1259765625,1023.3617553710938,726.1337890625,827.3194580078125,709.5254516601562,479.1667785644531,862.6246948242188
1968,671.6965942382812,819.8607177734375,721.9651489257812,720.9044189453125,905.8360595703125,625.0750122070312,664.5778198242188,637.475830078125,575.2861938476562,716.1417236328125
1969,577.0482788085938,942.0284423828125,771.30322265625,817.7178955078125,1031.37255859375,539.8413696289062,715.5662841796875,579.3575439453125,658.0767822265625,677.0953369140625
1970,697.5340576171875,1004.4974365234375,663.1950073242188,825.1087036132812,976.82470703125,477.92633056640625,677.1674194335938,625.2504272460938,768.6323852539062,678.9402465820312
1971,717.094970703125,925.4979248046875,737.7077026367188,693.1614990234375,983.4710083007812,474.44415283203125,735.7504272460938,590.0278930664062,657.521484375,659.6287841796875
1972,767.833251953125,1021.7703857421875,712.118896484375,591.06494140625,1006.10986328125,481.0621337890625,836.20703125,570.1007690429688,670.928466796875,751.970458984375
1973,1036.8780517578125,894.326904296875,826.5100708007812,877.0513916015625,1147.2303466796875,487.0241394042969,807.8709106445312,674.8116455078125,691.2659912109375,919.4323120117188
1974,709.7556762695312,638.9818725585938,736.8272094726562,667.9015502929688,1019.4081420898438,499.98602294921875,705.5897216796875,576.3179931640625,684.863525390625,714.0519409179688
1975,709.5994262695312,678.6649169921875,649.5254516601562,748.0604248046875,933.6024169921875,442.3273010253906,777.28564453125,594.9783935546875,569.521240234375,690.3716430664062
1976,660.3887329101562,839.8516235351562,716.1246948242188,811.2546997070312,873.6365356445312,517.3861694335938,727.8665161132812,685.5062255859375,642.5528564453125,882.6290893554688
1977,600.5631713867188,570.6721801757812,631.1452026367188,664.545166015625,823.72705078125,470.7940979003906,639.9322509765625,557.927490234375,484.5021057128906,690.9656372070312
1978,596.758056640625,739.1965942382812,575.5919189453125,764.4265747070312,731.1309814453125,466.44708251953125,710.6079711914062,634.5636596679688,485.5657043457031,732.2744750976562
1979,573.4528198242188,677.9349365234375,579.8985595703125,627.2936401367188,676.8695068359375,488.42193603515625,729.5806884765625,598.113037109375,491.56878662109375,823.47314453125
1980,589.6290893554688,715.5327758789062,683.5689697265625,684.6401977539062,744.123779296875,501.5897521972656,264.549560546875,647.3319091796875,568.5983276367188,822.3621826171875
1981,750.7623291015625,858.0720825195312,1009.2159423828125,558.9169921875,936.5038452148438,629.585205078125,471.725830078125,671.3356323242188,586.7770385742188,1002.1195068359375
1982,709.5347900390625,938.0565795898438,954.181640625,581.8511352539062,816.6505737304688,615.7362670898438,503.68890380859375,763.3607788085938,518.2651977539062,978.0167236328125
1983,717.8817749023438,743.5830078125,711.6826782226562,848.6382446289062,810.2612915039062,543.3976440429688,422.0840148925781,668.3150024414062,620.7625732421875,756.6890258789062
1984,650.3604736328125,682.7713012695312,674.0518798828125,571.8258666992188,739.7285766601562,490.61993408203125,424.4559326171875,621.098388671875,622.4310913085938,706.9810180664062
1985,592.9882202148438,783.5484008789062,724.8162841796875,786.0166015625,795.2843017578125,693.6082153320312,786.7394409179688,570.2122802734375,730.5006713867188,1005.6146850585938
1986,689.7433471679688,991.3143310546875,747.8718872070312,994.1033325195312,845.8826293945312,646.3912963867188,692.8804321289062,665.03662109375,890.3887939453125,1042.855712890625
1987,652.4554443359375,975.7297973632812,1323.671142578125,1209.644287109375,790.6869506835938,658.7683715820312,776.0147705078125,789.7271728515625,702.474365234375,1020.3792724609375
1988,683.9584350585938,833.9072265625,608.0604248046875,778.5506591796875,819.8603515625,522.8699340820312,655.08544921875,592.3966674804688,729.6693115234375,844.1881103515625
1989,711.300048828125,873.8179931640625,719.6796264648438,931.1873168945312,814.1082763671875,584.664306640625,677.675537109375,616.9995727539062,727.0687255859375,1052.3955078125
1990,631.203125,838.8236694335938,675.5534057617188,845.6092529296875,650.4949951171875,470.480712890625,606.0773315429688,610.4378662109375,538.9302368164062,858.8287963867188
1991,626.5428466796875,633.7102661132812,581.8253784179688,832.8580932617188,671.8629760742188,493.994873046875,630.8402099609375,511.00018310546875,546.13623046875,670.6117553710938
1992,829.1806030273438,1054.9903564453125,1005.787353515625,988.1795654296875,661.8223876953125,879.5731201171875,806.5997314453125,590.3546752929688,773.4261474609375,1661.517822265625
1993,702.6396484375,859.1959838867188,750.2727661132812,1172.1092529296875,693.354736328125,662.5072021484375,1040.916015625,645.53564453125,1041.73828125,1267.0992431640625
1994,595.816162109375,768.218505859375,631.2233276367188,724.7222900390625,715.2490234375,513.4920043945312,607.7596435546875,466.0857238769531,605.5491333007812,882.63818359375
1995,608.5574340820312,761.2236328125,608.0064086914062,838.91455078125,672.875732421875,364.4992370605469,664.6126098632812,546.478759765625,559.4694213867188,832.2198486328125
1996,763.9381713867188,971.7234497070312,855.4624633789062,1120.7447509765625,791.7189331054688,635.1116333007812,748.4129028320312,631.3514404296875,856.5740356445312,1424.396728515625
1997,614.4815673828125,629.225341796875,581.6463623046875,657.094970703125,685.4800415039062,659.2472534179688,601.480712890625,391.219970703125,628.0343017578125,723.5478515625
1998,630.1097412109375,849.0144653320312,758.1222534179688,762.1798706054688,717.6058349609375,869.4500732421875,726.2373657226562,313.9619445800781,688.0045166015625,916.4663696289062
1999,734.2061157226562,804.9953002929688,802.0176391601562,882.5598754882812,857.8910522460938,862.411376953125,687.7796630859375,427.7915344238281,799.1886596679688,876.50390625
2000,713.3569946289062,762.7763061523438,768.9959106445312,1026.1302490234375,670.2071533203125,779.021240234375,900.613525390625,356.1275329589844,644.323486328125,829.0286865234375
2001,665.67138671875,765.7728881835938,776.3349609375,767.6535034179688,662.379638671875,784.5289916992188,770.18212890625,380.8517761230469,633.1320190429688,824.589111328125
2002,625.0044555664062,712.842041015625,604.4893188476562,714.9506225585938,667.992431640625,695.5036010742188,701.82275390625,292.5993347167969,595.1318969726562,876.187255859375
2003,662.4805297851562,735.6602172851562,629.113525390625,656.16796875,616.12890625,726.993408203125,674.299560546875,244.158447265625,551.9559326171875,1201.2301025390625
2004,667.1484375,616.1499633789062,524.793212890625,452.6383056640625,688.1083374023438,697.3193359375,645.8002319335938,202.35520935058594,580.3341674804688,667.5097045898438
2005,703.2021484375,587.5136108398438,475.78057861328125,625.4187622070312,674.0540161132812,612.064208984375,684.0784301757812,205.8810272216797,545.0894165039062,629.1737060546875
2006,672.5498046875,643.5137329101562,701.5231323242188,667.1965942382812,750.3079223632812,717.9832763671875,749.649169921875,285.9337463378906,621.7144775390625,794.7119750976562
2007,701.7094116210938,622.7633666992188,578.3255004882812,639.5654907226562,640.86572265625,575.2620239257812,834.83642578125,203.15525817871094,569.1996459960938,632.9988403320312
2008,589.4310913085938,670.659423828125,614.140625,751.6631469726562,790.9366455078125,576.5809936523438,606.2037353515625,239.5922393798828,621.6243286132812,789.8449096679688
2009,657.5377197265625,768.5310668945312,612.0514526367188,754.8147583007812,737.7512817382812,589.5972900390625,665.9950561523438,224.13748168945312,497.5546875,747.8262939453125
2010,580.3729248046875,665.3353271484375,560.8897705078125,570.0125732421875,691.2763671875,753.9484252929688,788.4239501953125,256.66168212890625,517.01708984375,567.9697265625
2011,602.9014282226562,627.7073974609375,560.2645874023438,567.7022094726562,691.2113647460938,503.7008056640625,778.2716064453125,231.7299346923828,601.8403930664062,592.15771484375
