year,RABIL01_,RABIL02_,RABIL04_,RABIL06_,RABIL07_,RABIL10_,RABIL11_,RABIL13_,RABIL14_,RABIL16_
1875,4.962370790319667,1.2843624081003497,2.9347074240703392,1.601308762320528,2.334817201814829,2.7614450156585804,3.406113471591979,3.9514416405543358,1.2021369865235272,2.0708115375603597
1876,4.096151300576267,2.080692415018575,2.685047705888266,1.4737077837609007,2.833938457334611,2.192704692883126,4.097130428773852,2.570305891348383,1.2893698086915748,1.415371061391923
1877,2.6188524249361365,1.5286195036927666,2.6524778362119292,1.5241110289781972,2.2222485285663396,1.3579145431708497,3.1417587553209643,1.6406704257803,1.6033110941177284,1.5967185586258381
1878,2.1566621644336834,1.7949374032330638,3.081948546051109,1.4743624897691063,2.288881448078129,1.1827939948253743,2.1263858308425085,1.4640391502424563,1.5524014791477327,1.7139859086910434
1879,2.193838357081617,2.266472844228261,2.377735664166863,1.7366178088089725,1.608977819571578,1.6515002016165141,2.6332612269522855,1.851628092396112,1.8210960662332951,2.082440847196935
1880,4.452231809873027,2.8152838066368986,4.936589009137265,2.336599100647007,2.0360001638751584,2.160755476209914,4.302491327178046,3.21765042231101,2.922411710389838,2.6856332378585677
1881,2.500788544686827,2.1149759036247815,3.9853938870864027,1.6380708516589237,2.2391835846732846,2.0070965234621667,3.094613646898466,2.3318608730923387,3.050454725358506,2.196780094690695
1882,2.1279278437326496,2.063419643463291,3.103820744529088,1.2924459768284322,1.7832752068005249,2.0810092436783663,2.480301319391515,1.9144813963510074,2.340542212849897,1.795547630080648
1883,2.178851863583759,1.335174186117115,1.9831981078444443,1.5551744294737944,1.4489748354817067,1.805003223827228,2.092281788632377,2.4974629380825775,2.024180056262253,1.5600113643277211
1884,2.642298687161386,1.5308744413149924,2.567700095572647,1.7802240478893623,1.8351088707047012,1.9069961049417827,2.6633069360712938,2.7227651567737894,2.4083461243544093,1.6806446861204023
1885,2.627779474132794,1.9540230059124042,2.703598992603574,2.15883480201434,1.9394811056696284,1.9209963883313321,2.2375984608328565,2.5922442321204073,2.5976723882722723,1.9663425535784
1886,1.7860077261578908,0.5786106500816999,1.04693670750936,0.9344998583195121,1.1387941326065913,1.705235001336689,1.4621791238813415,1.5814373197189013,1.0288021317553273,1.0088985721706507
1887,3.1571173032617565,1.3214607668616907,1.1597458011925,1.2283619740993572,1.097529664265707,2.361452521203887,1.8387354132168667,1.9905497931969478,1.3816378363453055,0.9992644184485329
1888,4.49690691987179,1.6927443113240344,1.9646597017130034,1.9827922795307273,1.9827023022366035,3.4500883284674018,2.4359272779779673,3.5912152114796214,2.727914921598753,1.9487805214705105
1889,2.534683485987131,1.2230110711913085,1.5231993015262617,1.4629673149101023,1.5272165564222178,2.323030632880048,2.2803039877536406,2.80480159212064,2.151816232364226,1.3748489223199982
1890,1.4291524087395118,0.6995458052605414,1.1261529770873722,0.7520401228639599,1.3167856137808371,1.4821585127379961,1.0881591011829812,1.4104717647485217,1.5951735316876494,0.951412871728607
1891,3.545766320815929,1.417268814976424,2.1728788965017714,2.2400048480867554,2.5021187789023287,2.510753158861249,1.9872076858307395,3.49227933572989,2.7547522177499957,2.0453532885529455
1892,2.6739360439553366,0.6344576145011587,2.043050166147296,1.4099283096939104,1.9009049270896128,2.1937146392117057,1.311823053560829,2.582322101315256,1.8578783103275782,0.906594990231028
1893,1.9038179373403494,0.45770244480661404,1.0425264228056648,0.48703147092157906,1.0950631644193152,0.8996242486247183,1.0346108889398948,1.0765696666573916,0.5084580229349314,0.3614667815057544
1894,3.7663625816347803,1.4952199869019296,5.775318662613913,1.7518564824090248,2.537702359744358,2.930320817441711,2.6780640976269723,3.7018172357260113,2.011436762522351,1.455094056462812
1895,2.5562632445346765,1.1317601155887758,2.113056604612396,1.2295923392788524,1.3975892108938979,2.285518643069736,1.9943284146547597,1.7736398752918205,1.3793308789320662,1.354517114306617
1896,1.7845562761732339,0.5708535461700279,1.6380284608848825,0.7718419318423315,0.9581424827967311,1.3502187936618242,1.3491105133759476,0.8324925295124501,0.9055550668339265,0.9458865749566883
1897,2.1591115284988547,1.0117359305300084,2.156533886698597,1.0367121337077378,1.288988077240262,1.6499909998223075,1.7745431050757787,0.8988577103032185,1.5410490843291598,1.5760996129493776
1898,3.033657172222476,1.437028138356368,2.324848576328094,1.141147336672745,1.9440777591704972,2.615222716365679,1.9266818003634967,1.5240912610486106,1.87740210328775,2.1062364705380787
1899,1.2726594135452132,0.7870388019762515,1.24526607491417,0.3373630219041104,0.9410435470176424,1.6528972105394928,1.041830345620454,0.838097590918295,1.158550847649039,1.1906516118014707
1900,3.473938228802723,1.721340132558396,2.1252742451050324,0.7855517991673793,1.4007023208895788,2.461524991132592,2.3938485665394893,2.2178305587422074,1.7408914181983306,2.3430934139099975
1901,3.099749918205191,1.5142666269259593,2.5650006903706952,0.8771166221095257,1.5632816129628821,3.2657115647469084,2.18356145386538,2.0523594914247383,1.7145751316374458,2.437920422767533
1902,5.543434697417595,2.435187482185043,5.173634577308761,1.1291574609860646,2.835369220152387,3.7499376988589574,2.632175805105774,3.5166307001440202,2.537258112806711,3.2193813044050614
1903,3.988042881364251,1.886393500005184,2.6689666693773404,0.8519244660561611,1.7269247248246131,2.3426583972774893,1.725462974156926,3.5097178191033294,1.9311027485413206,1.752577775399402
1904,2.970704469762822,2.656212737715066,3.150706598374697,0.9703630679059643,1.7926033539561104,2.193312156483941,2.3412961157675625,2.985363058583687,2.632153969900429,2.2112841091641258
1905,0.9073265356438043,0.7231178177161723,1.050858779498597,0.49328885320336724,0.7046372430663865,1.0753886828983212,1.0219356067855472,0.8095916837991268,1.165348205587648,0.6022912653380956
1906,2.077734114572877,1.4409551222201884,1.631797204141705,0.9581372057388222,1.3481564620155808,1.9761839040947393,1.7247717841636359,1.7938341813442094,1.827266600601618,1.389849936212073
1907,3.592273040112687,2.1646773338508183,5.811503417337164,1.3221715987359062,1.9028153342356262,2.71515939419659,2.600435775741829,3.0591536017023344,2.153002574222768,2.4602435299517396
