year,RAOIARBIL01_,RAOIARBIL02_,RAOIARBIL04_,RAOIARBIL06_,RAOIARBIL07_,RAOIARBIL10_,RAOIARBIL11_,RAOIARBIL13_,RAOIARBIL14_,RAOIARBIL16_
1888,0.880137026309967,0.9648051857948303,0.9841940999031067,0.9819551706314087,0.981957197189331,0.9352654218673706,0.9002302289009094,0.9746643900871277,0.823989748954773,0.9902178645133972
1889,0.9400526881217957,0.9895760416984558,0.9739549160003662,0.9627377390861511,0.9765678644180298,0.9503752589225769,0.7755959033966064,0.9818997383117676,0.8184041976928711,0.9908034205436707
1890,0.9905094504356384,0.9903762340545654,0.9901664853096008,0.9512903094291687,0.9904581308364868,0.9791288375854492,0.9905662536621094,0.9756768941879272,0.4842640459537506,0.99048912525177
1891,0.9902798533439636,0.9597366452217102,0.9902801513671875,0.9687790870666504,0.986005425453186,0.9904999732971191,0.9536081552505493,0.9527424573898315,0.7812916040420532,0.9908114671707153
1892,0.9910709857940674,0.9905226230621338,0.9777175784111023,0.9856785535812378,0.9905131459236145,0.9900823831558228,0.9902035593986511,0.9257357120513916,0.6714848875999451,0.9902044534683228
1893,0.990519642829895,0.990340530872345,0.9912200570106506,0.9879797101020813,0.9889675974845886,0.9908061027526855,0.9904448390007019,0.985710620880127,0.9440841674804688,0.9902889132499695
1894,0.9816295504570007,0.9730316400527954,0.990589439868927,0.9750099182128906,0.9870795011520386,0.972886860370636,0.9905375242233276,0.9681310057640076,0.5023012161254883,0.9905796051025391
1895,0.9895120859146118,0.9677954316139221,0.9905272126197815,0.9711407423019409,0.9829730987548828,0.983701765537262,0.9670538902282715,0.9738317728042603,0.8231448531150818,0.9903714060783386
1896,0.9881675839424133,0.9880247712135315,0.9903759360313416,0.9852126836776733,0.9905469417572021,0.9191644191741943,0.9476822018623352,0.9890968203544617,0.7687077522277832,0.990267276763916
1897,0.935661256313324,0.947869062423706,0.9906900525093079,0.978378176689148,0.9734553098678589,0.9907968044281006,0.9566544890403748,0.9699420928955078,0.8165239691734314,0.983067512512207
1898,0.9398398995399475,0.990705132484436,0.9839327931404114,0.9693853855133057,0.9882827997207642,0.9440814852714539,0.9699766039848328,0.8978753089904785,0.9012958407402039,0.9905391335487366
1899,0.9905651807785034,0.990108072757721,0.9787391424179077,0.9903003573417664,0.9909682273864746,0.917872428894043,0.9667119979858398,0.990044116973877,0.9794189929962158,0.9909715056419373
1900,0.9904560446739197,0.9906696081161499,0.990779459476471,0.9607293009757996,0.9881990551948547,0.9100369811058044,0.9291120767593384,0.8985690474510193,0.8048456907272339,0.9616115093231201
1901,0.9904354214668274,0.9476819038391113,0.9904332756996155,0.981311023235321,0.9906861782073975,0.9155199527740479,0.9906410574913025,0.9558955430984497,0.747421383857727,0.9283891916275024
1902,0.9850257039070129,0.9347188472747803,0.9902858138084412,0.9859046936035156,0.9903386235237122,0.9774954915046692,0.877285361289978,0.9635684490203857,0.9903684258460999,0.9905325770378113
1903,0.9904170036315918,0.6929652690887451,0.984795331954956,0.9858132600784302,0.9866011738777161,0.9904024004936218,0.7771806120872498,0.9905264377593994,0.9824722409248352,0.9441595673561096
1904,0.9902891516685486,0.797143280506134,0.990370512008667,0.9688898921012878,0.98006671667099,0.9508416652679443,0.8828922510147095,0.9700409770011902,0.9655618071556091,0.9905551671981812
1905,0.9910297989845276,0.990340530872345,0.9905315637588501,0.9901225566864014,0.9908020496368408,0.9468804001808167,0.9612126350402832,0.99054354429245,0.9818111658096313,0.9900656938552856
1906,0.9903074502944946,0.9899787306785583,0.9903948307037354,0.9905684590339661,0.9906815886497498,0.9312112927436829,0.9123116731643677,0.9902061223983765,0.9824736714363098,0.9906511306762695
1907,0.9905464053153992,0.9684481620788574,0.95842045545578,0.9829614758491516,0.9889383912086487,0.9555885195732117,0.9142680764198303,0.9875118136405945,0.99039626121521,0.9328800439834595
1908,0.9809760451316833,0.9896726608276367,0.9907136559486389,0.9897637963294983,0.8401691317558289,0.8982756733894348,0.8855056166648865,0.9889337420463562,0.9908468723297119,0.9206824898719788
1909,0.9906131625175476,0.9909840226173401,0.9907181859016418,0.9905635714530945,0.981238842010498,0.891564130783081,0.9337149858474731,0.9906547665596008,0.990588903427124,0.990482747554779
1910,0.9903932809829712,0.9858522415161133,0.9902284145355225,0.9892032146453857,0.9711818099021912,0.9674085974693298,0.9509449005126953,0.9906187057495117,0.9907198548316956,0.9845776557922363
1911,0.9458308219909668,0.969479501247406,0.9911990761756897,0.981569766998291,0.9773619174957275,0.9701183438301086,0.8170008063316345,0.9745416641235352,0.9904366135597229,0.8618603944778442
1912,0.9868811964988708,0.9627137184143066,0.9906777739524841,0.9767009615898132,0.990333080291748,0.9715297818183899,0.9585713148117065,0.9882341027259827,0.9795915484428406,0.9640647768974304
1913,0.9793950915336609,0.9890042543411255,0.9899202585220337,0.9598761796951294,0.9391371607780457,0.9911346435546875,0.9792993068695068,0.9766737818717957,0.9733330607414246,0.989623486995697
1914,0.9781883358955383,0.9435529112815857,0.9529899954795837,0.9904555678367615,0.908338725566864,0.9704243540763855,0.965503454208374,0.9835854768753052,0.9862337112426758,0.6249203681945801
1915,0.9868573546409607,0.8844488859176636,0.9905710816383362,0.9906809329986572,0.9328511357307434,0.9706045985221863,0.9660242199897766,0.9789852499961853,0.9904716610908508,0.9904152154922485
1916,0.9841153025627136,0.9614026546478271,0.9837074875831604,0.9795630574226379,0.9156070947647095,0.829359769821167,0.9412824511528015,0.9903931021690369,0.9777994155883789,0.9703629612922668
1917,0.9905928373336792,0.9487676620483398,0.9519891738891602,0.9804622530937195,0.9719675779342651,0.849783718585968,0.9109545946121216,0.9908311367034912,0.8606574535369873,0.9133216738700867
1918,0.9824983477592468,0.9410486221313477,0.9848435521125793,0.9409412741661072,0.9414114356040955,0.9684116840362549,0.9286742806434631,0.9805007576942444,0.9684496521949768,0.9591754674911499
1919,0.9768881797790527,0.9187967777252197,0.9830538034439087,0.9447512626647949,0.9410236477851868,0.9465683698654175,0.9332408308982849,0.9832547307014465,0.9592109322547913,0.9854716062545776
1920,0.9678225517272949,0.9612096548080444,0.9582136869430542,0.9408332705497742,0.9470764398574829,0.9516015648841858,0.9030120372772217,0.9750247597694397,0.9841778874397278,0.9372801780700684
1921,0.9837678074836731,0.9903532266616821,0.9903237819671631,0.9042975902557373,0.9604631662368774,0.9075748324394226,0.9375050663948059,0.9891429543495178,0.9122766852378845,0.9906761050224304
1922,0.8989920616149902,0.990130603313446,0.9906597137451172,0.989704430103302,0.9404985904693604,0.9144471883773804,0.886856734752655,0.9866400361061096,0.983895480632782,0.9848531484603882
1923,0.9767206311225891,0.9747782349586487,0.8978631496429443,0.9026399850845337,0.9354124069213867,0.9201933145523071,0.8911670446395874,0.9906366467475891,0.9655637741088867,0.8824803829193115
1924,0.9903360605239868,0.9867302179336548,0.9783955216407776,0.9458138942718506,0.9714633226394653,0.917443037033081,0.9135892391204834,0.9905420541763306,0.9750150442123413,0.9906394481658936
1925,0.9635117053985596,0.9536969661712646,0.9369961023330688,0.9393039345741272,0.9282915592193604,0.9868903160095215,0.9281951785087585,0.981823742389679,0.9903767704963684,0.9536294341087341
1926,0.9904959797859192,0.9316532611846924,0.961686372756958,0.9517642259597778,0.8901113867759705,0.9906103014945984,0.9482281804084778,0.9909279942512512,0.9358807802200317,0.9796907901763916
