year,CWTleBIL01_,CWTleBIL02_,CWTleBIL04_,CWTleBIL06_,CWTleBIL07_,CWTleBIL10_,CWTleBIL11_,CWTleBIL13_,CWTleBIL14_,CWTleBIL16_
1870,3.0236096382141113,3.4475605487823486,3.3235981464385986,3.3731343746185303,4.233029842376709,3.6181819438934326,3.265834331512451,3.7801289558410645,3.423480749130249,3.2317564487457275
1871,3.0495471954345703,3.4836578369140625,3.2957417964935303,3.4744818210601807,4.018509864807129,3.3660404682159424,3.1168770790100098,3.680673122406006,3.1811139583587646,3.160778522491455
1872,3.454963207244873,4.417855262756348,3.4800970554351807,4.040744304656982,4.272111415863037,3.445134401321411,3.793842077255249,3.884211540222168,3.752361297607422,3.1827332973480225
1873,3.5622949600219727,3.997849225997925,3.595524311065674,3.9197092056274414,4.078705787658691,3.7118401527404785,3.5868046283721924,3.6402385234832764,3.6196439266204834,3.2121307849884033
1874,3.973468542098999,4.354002952575684,4.133691787719727,4.157256603240967,4.762476444244385,4.5326151847839355,3.6575992107391357,3.8385443687438965,3.962322950363159,3.3256845474243164
1875,3.268962860107422,3.523878812789917,3.168231248855591,3.0339372158050537,3.689702033996582,3.7925493717193604,2.9175968170166016,3.319871187210083,3.360656499862671,2.83797550201416
1876,3.430880308151245,4.001023292541504,3.5116994380950928,3.6792526245117188,4.113781929016113,3.7832987308502197,3.461522340774536,3.2706265449523926,3.661470413208008,3.3014094829559326
1877,3.0507662296295166,3.8571767807006836,3.5831868648529053,3.2847065925598145,4.17519998550415,3.5785861015319824,3.5986900329589844,3.0626325607299805,3.495079278945923,3.054985761642456
1878,3.4664416313171387,4.2157793045043945,3.5387232303619385,3.5044524669647217,3.737539291381836,3.588089942932129,3.353055715560913,2.9567201137542725,3.3274223804473877,3.4342074394226074
1879,3.8945605754852295,4.49147367477417,3.822540760040283,3.412606716156006,4.182682037353516,3.755939245223999,3.6576082706451416,3.1052510738372803,3.4755828380584717,3.773651599884033
