year,DhBIL01_,DhBIL02_,DhBIL04_,DhBIL06_,DhBIL07_,DhBIL10_,DhBIL11_,DhBIL13_,DhBIL14_,DhBIL16_
1861,23.001306533813477,24.686126708984375,27.680341720581055,26.695383071899414,22.21689796447754,0,22.86865234375,22.324596405029297,24.399394989013672,23.328027725219727
1862,25.426578521728516,24.062454223632812,27.824007034301758,27.062665939331055,24.802167892456055,0,23.682533264160156,24.0664119720459,25.111919403076172,22.900035858154297
1863,23.74160385131836,23.621679306030273,27.183950424194336,26.639631271362305,22.351703643798828,0,23.300701141357422,21.62483024597168,25.235864639282227,21.415176391601562
1864,25.163097381591797,23.744653701782227,26.451522827148438,24.722698211669922,23.69715118408203,0,21.9755916595459,22.083127975463867,24.284629821777344,22.025850296020508
1865,25.188573837280273,23.306655883789062,27.408409118652344,25.90679359436035,19.483869552612305,22.929201126098633,22.504331588745117,20.08441162109375,21.97481918334961,21.500057220458984
1866,25.85773468017578,23.222557067871094,27.540496826171875,26.0203857421875,20.879440307617188,26.185327529907227,22.25522804260254,20.265893936157227,25.954065322875977,23.047685623168945
1867,26.37428855895996,23.407499313354492,26.802274703979492,26.54191780090332,20.7832088470459,26.364707946777344,23.45636558532715,20.629772186279297,24.704326629638672,23.052566528320312
1868,25.34939193725586,24.718717575073242,26.87889289855957,27.073945999145508,22.75527572631836,26.094820022583008,25.3897705078125,21.702024459838867,25.121294021606445,24.643901824951172
1869,25.9387264251709,24.39432716369629,28.489665985107422,28.401824951171875,21.398168563842773,26.853744506835938,25.618568420410156,21.750293731689453,28.594785690307617,21.890649795532227
1870,26.751737594604492,25.204668045043945,30.25041389465332,29.425296783447266,22.93445587158203,28.636899948120117,25.40331268310547,22.978134155273438,28.122989654541016,23.15328598022461
1871,28.037588119506836,26.484481811523438,31.77631378173828,30.228464126586914,23.953020095825195,29.378395080566406,27.8885498046875,23.508834838867188,30.06009864807129,25.75006675720215
1872,26.948318481445312,24.524778366088867,30.810317993164062,28.27701759338379,27.2331485748291,26.84078598022461,25.947072982788086,24.507917404174805,26.863142013549805,24.691036224365234
1873,27.60169219970703,24.217504501342773,30.976511001586914,28.19187355041504,27.748889923095703,28.007970809936523,25.083087921142578,24.7445068359375,26.837013244628906,25.797550201416016
1874,29.67099952697754,23.979843139648438,31.304706573486328,27.689815521240234,28.59891700744629,27.36911392211914,24.15475845336914,25.649202346801758,27.017606735229492,26.187665939331055
1875,31.65985679626465,24.659786224365234,32.21172332763672,29.17428207397461,28.04979133605957,28.24251365661621,26.893476486206055,26.49415397644043,29.151405334472656,28.407236099243164
1876,29.131322860717773,23.557275772094727,28.184524536132812,24.389795303344727,27.36790657043457,25.83133316040039,25.33241844177246,23.72544288635254,25.38698959350586,24.3038387298584
1877,29.09602928161621,25.28438377380371,32.509525299072266,27.331289291381836,29.096054077148438,26.824329376220703,25.30146026611328,24.648229598999023,26.997438430786133,26.440874099731445
1878,29.219451904296875,26.36165428161621,31.819242477416992,28.903217315673828,28.99591636657715,28.394060134887695,26.307180404663086,26.088485717773438,29.168088912963867,29.052364349365234
1879,29.032470703125,27.513925552368164,31.466129302978516,31.037172317504883,30.57440185546875,28.16564178466797,26.365745544433594,26.365816116333008,30.576583862304688,30.522300720214844
1880,30.964941024780273,26.410179138183594,33.31214141845703,30.177766799926758,29.568201065063477,27.881813049316406,27.26665687561035,26.281503677368164,29.755842208862305,28.140138626098633
1881,24.919269561767578,27.5913143157959,32.74142074584961,30.25483512878418,29.09100914001465,30.832435607910156,27.834182739257812,26.599071502685547,28.507917404174805,28.307220458984375
1882,28.8211612701416,29.036252975463867,31.15371322631836,29.28885269165039,29.003368377685547,30.854022979736328,28.8721866607666,26.766315460205078,27.047916412353516,28.53582000732422
1883,28.441572189331055,28.956342697143555,31.208786010742188,30.686872482299805,29.411100387573242,28.989336013793945,30.927236557006836,28.358600616455078,29.931697845458984,29.068645477294922
1884,32.95376968383789,30.266103744506836,33.89154815673828,29.973310470581055,29.269514083862305,29.254989624023438,30.27723503112793,26.201692581176758,30.084228515625,29.377933502197266
1885,31.725818634033203,29.11127281188965,32.69835662841797,28.343868255615234,29.065696716308594,29.48550033569336,25.6927433013916,25.236730575561523,29.667207717895508,28.98233985900879
1886,33.30708694458008,28.52916145324707,28.395145416259766,27.011005401611328,28.808433532714844,30.11257553100586,27.315244674682617,26.169715881347656,29.33357048034668,28.672361373901367
1887,32.658653259277344,29.7630672454834,30.175050735473633,29.042402267456055,28.85651397705078,28.838239669799805,26.35529136657715,27.76335334777832,31.776710510253906,27.94031524658203
1888,32.14154815673828,30.433176040649414,30.648754119873047,28.968276977539062,28.49388313293457,29.162559509277344,26.784954071044922,26.951475143432617,32.71025848388672,28.052732467651367
1889,28.605653762817383,31.513675689697266,32.118587493896484,31.663509368896484,30.84712028503418,30.059972763061523,26.754531860351562,28.600658416748047,32.1060676574707,29.982410430908203
1890,31.75176239013672,30.927114486694336,30.928455352783203,29.91954231262207,32.87923812866211,30.48383903503418,27.033292770385742,27.557933807373047,33.359161376953125,29.56275177001953
1891,33.21748733520508,32.14625549316406,32.75923156738281,29.245969772338867,32.65283203125,30.121112823486328,27.760251998901367,26.102832794189453,32.7691535949707,28.19459342956543
1892,33.774662017822266,31.89291000366211,32.83618927001953,28.352720260620117,33.05646514892578,32.10249710083008,28.506956100463867,29.5743350982666,35.40800094604492,28.62457847595215
