year,AOIARBIL01_,AOIARBIL02_,AOIARBIL04_,AOIARBIL06_,AOIARBIL07_,AOIARBIL10_,AOIARBIL11_,AOIARBIL13_,AOIARBIL14_,AOIARBIL16_
1949,4.74029016494751,1.0100065469741821,1.5362646579742432,1.192789912223816,1.5765293836593628,1.6229841709136963,1.4795019626617432,1.7485392093658447,1.319496989250183,1.6917990446090698
1950,2.5504584312438965,0.40774303674697876,0.33504027128219604,0.4325733184814453,0.7289342284202576,0.8720689415931702,0.6787109971046448,1.315807819366455,0.7137756943702698,0.5142030715942383
1951,3.660763740539551,1.0892879962921143,1.4823479652404785,1.1488885879516602,1.604354739189148,1.005833387374878,1.4819103479385376,1.7265839576721191,1.5101327896118164,1.4332934617996216
1952,4.5229644775390625,0.8939133286476135,2.472744941711426,1.0337252616882324,1.8265841007232666,1.4386818408966064,1.6175329685211182,1.6616156101226807,1.7175151109695435,1.4934804439544678
1953,2.9124701023101807,1.1508824825286865,2.8809914588928223,1.1051005125045776,1.4716705083847046,1.2169631719589233,1.7429118156433105,1.3592647314071655,1.0545638799667358,1.4861592054367065
1954,1.5629717111587524,0.5187780261039734,0.8135040402412415,0.5869797468185425,0.7539963722229004,0.5677761435508728,0.840234637260437,0.48709043860435486,0.7999057769775391,0.7622495889663696
1955,2.9697091579437256,0.8501157164573669,1.297071099281311,1.181601643562317,0.8552667498588562,1.0569230318069458,1.335501790046692,0.8163319826126099,0.8154639601707458,1.3042259216308594
1956,4.738511562347412,1.6278265714645386,2.333629608154297,1.6806602478027344,1.6072161197662354,1.5617424249649048,2.2396016120910645,1.6596086025238037,1.5067365169525146,1.9669948816299438
1957,3.2374160289764404,0.9242563247680664,1.479292392730713,1.0212123394012451,1.437132716178894,1.3702402114868164,2.0976943969726562,0.8397359251976013,1.3011513948440552,1.3579152822494507
1958,5.662364482879639,1.479150414466858,2.871983051300049,2.127434253692627,2.1421263217926025,1.721433401107788,2.348560333251953,1.8609824180603027,1.7934746742248535,2.622119426727295
1959,2.6799919605255127,0.8370029330253601,1.5394824743270874,1.228174090385437,1.6253865957260132,1.211364984512329,1.8346202373504639,1.210004210472107,0.8085656762123108,1.502672553062439
1960,3.526057243347168,1.0815249681472778,2.0139451026916504,1.985966682434082,1.9836387634277344,2.041491746902466,2.4520280361175537,2.2742085456848145,1.7082350254058838,2.0589654445648193
1961,1.6158396005630493,0.4768872857093811,0.44035109877586365,0.7179778814315796,0.7573434710502625,1.089099407196045,1.3338502645492554,0.555623471736908,0.6525686979293823,0.6065972447395325
1962,1.936019778251648,1.0408878326416016,0.37129995226860046,1.089221715927124,1.4285032749176025,1.286954402923584,1.712420105934143,0.7845874428749084,0.7575435638427734,0.9414395093917847
1963,2.380962610244751,0.8165780901908875,0.7680054903030396,1.7453964948654175,1.5247710943222046,1.1899398565292358,1.8802752494812012,1.0734121799468994,1.074082612991333,1.0885517597198486
1964,3.5705790519714355,1.1194183826446533,2.502593517303467,1.9749860763549805,1.6475861072540283,2.095370054244995,3.3747410774230957,1.9092533588409424,1.2411860227584839,1.9574633836746216
1965,2.804598569869995,0.7396138310432434,1.7809693813323975,1.2910258769989014,1.362481951713562,1.1787582635879517,1.7499644756317139,1.298986792564392,0.9525302052497864,1.2888480424880981
1966,2.441431999206543,0.8339751362800598,0.9381194710731506,1.2583749294281006,1.2973467111587524,1.3922921419143677,1.6452871561050415,1.0528156757354736,0.7341822385787964,1.2071452140808105
1967,2.4503495693206787,0.7963168621063232,1.0996875762939453,1.2557927370071411,1.4569628238677979,1.1003482341766357,1.3344300985336304,1.0612727403640747,1.0914779901504517,1.0062313079833984
1968,4.193857669830322,1.4551252126693726,1.5125384330749512,1.6604143381118774,2.5125958919525146,1.2654480934143066,1.880893349647522,1.4996646642684937,1.1559463739395142,1.8320395946502686
1969,5.2335309982299805,1.5010162591934204,1.2239025831222534,1.4320342540740967,2.4074714183807373,1.7282854318618774,1.7370858192443848,1.8296128511428833,1.1153713464736938,1.8697514533996582
1970,3.39194917678833,1.0662047863006592,1.6450666189193726,1.4155710935592651,2.150846481323242,1.5985727310180664,2.0659587383270264,2.229506731033325,1.3127211332321167,1.617226243019104
1971,3.3356809616088867,1.1431684494018555,1.0220850706100464,1.1310495138168335,2.5928573608398438,0.9822019934654236,1.516818642616272,0.9575818181037903,1.4478614330291748,1.8192050457000732
1972,2.164532423019409,0.7516365647315979,1.0630247592926025,0.5363200902938843,1.092326045036316,0.7171630859375,1.907422423362732,0.8068748712539673,0.8078357577323914,0.8510972857475281
1973,1.4630457162857056,1.5095151662826538,1.2099065780639648,1.062651515007019,1.8688486814498901,0.9835241436958313,2.4125142097473145,1.4063183069229126,1.3120853900909424,1.4900498390197754
1974,2.917905569076538,0.7652799487113953,1.4738869667053223,1.2112563848495483,1.6695961952209473,1.0080281496047974,2.1457228660583496,1.487026333808899,0.8819275498390198,1.1581790447235107
1975,2.0250861644744873,0.6498051881790161,1.3286622762680054,0.8207893371582031,1.6966537237167358,0.9291762113571167,1.5451204776763916,1.075669288635254,1.0025964975357056,1.0255346298217773
1976,2.5106425285339355,0.8358619213104248,1.5304597616195679,1.143907070159912,2.3236207962036133,1.250516653060913,2.1556150913238525,1.6630046367645264,0.9991395473480225,1.3153883218765259
1977,2.1246724128723145,0.5554853081703186,0.9253020882606506,1.0608760118484497,1.9885227680206299,1.0280503034591675,1.673614740371704,1.0377693176269531,1.1083543300628662,1.2417404651641846
1978,1.5785291194915771,0.3584973216056824,0.8999431729316711,0.6789402961730957,1.5400797128677368,1.018336296081543,1.9476280212402344,0.687086284160614,0.8299597501754761,1.1757886409759521
1979,2.645378828048706,0.7434341907501221,1.5606178045272827,1.1748883724212646,1.894013524055481,1.3860965967178345,2.272538185119629,1.2405681610107422,1.0537691116333008,1.432955026626587
1980,2.9425277709960938,1.0160261392593384,1.6589401960372925,1.3174803256988525,2.0897061824798584,1.429455041885376,3.432249069213867,1.2451108694076538,0.9444276690483093,1.2074971199035645
1981,2.1697945594787598,0.6083405017852783,1.1365258693695068,1.043088674545288,1.7116854190826416,1.408864140510559,2.1474337577819824,1.0337600708007812,0.6629434823989868,1.0358046293258667
1982,1.5432647466659546,0.35818734765052795,0.4139673113822937,0.2302994579076767,0.9306305646896362,1.138474464416504,0.7683314085006714,0.42836886644363403,0.5576295852661133,0.5327107310295105
1983,1.9850064516067505,0.6293849945068359,1.7690467834472656,0.6869829297065735,1.241574764251709,1.3286770582199097,1.9237875938415527,1.0713510513305664,0.6234267354011536,1.270006537437439
1984,1.9727520942687988,0.5931708216667175,1.6571425199508667,0.8446627259254456,1.514068841934204,1.2718602418899536,1.8706300258636475,0.7583339810371399,0.3389933407306671,1.0495331287384033
1985,2.568347930908203,1.0988472700119019,2.2529847621917725,1.4630733728408813,2.057126045227051,1.9175089597702026,3.780158758163452,1.0943292379379272,1.5797384977340698,2.543717861175537
1986,2.10223126411438,0.8070093989372253,1.35183584690094,0.9284749031066895,1.1289982795715332,1.7466200590133667,2.668570041656494,0.9142353534698486,1.2275536060333252,1.5476733446121216
1987,1.6522201299667358,0.5083374381065369,0.23344166576862335,0.5687622427940369,0.6728326678276062,1.533164143562317,1.2654398679733276,0.3089674711227417,0.8854415416717529,0.7722618579864502
1988,1.9884248971939087,0.8082433938980103,1.445580005645752,1.053239107131958,1.1928861141204834,1.5510549545288086,1.7325984239578247,0.6904157996177673,1.2690680027008057,1.1881238222122192
1989,2.0624208450317383,0.8090929985046387,1.5173418521881104,0.9181826114654541,1.36836838722229,1.1185905933380127,1.8209304809570312,0.7698546648025513,1.2117148637771606,0.44755038619041443
1990,1.441691279411316,0.44109389185905457,0.7490155100822449,0.5794638395309448,1.1268341541290283,1.2497855424880981,0.9817229509353638,0.3816932141780853,1.0001294612884521,0.4808874726295471
1991,1.9950751066207886,0.8363443613052368,1.5743554830551147,0.9281293153762817,1.311279296875,1.3319976329803467,1.564579963684082,0.796477198600769,1.2304621934890747,0.766464352607727
1992,0.8224987387657166,0.1876794397830963,0.2694406509399414,0.3511507511138916,0.4034315049648285,0.29559794068336487,0.7116292715072632,0.07283756881952286,0.4279658794403076,0.11375141143798828
1993,1.2652288675308228,0.4038659334182739,0.6064460873603821,0.1621009260416031,0.5653671622276306,0.5132019519805908,0.7137943506240845,0.19983404874801636,0.2735811769962311,0.19414421916007996
1994,1.836136817932129,0.5844691395759583,0.9362772107124329,0.9520888328552246,0.9507178068161011,0.743925929069519,1.2258135080337524,0.5750015377998352,0.8917526006698608,0.5392923355102539
1995,2.2052149772644043,0.5425475239753723,0.9177534580230713,0.7485863566398621,1.0566587448120117,1.0288087129592896,1.7213034629821777,0.4483248293399811,0.9348142743110657,0.5178920030593872
1996,1.3757658004760742,0.41781434416770935,0.320294588804245,0.25875651836395264,0.7906846404075623,0.6975151896476746,1.130392074584961,0.23441776633262634,0.5370230674743652,0.17832110822200775
1997,2.5533719062805176,0.8518410921096802,1.3221092224121094,1.1626933813095093,1.541985034942627,0.7493395209312439,2.718291759490967,1.211594581604004,1.179871916770935,1.0407052040100098
