year,MRadDistBIL01_,MRadDistBIL02_,MRadDistBIL04_,MRadDistBIL06_,MRadDistBIL07_,MRadDistBIL10_,MRadDistBIL11_,MRadDistBIL13_,MRadDistBIL14_,MRadDistBIL16_
1915,3665.9375,6144.625,11422.3828125,2737.34375,3303.3671875,4994.375,1484.046875,8230.0390625,5027.6015625,9203.6875
1916,4779.6875,7015.3984375,12579.265625,3036.4609375,3809.6484375,5593.828125,2267.53125,8882.96875,5820.8515625,9872.96875
1917,5516.1640625,7601.4765625,13138.28125,3232.8515625,4144.921875,6424.3203125,2855.9765625,9450.4921875,6487.1171875,10342.1484375
1918,6497.421875,8296.046875,1136.2109375,3546.5,4568.3359375,7218.3203125,3580.3515625,10231.625,7495.2578125,11051.6171875
1919,7182.7578125,8686.90625,1867.4375,3727.3828125,4913.59375,7747.0078125,3993.4296875,10637.0078125,8074.7578125,11269.9453125
1920,7867.5390625,9068.6484375,2569.3515625,3905.46875,5270.359375,8085.7890625,4435.0390625,11043.5625,8615.328125,11706.1015625
1921,8428.6484375,9260.5234375,2742.7109375,3953.9375,5472.359375,8428.7265625,4648.0703125,1836.25,8830.6953125,11845.8046875
1922,9296.1875,9636.578125,3187.6484375,4137.3359375,5891.4609375,8920.1640625,4988.578125,11716.296875,9352.703125,12156.515625
1923,3842.5078125,10176.59375,4247.03125,4467.640625,6367.84375,9519.375,5611.8203125,12495.0546875,10026.0078125,12593.78125
1924,5114.953125,838.9765625,5479.921875,4811.1875,6841.9609375,10034.3984375,6226.890625,3653.6875,10547.1328125,13271.1953125
1925,6561.3359375,1415.0390625,7054.15625,5116.5625,7373.3359375,10517.765625,6850.90625,4315.1484375,10980.96875,972.828125
1926,7447.3515625,1812.0234375,7873.0703125,5343.8828125,7824.296875,11074.203125,7464.3984375,4789.6015625,1124.5234375,1400.75
1927,8376.234375,2206.0234375,8607.5625,5589.5234375,8239.7421875,11581.4765625,7946.3984375,5285.7578125,1498.46875,1886.53125
1928,9550.2265625,2500.0390625,9287.5546875,5912.0234375,8746.2890625,12187.2109375,8473.2578125,5906.2734375,1884.421875,2334.265625
1929,11068.3828125,3005.03125,3475.5,6382.2109375,9380.625,3115.8671875,9298.8515625,6980.1328125,2646.4765625,3013.3671875
1930,1452.3515625,3422.0546875,4383.5390625,6887.3046875,9968.421875,3792.7734375,9961.3828125,8013.8125,3217.234375,3527.9609375
1931,2964.59375,3881.359375,5403.796875,7404.4765625,10608.890625,4362.7421875,10827.75,8910.3125,3881.9765625,4239.4453125
1932,4679.8515625,4277.8359375,6525.34375,7951.8671875,915.75,4906.140625,11533.28125,10078.2578125,4563.640625,5056.1875
1933,6041.53125,4655.9609375,7367.1640625,8370.84375,1384.0859375,5256.6015625,12126,10890.5234375,5251.453125,5703.1640625
1934,6728.1796875,4927.7890625,7835.3984375,8650.75,1717.2421875,5712.984375,1359.4140625,11455.1953125,5648.0859375,6117.90625
1935,7828.9453125,5550.671875,8864.4375,9144.0859375,2387.8671875,6101.7421875,2254.53125,12199.515625,6223.703125,6847.5546875
1936,8420.75,5753.46875,9507.9921875,9413.421875,2696.421875,6468.1640625,2895.3359375,12394.3515625,6515.265625,1354.9296875
1937,9382.84375,6197.984375,10438.546875,9909.53125,3177.3046875,6843.4140625,3697.1328125,12880.171875,6926.7265625,1999.90625
1938,1269.3125,6625.8359375,11344.4765625,10316.546875,3644.1953125,7208.5234375,4324.5703125,1329.59375,7279.125,2671.78125
1939,2365.453125,7186.171875,12475.9609375,10918.0078125,4274.0546875,7786.7265625,5099.3828125,2230.40625,8038.734375,3420.234375
1940,3373.203125,7850.1171875,13640.65625,11537.015625,5177.828125,8653.6015625,6122.765625,3594.671875,8847.546875,4320.21875
1941,4663.3203125,8544.1484375,2810.859375,12244.71875,6074.6015625,9307.6796875,7256.203125,4901.5078125,9488.265625,5439.3125
