year,RCTA*BIL01_,RCTA*BIL02_,RCTA*BIL04_,RCTA*BIL06_,RCTA*BIL07_,RCTA*BIL10_,RCTA*BIL11_,RCTA*BIL13_,RCTA*BIL14_,RCTA*BIL16_
1878,51.51585006713867,34.46881866455078,51.536434173583984,49.055362701416016,45.413169860839844,39.483482360839844,43.35395812988281,51.800567626953125,49.84153366088867,49.0674934387207
1879,47.319393157958984,31.769134521484375,46.84188461303711,50.44425964355469,41.69491958618164,40.43165969848633,38.6486701965332,48.425743103027344,48.19378662109375,46.507957458496094
1880,50.631797790527344,31.613691329956055,45.58907699584961,47.4756965637207,37.59611129760742,38.751739501953125,42.39902877807617,47.95466613769531,41.07666015625,42.63252258300781
1881,32.104557037353516,34.86526870727539,46.88544464111328,49.2607421875,40.137935638427734,42.38560104370117,47.76103973388672,47.4114990234375,47.44132995605469,45.100799560546875
1882,45.40213394165039,34.708065032958984,39.414756774902344,39.264217376708984,28.975467681884766,39.75141143798828,40.44111251831055,36.9191780090332,36.72657775878906,38.419395446777344
1883,44.67344284057617,42.227901458740234,44.46186828613281,52.63031005859375,43.5150146484375,46.13170623779297,46.38286209106445,42.2838020324707,46.53944778442383,45.167152404785156
1884,53.43013381958008,42.26116943359375,54.409446716308594,49.911312103271484,45.04936981201172,43.726375579833984,46.72068786621094,43.75233459472656,48.13666915893555,48.22832107543945
1885,52.513458251953125,46.53181076049805,56.376976013183594,52.57250213623047,45.73980712890625,45.52446365356445,36.793800354003906,44.04216003417969,51.3826789855957,48.61003875732422
1886,55.58148193359375,50.04082107543945,53.63359832763672,51.88225173950195,47.181541442871094,46.09451675415039,39.71865463256836,42.895626068115234,51.49791717529297,52.85030746459961
1887,48.705867767333984,41.745304107666016,52.46673583984375,49.12349319458008,45.82950973510742,41.4712028503418,30.719730377197266,39.70478057861328,45.954795837402344,49.63575744628906
1888,54.64936828613281,39.63239288330078,52.62709426879883,40.818851470947266,35.46836471557617,45.18281173706055,34.47534942626953,40.85212326049805,49.75491714477539,37.70176315307617
1889,31.58601188659668,47.483848571777344,52.06298828125,48.42354202270508,38.59840774536133,44.251808166503906,27.405513763427734,45.0703239440918,47.8255615234375,41.9829216003418
1890,52.32081985473633,48.653560638427734,53.40665817260742,49.01009750366211,43.875492095947266,45.54979705810547,33.87688446044922,42.2552490234375,45.17790603637695,45.49464797973633
