year,MinRWBIL01_,MinRWBIL02_,MinRWBIL04_,MinRWBIL06_,MinRWBIL07_,MinRWBIL10_,MinRWBIL11_,MinRWBIL13_,MinRWBIL14_,MinRWBIL16_
1930,1074.7734375,371.734375,868.1171875,490.2421875,543.734375,644.4765625,620.84375,996.2578125,488.109375,478.6640625
1931,1471.953125,437.5625,954.7890625,481.359375,602.2421875,548.75,835.8984375,853.890625,582.1015625,668.90625
1932,1675.703125,349.2265625,1009.8671875,521.8203125,484.5390625,502.40625,685.6328125,1131.171875,648.0625,784.15625
1933,1329.8359375,340.3203125,773.3125,368.390625,443.796875,249.203125,546.734375,728.9921875,596.3125,619.2734375
1934,659.21875,248.84375,440.2265625,236.1953125,312.09375,331.0703125,425.6796875,489.8203125,283.9296875,376.59375
1935,1041.0546875,588.9375,966.578125,480.8671875,625.2890625,302.1015625,839.859375,666.328125,504.5859375,690.8828125
1936,543.328125,178.1171875,605.1484375,247.390625,278.921875,271.015625,616.15625,172.828125,252.3984375,298.3203125
1937,878.7734375,416.3828125,888.3671875,460.6015625,460.078125,338.8359375,779.1953125,449.3515625,375.2265625,609.1328125
1938,1048.953125,394.3203125,841.6171875,307.2265625,447.453125,346.71875,605.8515625,374.40625,328.40625,615.3515625
1939,1025.515625,522.34375,1067.8359375,553.890625,580.7265625,559.7421875,745.03125,863.2734375,659.9375,725.40625
1940,985.578125,611.6796875,1122.609375,566.2890625,855.71875,833.6640625,987.84375,1323.2890625,695.765625,865.4296875
1941,1246.3046875,628.5859375,1045.125,651.84375,857.1328125,605.8125,1098.546875,1276.59375,436.265625,1070.984375
1942,795.8671875,398.78125,554.1015625,417.6640625,547.640625,530.1171875,748.8359375,592.4375,629.96875,628.53125
1943,1029.0234375,588.3359375,758.1953125,542.6953125,676.3828125,851.78125,989.125,791.421875,411.953125,870.421875
1944,1113.078125,498.875,915.03125,701.0390625,875.453125,794.4375,993.1796875,882.6171875,420.359375,777.9609375
1945,918.828125,566.9140625,510.8828125,44.9453125,731.59375,738.3515625,631.9609375,619.96875,305.078125,554.3203125
1946,597.875,296.2109375,284.6171875,273.5234375,476.921875,507.71875,451.3046875,332.2421875,259.90625,279.4140625
1947,1072.8828125,530.1640625,694.5,666.46875,610.828125,693.546875,660.2734375,761.5625,603.3125,546.421875
1948,1280.3984375,511.828125,861.8203125,663.9453125,656.40625,639.6953125,673.6953125,754.484375,563.484375,674.9765625
1949,1329.453125,274.4296875,401.84375,329.2421875,428.3203125,433.265625,399.265625,478.4375,291.78125,446.734375
1950,689.640625,100.7578125,60.2109375,100.625,176.8125,228.6015625,149.734375,341.3828125,179.0390625,123.75
1951,975.4765625,299.25,389.6171875,327.9375,431.453125,270.515625,401.828125,450.7109375,400.078125,383.21875
1952,1264.7578125,210.375,638.6328125,375.296875,494.4921875,416.828125,497.703125,537.25,532.859375,450.890625
1953,803.5390625,332.3828125,811.53125,342.96875,405.8046875,360.296875,471.65625,437.734375,335.1015625,423.515625
1954,411.7421875,123.78125,207.3671875,149.4375,196.703125,126.828125,227.1875,126.4140625,198.953125,182.1171875
1955,805.5546875,219.1875,330.8359375,336.90625,217.0390625,280.65625,364.6796875,198.5,209.5234375,320.046875
1956,1330.625,419.9765625,624.453125,498.703125,438.5234375,412,647.59375,503.140625,397.390625,513.46875
1957,938.0546875,235.8828125,406.6953125,350.0703125,383.734375,360.6640625,609.1640625,226.3671875,348.203125,362.9140625
1958,1588.265625,414.1875,807.234375,738.8984375,589.734375,501.6640625,650.2265625,538.5625,555.65625,705.9140625
1959,727.03125,220.1328125,406.5546875,380.0703125,404.015625,305.4609375,517.7421875,332.875,191.3515625,387.125
1960,1019.1640625,329.3203125,526.4921875,637.3515625,548.078125,584.359375,744.125,667.484375,540.6171875,613.8828125
1961,425.9375,116.2890625,111,185.0078125,200.671875,274.09375,422.125,135.640625,176.8125,156.890625
1962,520.7421875,278.5234375,62.8046875,291.4921875,382.828125,320.4453125,543.0390625,207.7265625,206.03125,245.296875
1963,649,217.03125,188.671875,489.3515625,416.8203125,293,540.5390625,286.6875,303.71875,288.1875
1964,997.2265625,311.1796875,701.8046875,651.984375,424.4765625,587.46875,966.015625,519.375,419.5,593.6015625
1965,797.078125,191.8203125,466.1875,329.3046875,355.125,319.609375,507.375,350.9296875,274.4609375,339.90625
1966,689.796875,214.8359375,231.203125,337.734375,343.5546875,362.9140625,488.8125,277.734375,174.6796875,335.4921875
1967,662.96875,209.5546875,281.609375,341.140625,388.9921875,303.25,368,284.1484375,283.328125,269.1875
1968,1087.046875,400.8671875,400.03125,449.7109375,694.9609375,313.625,602.734375,399.109375,371.5546875,504.7578125
