year,MRWBIL01_,MRWBIL02_,MRWBIL04_,MRWBIL06_,MRWBIL07_,MRWBIL10_,MRWBIL11_,MRWBIL13_,MRWBIL14_,MRWBIL16_
2009,375.2479553222656,142.30137634277344,236.18893432617188,146.22511291503906,281.03497314453125,340.5006408691406,422.2867126464844,131.9307861328125,229.0995635986328,113.27727508544922
2010,684.1468505859375,198.73208618164062,358.1566162109375,337.1573486328125,443.4331970214844,498.17919921875,925.1332397460938,199.3687744140625,403.22747802734375,200.8682403564453
2011,554.8792114257812,204.24356079101562,349.25762939453125,396.84222412109375,264.154296875,361.31878662109375,728.2333984375,301.3230895996094,359.427001953125,147.86561584472656
2012,510.0611877441406,224.3331298828125,307.1865234375,240.02919006347656,288.917724609375,352.5142822265625,596.066650390625,257.1583557128906,386.5975646972656,152.12335205078125
2013,350.79425048828125,123.5240707397461,153.23272705078125,86.94271850585938,230.08741760253906,252.01956176757812,315.52703857421875,85.21878814697266,108.93692016601562,30.650598526000977
2014,329.4558410644531,76.37940216064453,98.45369720458984,158.19012451171875,191.84939575195312,305.30615234375,253.94581604003906,31.783300399780273,236.5818328857422,66.8970947265625
2015,602.7615966796875,165.5443115234375,255.79449462890625,235.4927978515625,330.5970458984375,393.9135437011719,425.27508544921875,183.61875915527344,322.6163024902344,146.21409606933594
2016,615.5090942382812,130.87770080566406,279.0168762207031,176.09756469726562,355.304931640625,472.9476318359375,488.44427490234375,177.87564086914062,313.9013671875,79.95088958740234
2017,716.1907348632812,144.4003143310547,429.88995361328125,373.2940979003906,553.3978881835938,746.7586059570312,696.4319458007812,163.06369018554688,522.5277099609375,51.708091735839844
2018,581.3565063476562,170.90660095214844,283.861083984375,283.65142822265625,474.1419982910156,760.3599853515625,635.2449340820312,180.43089294433594,423.64849853515625,99.49382781982422
2019,676.9618530273438,133.5780029296875,304.061767578125,217.41827392578125,360.1960754394531,690.1881713867188,591.3014526367188,116.07508087158203,404.9774475097656,96.42816925048828
2020,533.6287841796875,161.68983459472656,236.33201599121094,191.34031677246094,296.8110046386719,572.3400268554688,502.9795837402344,149.1455078125,292.2630920410156,102.44933319091797
2021,569.8046264648438,185.52249145507812,283.39654541015625,161.36671447753906,353.502197265625,668.5596313476562,553.5437622070312,187.91604614257812,397.3415222167969,106.27574920654297
2022,364.1625061035156,79.72735595703125,209.12042236328125,107.111328125,192.99789428710938,333.2016296386719,347.7219543457031,55.35468292236328,241.11643981933594,64.80494689941406
2023,344.9794921875,71.72242736816406,108.62628936767578,79.51879119873047,186.3068389892578,264.65447998046875,274.99591064453125,49.84122848510742,171.4769287109375
