year,MRWBIL01_,MRWBIL02_,MRWBIL04_,MRWBIL06_,MRWBIL07_,MRWBIL10_,MRWBIL11_,MRWBIL13_,MRWBIL14_,MRWBIL16_
1877,739.20361328125,431.3125305175781,749.3956298828125,424.2201843261719,628.5994873046875,383.5736389160156,883.7507934570312,463.4536437988281,453.1710510253906,451.143310546875
1878,609.2822875976562,507.235595703125,869.4769287109375,409.9039306640625,647.5001831054688,334.41278076171875,598.3414306640625,413.7815246582031,438.92413330078125,481.8025207519531
1879,620.3509521484375,640.670166015625,671.6424560546875,482.544921875,454.97088623046875,466.2034912109375,742.8295288085938,523.0508422851562,514.5701904296875,585.3314208984375
1880,1257.3653564453125,796.0556640625,1395.083251953125,649.871337890625,575.6196899414062,610.4052734375,1214.754150390625,909.3560791015625,826.8441162109375,752.9996337890625
1881,707.5617065429688,597.721923828125,1124.9757080078125,456.5604248046875,632.5902709960938,567.3322143554688,874.483642578125,658.7584228515625,861.8588256835938,614.7758178710938
1882,602.0440673828125,582.7942504882812,876.3262329101562,361.2787780761719,504.2569885253906,588.2665405273438,700.477294921875,540.4782104492188,658.8052978515625,502.3134460449219
1883,615.8618774414062,377.45281982421875,557.3959350585938,435.30950927734375,409.3701171875,502.1582336425781,584.6407470703125,695.602294921875,568.2444458007812,436.1127014160156
1884,746.767578125,432.662353515625,720.390869140625,497.6534729003906,519.0172729492188,530.9839477539062,752.8388671875,759.591064453125,675.2604370117188,468.8643798828125
1885,741.195068359375,552.3635864257812,758.6852416992188,603.4441528320312,548.2547607421875,535.4202270507812,625.0155029296875,725.5221557617188,729.237548828125,548.0300903320312
1886,504.4163513183594,163.5327911376953,300.96875,261.5472106933594,321.78350830078125,475.70050048828125,408.3316955566406,442.6619873046875,289.572509765625,281.35223388671875
1887,890.7662963867188,373.2442932128906,327.9523620605469,344.00445556640625,310.144775390625,661.326416015625,513.0840454101562,558.2294921875,388.6082763671875,279.1707763671875
1888,1270.8466796875,479.0545654296875,555.2061157226562,555.8385009765625,560.9514770507812,967.8768310546875,680.2601318359375,1009.4127197265625,769.0009765625,544.5613403320312
1889,717.1968994140625,345.1849060058594,430.8479919433594,410.0726013183594,432.0137634277344,652.1107177734375,637.0874633789062,789.6026611328125,606.0073852539062,384.5614929199219
1890,404.02667236328125,197.45358276367188,317.9930725097656,210.1100616455078,372.823974609375,416.3346252441406,302.752685546875,396.8907775878906,450.6264343261719,265.9845275878906
1891,1001.9004516601562,400.120361328125,614.3848876953125,627.8495483398438,707.6494750976562,704.9033203125,553.592529296875,982.1935424804688,777.9426879882812,572.9358520507812
1892,756.6220092773438,179.1529083251953,577.130615234375,395.5220947265625,537.5421752929688,615.3785400390625,366.2115783691406,726.4122314453125,525.7230224609375,254.56210327148438
1893,538.042724609375,129.08706665039062,294.8741149902344,136.6275634765625,309.13861083984375,252.74237060546875,289.3306884765625,302.6174621582031,143.53155517578125,101.62406921386719
1894,1064.6376953125,422.0946350097656,1629.8287353515625,491.6452941894531,717.1906127929688,823.3313598632812,749.4307250976562,1041.1573486328125,569.2428588867188,409.40618896484375
1895,722.4423828125,319.5538635253906,595.4960327148438,345.0754699707031,394.68072509765625,643.059814453125,558.9463500976562,498.8407287597656,389.7837829589844,380.613037109375
1896,504.2856750488281,161.44667053222656,460.5688171386719,216.97341918945312,270.8793029785156,379.7519836425781,377.7906799316406,234.38409423828125,255.84486389160156,265.67144775390625
1897,610.2291870117188,285.72918701171875,607.3399658203125,291.8096008300781,363.91986083984375,464.52081298828125,497.4993591308594,253.10433959960938,435.4020690917969,443.1289367675781
1898,856.9219970703125,405.8748779296875,654.7410278320312,321.241455078125,549.0416870117188,735.45947265625,540.4454956054688,428.8870544433594,530.5775756835938,591.4371337890625
