year,MinLABIL01_,MinLABIL02_,MinLABIL04_,MinLABIL06_,MinLABIL07_,MinLABIL10_,MinLABIL11_,MinLABIL13_,MinLABIL14_,MinLABIL16_
1879,40.07850646972656,10.533594131469727,40.01808166503906,20.221477508544922,11.119844436645508,40.148372650146484,12.710211753845215,12.300484657287598,40.14894104003906,40.27135467529297
1880,40.1402587890625,10.248066902160645,40.132137298583984,20.000978469848633,10.712770462036133,40.00295639038086,12.05955696105957,11.527503967285156,40.01853561401367,40.026397705078125
1881,40.45859909057617,10.038429260253906,40.678565979003906,20.1315860748291,10.664212226867676,40.54273223876953,12.080168724060059,11.17756462097168,40.36751937866211,40.311702728271484
1882,40.17335891723633,10.062406539916992,40.01247024536133,20.17239761352539,12.455318450927734,40.005859375,12.16210651397705,11.640296936035156,40.07157897949219,40.115943908691406
1883,40.44325256347656,11.16871166229248,40.76176452636719,20.872222900390625,13.630704879760742,40.05112838745117,17.04613494873047,7.733410835266113,40.166015625,40.89891052246094
1884,40.037139892578125,10.289624214172363,40.0609016418457,20.334529876708984,9.258774757385254,40.06708908081055,12.225874900817871,7.391395092010498,40.165924072265625,40.0180778503418
1885,40.254154205322266,12.034235000610352,40.3626708984375,20.578941345214844,11.119664192199707,40.029319763183594,15.95481014251709,9.480762481689453,40.82680892944336,40.01028060913086
1886,40.06678009033203,15.255449295043945,40.27078628540039,20.492610931396484,10.7896089553833,40.00141906738281,13.972122192382812,9.279826164245605,40.70448303222656,40.051239013671875
1887,40.54142761230469,11.66815185546875,40.124237060546875,21.425525665283203,10.224260330200195,40.14103317260742,14.815496444702148,8.39812183380127,40.37656021118164,41.1202392578125
1888,44.27641677856445,10.069724082946777,40.10014724731445,20.028182983398438,11.13652229309082,40.0455207824707,12.211167335510254,7.033632278442383,40.017173767089844,40.14197540283203
1889,40.53150939941406,10.012581825256348,40.11605453491211,20.513763427734375,9.183499336242676,40.00265121459961,12.1293363571167,8.831777572631836,40.0067138671875,41.9316291809082
1890,40.059547424316406,10.284043312072754,40.09193420410156,20.741910934448242,10.226203918457031,40.09972381591797,24.510663986206055,10.794698715209961,53.092166900634766,40.01795196533203
1891,41.00584030151367,10.12244701385498,40.052589416503906,20.203649520874023,9.150059700012207,40.08542251586914,16.386653900146484,9.364264488220215,40.1982307434082,40.0920524597168
1892,40.208351135253906,12.22797966003418,40.13261413574219,20.07567024230957,9.036425590515137,40.0834846496582,16.96476936340332,12.553362846374512,41.149322509765625,40.59552764892578
1893,40.23196792602539,12.259175300598145,40.26258087158203,21.099834442138672,9.394289016723633,40.084083557128906,12.26998519897461,8.653435707092285,40.255218505859375,42.00453567504883
1894,40.23046875,10.061525344848633,40.02644729614258,20.123842239379883,9.136271476745605,40.02894973754883,13.748960494995117,7.613302707672119,40.0924072265625,40.243995666503906
1895,40.06899642944336,10.078222274780273,40.483333587646484,20.14012336730957,8.366037368774414,40.15663146972656,19.75551414489746,7.374492645263672,40.21397018432617,40.36504364013672
1896,40.4605598449707,14.378170013427734,40.062843322753906,29.254817962646484,9.279711723327637,40.06220626831055,12.943342208862305,11.420014381408691,40.00230026245117,40.9859619140625
1897,40.101680755615234,10.0610933303833,40.09996795654297,21.143047332763672,10.451963424682617,40.11111831665039,15.939311027526855,9.329004287719727,40.19881057739258,40.00229263305664
1898,40.01859664916992,10.013669967651367,40.057857513427734,20.807226181030273,8.449831008911133,40.39332580566406,13.464640617370605,9.964649200439453,40.633445739746094,40.10906219482422
1899,40.0918083190918,10.061777114868164,40.05146789550781,21.518383026123047,8.677698135375977,40.1763916015625,14.164684295654297,8.848587036132812,40.929927825927734,41.208824157714844
1900,40.050479888916016,10.32236099243164,40.1161003112793,20.03385353088379,8.165312767028809,40.12730407714844,12.992709159851074,8.134105682373047,40.10009765625,40.27193832397461
1901,40.034629821777344,10.41154670715332,40.061500549316406,20.180768966674805,9.068597793579102,40.26310729980469,28.345298767089844,11.290393829345703,40.5880241394043,40.16426467895508
