year,RWDBIL01_,RWDBIL02_,RWDBIL04_,RWDBIL06_,RWDBIL07_,RWDBIL10_,RWDBIL11_,RWDBIL13_,RWDBIL14_,RWDBIL16_
1897,0.4515104591846466,0.5391529202461243,0.43031561374664307,0.547004759311676,0.6053693890571594,0.560768187046051,0.5535750985145569,0.7137888073921204,0.5173012018203735,0.4483579099178314
1898,0.4369317591190338,0.5649072527885437,0.43641728162765503,0.46746626496315,0.6701881885528564,0.5569542646408081,0.5552356243133545,0.6838364005088806,0.403457909822464,0.4530801773071289
1899,0.4784756302833557,0.5458909869194031,0.41989850997924805,0.6477043032646179,0.6183885335922241,0.5870867967605591,0.6279533505439758,0.6574336886405945,0.4686550199985504,0.44196006655693054
1900,0.472766250371933,0.6016954183578491,0.42131978273391724,0.5064916014671326,0.7279014587402344,0.580775797367096,0.6196062564849854,0.6882941126823425,0.4618767499923706,0.46412143111228943
1901,0.5037965774536133,0.5437467694282532,0.4432823359966278,0.5559506416320801,0.5758658647537231,0.5710970759391785,0.618855893611908,0.6482723951339722,0.5458550453186035,0.47617271542549133
1902,0.5370144248008728,0.48240935802459717,0.48350679874420166,0.520816445350647,0.6452232599258423,0.6157066822052002,0.5257860422134399,0.666384220123291,0.5203726887702942,0.48748987913131714
1903,0.5152806043624878,0.5275071263313293,0.6022607684135437,0.5149121880531311,0.610339879989624,0.6016865372657776,0.5163068771362305,0.5978528261184692,0.5430729985237122,0.5419742465019226
1904,0.478598415851593,0.4425490200519562,0.4585300087928772,0.5029522180557251,0.6149708032608032,0.5231534838676453,0.49375277757644653,0.5403329133987427,0.47049108147621155,0.45355600118637085
1905,0.42666155099868774,0.43953728675842285,0.4628269076347351,0.5009979605674744,0.46839016675949097,0.548016369342804,0.5049619078636169,0.44639912247657776,0.42370089888572693,0.40634286403656006
1906,0.4450085461139679,0.4432215988636017,0.4938415288925171,0.49222519993782043,0.5045948624610901,0.5215771198272705,0.4876500964164734,0.5218217968940735,0.4177798926830292,0.4427352547645569
1907,0.49727120995521545,0.4407638609409332,0.583255410194397,0.49675843119621277,0.5539672374725342,0.5578024387359619,0.5041560530662537,0.5468271374702454,0.4243295192718506,0.5122731924057007
1908,0.5313543677330017,0.5171972513198853,0.5755064487457275,0.4865257740020752,0.7365548014640808,0.6079943776130676,0.669095516204834,0.5224995017051697,0.49181780219078064,0.5558753609657288
1909,0.5377369523048401,0.5804951786994934,0.5356810092926025,0.6152589917182922,0.6230466365814209,0.559735894203186,0.5096858739852905,0.5598765015602112,0.5502399206161499,0.47723016142845154
1910,0.4465603232383728,0.4502284526824951,0.4879935681819916,0.556276261806488,0.5521329641342163,0.5662168264389038,0.5228880047798157,0.5166642069816589,0.49192631244659424,0.4510258138179779
1911,0.4641156792640686,0.5469124913215637,0.4758297801017761,0.49579188227653503,0.6459917426109314,0.5258722901344299,0.4964308738708496,0.5086985230445862,0.44504314661026,0.6889183521270752
1912,0.47797393798828125,0.46635374426841736,0.540871798992157,0.5008951425552368,0.602207601070404,0.5335401892662048,0.5614608526229858,0.5157389044761658,0.5438281893730164,0.5556474924087524
1913,0.5642812848091125,0.5941271185874939,0.5900781154632568,0.5924134850502014,0.6438527703285217,0.6306946277618408,0.6598718762397766,0.6336733102798462,0.5603082776069641,0.6271120309829712
1914,0.4643704891204834,0.5526381134986877,0.604613184928894,0.4781133830547333,0.5789662599563599,0.5108022093772888,0.4672783315181732,0.48896917700767517,0.5484061241149902,0.6881444454193115
1915,0.476257860660553,0.46107253432273865,0.5111945271492004,0.5298961997032166,0.5854470729827881,0.47265103459358215,0.4537276327610016,0.49127307534217834,0.4753205478191376,0.5764573216438293
1916,0.5189831256866455,0.5815362334251404,0.5025290846824646,0.5084336400032043,0.6604377627372742,0.4535224735736847,0.6047524809837341,0.5225708484649658,0.516298770904541,0.7293946146965027
1917,0.46718013286590576,0.6052421927452087,0.5150920152664185,0.49454596638679504,0.6216964721679688,0.3925573229789734,0.6646668314933777,0.49364206194877625,0.6749954223632812,0.6943508386611938
1918,0.5114845037460327,0.5438600778579712,0.5089890360832214,0.4892174005508423,0.6713535785675049,0.5551508069038391,0.6780398488044739,0.49394962191581726,0.514819324016571,0.7191322445869446
1919,0.5277390480041504,0.4951895773410797,0.5245211720466614,0.49395254254341125,0.7582439184188843,0.5799675583839417,0.6205654740333557,0.5454171299934387,0.5815858840942383,0.5541900396347046
1920,0.46639126539230347,0.4404301345348358,0.4964970648288727,0.4943058490753174,0.547206699848175,0.5391007661819458,0.4586392641067505,0.47583338618278503,0.47674140334129333,0.4688005745410919
1921,0.5273914337158203,0.4865204095840454,0.5275372266769409,-999,0.7172215580940247,0.5830339789390564,0.6594489216804504,0.5678302645683289,0.5234872698783875,0.5282072424888611
1922,0.4505872428417206,0.44589975476264954,0.5264341831207275,0.4819927215576172,0.5901390314102173,0.5939350724220276,0.5189668536186218,0.479793906211853,0.4705185294151306,0.589256227016449
1923,0.5464189052581787,0.48667147755622864,0.542853593826294,0.4625129997730255,0.6807236671447754,0.5574892163276672,0.6126145720481873,0.5270183682441711,0.467199444770813,0.6229864358901978
1924,0.49966126680374146,0.48036596179008484,0.4878524839878082,0.5258533954620361,0.5534603595733643,0.5061845183372498,0.5516415238380432,0.42351481318473816,0.41859540343284607,0.563730776309967
