year,DradBIL01_,DradBIL02_,DradBIL04_,DradBIL06_,DradBIL07_,DradBIL10_,DradBIL11_,DradBIL13_,DradBIL14_,DradBIL16_
1872,22.124319076538086,17.954364776611328,27.162500381469727,21.505695343017578,16.297330856323242,22.495616912841797,18.714799880981445,18.377222061157227,23.443994522094727,23.098527908325195
1873,24.475120544433594,19.4635009765625,28.452770233154297,25.158363342285156,21.135723114013672,25.394519805908203,18.377016067504883,22.391075134277344,25.293045043945312,26.68418312072754
1874,23.064125061035156,16.251802444458008,25.79180335998535,19.233455657958984,17.031951904296875,22.04108238220215,17.968433380126953,21.133066177368164,21.81390953063965,24.47406768798828
1875,29.22748565673828,20.52240562438965,30.180509567260742,26.059839248657227,22.033254623413086,24.746034622192383,22.78175926208496,24.43787956237793,25.836557388305664,28.34443473815918
1876,22.973739624023438,20.044776916503906,26.465801239013672,19.4534969329834,19.285179138183594,21.182083129882812,21.787839889526367,20.79578971862793,21.730493545532227,21.085723876953125
1877,27.365142822265625,21.345680236816406,29.40676498413086,26.12765884399414,20.542686462402344,22.48056983947754,21.124170303344727,22.100473403930664,26.104637145996094,25.555381774902344
1878,26.27815055847168,19.507783889770508,28.951982498168945,24.06899642944336,21.63802146911621,23.716224670410156,19.199052810668945,22.608272552490234,28.076953887939453,25.47865104675293
1879,23.580230712890625,18.387672424316406,24.189491271972656,26.233505249023438,19.2442569732666,25.756227493286133,18.07501983642578,22.356855392456055,28.09903907775879,24.03103256225586
1880,27.351831436157227,19.947999954223633,27.995281219482422,24.49469566345215,20.272602081298828,23.26108741760254,20.263418197631836,23.127790451049805,22.778335571289062,24.203514099121094
1881,21.455787658691406,20.417470932006836,30.22144317626953,25.653486251831055,19.27833366394043,28.935714721679688,22.626211166381836,24.368318557739258,27.617095947265625,28.287029266357422
1882,24.640735626220703,19.413536071777344,27.306503295898438,19.668399810791016,15.577475547790527,23.585102081298828,19.545269012451172,20.64936637878418,22.20115089416504,22.139448165893555
1883,22.205360412597656,21.180261611938477,23.450592041015625,25.611942291259766,20.92702865600586,24.71993064880371,21.046409606933594,22.01371192932129,23.794239044189453,25.186155319213867
1884,27.72919273376465,22.475078582763672,31.06358528137207,25.89807891845703,21.49590301513672,25.26982307434082,25.76706886291504,22.16284942626953,30.383625030517578,26.22056770324707
1885,25.326881408691406,23.533117294311523,30.227914810180664,26.242773056030273,21.45628547668457,24.175275802612305,19.68885040283203,21.953218460083008,25.886539459228516,25.494916915893555
1886,27.797924041748047,22.958011627197266,24.37395668029785,24.369874954223633,23.389406204223633,27.792573928833008,24.951953887939453,22.742107391357422,24.990095138549805,27.156219482421875
1887,24.534719467163086,21.05333709716797,26.364845275878906,24.913898468017578,21.084192276000977,24.32366371154785,18.851783752441406,20.124771118164062,27.123323440551758,24.35936164855957
1888,31.507122039794922,19.121318817138672,29.296340942382812,21.67878532409668,19.827247619628906,28.09074592590332,22.376007080078125,22.452621459960938,31.140399932861328,28.33517074584961
