year,Ks*BIL01_,Ks*BIL02_,Ks*BIL04_,Ks*BIL06_,Ks*BIL07_,Ks*BIL10_,Ks*BIL11_,Ks*BIL13_,Ks*BIL14_,Ks*BIL16_
1884,0.014179396286429098,0.00874894370085751,0.014125050454795318,0.010448425807786564,0.008876833917870927,0.008728010964231217,0.010216899853523668,0.006900295670194591,0.010649835018874343,0.009988066626335047
1885,0.012885567521490447,0.008872423159631894,0.013763010265485183,0.009823437290047367,0.008668165530808543,0.009100677621001037,0.005548037703372839,0.006451091206209502,0.010781990296084972,0.009675663195052175
1886,0.014719752804529427,0.009604170316980805,0.010586612634047992,0.009246631253926186,0.009137209695106601,0.009738010623067018,0.007067025483552285,0.006990648704612791,0.011092333091323814,0.010709887665677908
1887,0.011636028282458915,0.0082665275222253,0.010987790832825842,0.009825222961247557,0.008848476011014475,0.007616680283401783,0.004805130164381042,0.006550630936222865,0.01127805389420307,0.009309346881715879
1888,0.013623141395472682,0.008445444368757955,0.011535795991275301,0.008037544355392485,0.006592557731461202,0.008964574763822593,0.0058900602659639175,0.006537872966648187,0.013261319629424485,0.0072418191166725935
1889,0.00565646764746405,0.010736665934026633,0.012494319655585536,0.011577246044727383,0.008634527215425122,0.009294278201261209,0.004546322312230611,0.0081519063967077,0.011945047775271507,0.009091334839164493
1890,0.012638408804666977,0.01005686380370352,0.012184038785701377,0.010394370658453807,0.010875713309021432,0.0099356426115856,0.005663074849344165,0.007022398250274023,0.012589181687827246,0.00972006558977887
1891,0.014946863737924605,0.009815076183736914,0.013336687180429015,0.008643321354165701,0.010044788328811503,0.009419353581878422,0.006505135211014477,0.006408737515400796,0.010611850348910393,0.00758864045010976
1892,0.015163597351596754,0.011410644613672737,0.013349937816029629,0.008586616340283343,0.010875872474506982,0.01093257937223272,0.007095332501691398,0.008126477238380782,0.01731958080005145,0.009871018713292656
1893,0.014432984560879016,0.009581821366945588,0.010005108448572173,0.004762020716662424,0.008893544638923188,0.0074447710606925606,0.006356914454223525,0.005633556263643312,0.005298126343434423,0.006973632002885947
1894,0.015201757274207086,0.0080562746075942,0.012344794773107353,0.00676730347889023,0.009125206589664984,0.009125772367120377,0.005625988116601352,0.006051550461613352,0.00519522229030961,0.00828723061025167
1895,0.010941009389679684,0.007806193878799722,0.009512052858476519,0.005184543232286367,0.0072500007662896215,0.010446503355907688,0.004613309933091052,0.006252467806179883,0.010843231087397787,0.005964889423884107
1896,0.013299675576359107,0.007709532287209825,0.012930229672885537,0.007210330682142255,0.010582923256007055,0.00949380877101241,0.005855827175563297,0.006385810080508791,0.010047169155656205,0.008817559681663787
