year,CWTradBIL01_,CWTradBIL02_,CWTradBIL04_,CWTradBIL06_,CWTradBIL07_,CWTradBIL10_,CWTradBIL11_,CWTradBIL13_,CWTradBIL14_,CWTradBIL16_
1947,4.257566928863525,4.0908074378967285,4.378578186035156,4.9696149826049805,4.192708969116211,5.590566635131836,4.26461935043335,4.196473121643066,4.368062496185303,3.6052887439727783
1948,4.601386547088623,3.9904520511627197,4.193379878997803,4.233874797821045,4.192624568939209,4.795406341552734,4.185271739959717,4.01345157623291,4.547077178955078,3.4870784282684326
1949,4.700472831726074,3.6968984603881836,3.6968111991882324,4.052043437957764,3.8882241249084473,4.4364848136901855,4.089773654937744,3.8167173862457275,5.089163780212402,3.139842987060547
1950,3.851450204849243,3.5764682292938232,3.1903700828552246,3.5493669509887695,3.8094637393951416,5.000338077545166,3.7532002925872803,4.0646491050720215,4.449441432952881,3.170321464538574
1951,4.547595024108887,4.897918224334717,4.353129863739014,5.209042549133301,4.893380641937256,5.792405605316162,5.074004650115967,5.278461933135986,4.965897560119629,4.342440605163574
1952,3.619013547897339,3.759082555770874,4.666576862335205,4.003389835357666,4.337625980377197,5.446568012237549,5.553630352020264,5.9933953285217285,4.960063457489014,3.172522783279419
1953,3.728250741958618,3.845973014831543,4.3437628746032715,3.730931043624878,4.1864705085754395,4.96091365814209,4.5207414627075195,6.181076526641846,5.202404022216797,3.0816268920898438
1954,3.9303970336914062,4.731307029724121,3.9961531162261963,4.555950164794922,4.318471908569336,4.431881904602051,4.425899028778076,6.301778793334961,4.918862342834473,4.147051811218262
1955,4.14992094039917,4.543704032897949,4.24954891204834,4.808648109436035,4.146852016448975,4.603053569793701,4.795592308044434,6.397464752197266,4.636006832122803,4.25679874420166
1956,4.268794536590576,4.784556865692139,4.5249409675598145,4.92658805847168,4.574966907501221,4.993588447570801,4.843740940093994,5.961287498474121,5.283301830291748,3.9966437816619873
