year,CWTriBIL01_,CWTriBIL02_,CWTriBIL04_,CWTriBIL06_,CWTriBIL07_,CWTriBIL10_,CWTriBIL11_,CWTriBIL13_,CWTriBIL14_,CWTriBIL16_
1971,3.9777984619140625,6.487516403198242,4.347611904144287,4.912001132965088,4.235533237457275,4.106912612915039,5.1410393714904785,5.255618095397949,4.621504306793213,4.707167148590088
1972,4.351536273956299,5.2667155265808105,4.366366863250732,5.552845478057861,4.2015061378479,4.512201309204102,5.870659828186035,5.552000045776367,5.1809563636779785,4.174466133117676
1973,4.065796375274658,5.025531768798828,4.82308292388916,5.751775741577148,4.394075393676758,4.569412708282471,4.997941017150879,5.932270050048828,4.684759140014648,4.243006706237793
1974,4.0085368156433105,4.155967712402344,4.8703436851501465,5.5125322341918945,4.817708969116211,4.743875026702881,5.132097244262695,5.775126934051514,4.294205188751221,4.041194438934326
1975,3.623445510864258,4.403032302856445,4.2212090492248535,5.738708972930908,4.275683403015137,4.274736404418945,5.480186939239502,5.647964954376221,4.2389607429504395,3.8651838302612305
1976,3.887482166290283,4.797585964202881,4.123054504394531,5.673600196838379,4.050210475921631,4.0840020179748535,4.808432102203369,5.935186862945557,4.528997898101807,4.101058483123779
1977,3.4807162284851074,3.2729651927948,3.4175455570220947,4.454972267150879,3.8690011501312256,3.9454116821289062,4.366586685180664,5.0065717697143555,3.5982327461242676,3.0722622871398926
1978,3.8412582874298096,4.898913860321045,4.460101127624512,5.485515117645264,4.675285816192627,4.459443092346191,5.381380558013916,5.483012676239014,4.507081031799316,4.78147554397583
1979,4.068243026733398,4.515223979949951,4.151998996734619,5.008800029754639,5.055560111999512,4.53725004196167,5.187102794647217,5.5852861404418945,4.0087361335754395,4.576086521148682
1980,4.22075891494751,5.304173469543457,4.7729105949401855,5.268862247467041,4.876651287078857,4.660492897033691,4.455669403076172,5.754298686981201,3.9860029220581055,3.949930429458618
1981,4.4058837890625,4.418177604675293,4.741137504577637,4.8254852294921875,5.366777420043945,5.1490559577941895,4.314172744750977,5.727949142456055,3.753657102584839,4.368700981140137
1982,3.6742398738861084,3.690396308898926,3.236863851547241,4.686553478240967,4.588433265686035,4.506819248199463,3.3297157287597656,4.754748344421387,3.5008370876312256,3.5638532638549805
1983,4.212831020355225,3.9976775646209717,4.445347785949707,6.200878143310547,5.189655780792236,4.657980442047119,4.530079364776611,5.762770652770996,4.3021464347839355,3.986431121826172
1984,3.933425188064575,3.4885551929473877,3.969790458679199,4.830135822296143,4.743347644805908,4.6692118644714355,4.4412126541137695,5.15322732925415,3.3547024726867676,3.9509081840515137
1985,4.355298042297363,5.869685173034668,4.875985622406006,6.682438373565674,5.377604961395264,5.796271324157715,5.807941436767578,5.556872367858887,6.141901969909668,5.63892936706543
1986,4.674320220947266,4.41594123840332,3.8648293018341064,5.073073863983154,5.039530277252197,4.860156059265137,5.1913275718688965,5.585307598114014,5.815766334533691,4.06110143661499
1987,3.622140884399414,4.46837043762207,2.971405029296875,4.374007225036621,4.491332054138184,5.144264221191406,4.4564385414123535,4.969729900360107,4.413455963134766,3.84747052192688
1988,3.7481725215911865,4.764297962188721,3.9377923011779785,4.478236198425293,4.996363162994385,5.006153106689453,4.783905982971191,5.093583583831787,4.666269302368164,3.903576135635376
1989,3.788980007171631,4.300530910491943,3.9669814109802246,4.593967914581299,4.992839336395264,4.685701370239258,5.027968883514404,5.225156784057617,4.527519702911377,3.1759841442108154
1990,3.6711034774780273,3.683168411254883,3.5327134132385254,4.233412742614746,4.545350551605225,4.764199733734131,4.606265068054199,5.142691612243652,4.43100643157959,3.884359836578369
1991,3.829360246658325,3.6455166339874268,3.4943580627441406,4.882534027099609,4.659414768218994,4.744234085083008,4.676555633544922,5.210029125213623,5.69537878036499,4.018009185791016
1992,3.7062833309173584,4.218689441680908,3.6200923919677734,4.557249546051025,4.918040752410889,4.1411519050598145,5.545407772064209,4.9300031661987305,4.277438163757324,3.652829885482788
1993,3.9749128818511963,4.608344554901123,3.994128465652466,4.463124752044678,5.273171424865723,4.951358795166016,5.752495765686035,5.07438850402832,5.365996837615967,3.7313926219940186
