year,CWTbaBIL01_,CWTbaBIL02_,CWTbaBIL04_,CWTbaBIL06_,CWTbaBIL07_,CWTbaBIL10_,CWTbaBIL11_,CWTbaBIL13_,CWTbaBIL14_,CWTbaBIL16_
1876,3.169163465499878,3.8258650302886963,3.543412446975708,3.269618511199951,3.9158432483673096,3.542902708053589,3.1149168014526367,2.866358995437622,3.4038240909576416,3.0728325843811035
1877,2.894155263900757,3.6592326164245605,3.651829719543457,2.9920666217803955,4.001546382904053,3.380875825881958,3.0410943031311035,2.6226794719696045,3.208569049835205,2.9885621070861816
1878,3.178227663040161,3.791597604751587,3.4917428493499756,3.2019400596618652,3.574171781539917,3.364253044128418,2.924468994140625,2.556755304336548,3.177525043487549,3.147385835647583
1879,3.4959211349487305,4.152902603149414,3.7142152786254883,3.14802622795105,3.8779711723327637,3.5856242179870605,3.348332643508911,2.7634472846984863,3.3408005237579346,3.5020217895507812
1880,3.5393855571746826,4.680640697479248,4.3684611320495605,3.6757657527923584,4.547723293304443,3.7534711360931396,3.347763776779175,3.107034683227539,4.0413818359375,3.857973098754883
1881,5.139671325683594,3.935208797454834,3.84779953956604,3.075309991836548,4.104556083679199,3.3076069355010986,3.072942018508911,2.8014755249023438,3.035377264022827,3.2940547466278076
1882,3.734910726547241,4.657830238342285,4.8931965827941895,4.2118072509765625,5.3905253410339355,4.429450035095215,3.843669891357422,3.7519381046295166,4.255357265472412,4.164264678955078
1883,3.7211177349090576,3.347755193710327,3.7728664875030518,3.0628459453582764,3.492006301879883,3.5269503593444824,2.9386656284332275,3.1471784114837646,3.4882824420928955,3.3314943313598633
1884,3.2038826942443848,3.404578447341919,3.4183263778686523,3.3362174034118652,3.9728171825408936,3.751134157180786,3.05855131149292,3.247892141342163,3.431002616882324,3.4164891242980957
1885,3.1302406787872314,2.893357276916504,3.049531936645508,3.057525396347046,3.5729405879974365,3.4857594966888428,3.281118154525757,3.190654754638672,3.1456403732299805,3.2554945945739746
1886,2.4988181591033936,2.3690848350524902,2.5321297645568848,2.5438296794891357,3.0611379146575928,3.0504090785980225,3.0654468536376953,2.656442642211914,2.4999523162841797,2.6932854652404785
1887,3.7128593921661377,3.5947530269622803,3.1013760566711426,2.994288444519043,3.3344016075134277,4.013253688812256,3.9967191219329834,3.5863406658172607,3.577953577041626,2.9409964084625244
1888,3.2711493968963623,3.9514780044555664,3.2570269107818604,3.9248058795928955,4.681230068206787,3.4940152168273926,3.8870255947113037,3.65716552734375,3.469759702682495,3.4649345874786377
1889,5.4178338050842285,3.3053336143493652,3.0960395336151123,3.3760135173797607,4.102850437164307,3.52740216255188,3.8502867221832275,3.1497175693511963,3.633237838745117,3.517378568649292
1890,3.1090517044067383,3.0472586154937744,3.2288150787353516,3.2876975536346436,3.691117763519287,3.3691298961639404,3.5170581340789795,3.072335958480835,3.357339859008789,3.4068667888641357
1891,3.1303493976593018,3.150357961654663,3.4042863845825195,4.479915618896484,4.283681869506836,3.4716897010803223,3.313204050064087,3.1835930347442627,3.66402006149292,3.8004937171936035
1892,3.181220769882202,2.90666127204895,3.077378034591675,3.703155755996704,3.571320056915283,3.0177319049835205,3.3495471477508545,2.9473299980163574,3.010209560394287,3.190730333328247
