year,DtanBIL01_,DtanBIL02_,DtanBIL04_,DtanBIL06_,DtanBIL07_,DtanBIL10_,DtanBIL11_,DtanBIL13_,DtanBIL14_,DtanBIL16_
1863,16.197866439819336,16.691484451293945,17.56756591796875,18.213428497314453,15.421344757080078,0,16.964130401611328,14.372564315795898,16.937030792236328,15.108710289001465
1864,18.27385902404785,16.556316375732422,19.479467391967773,17.799922943115234,17.41497039794922,0,15.327067375183105,15.908260345458984,16.852746963500977,16.5574893951416
1865,16.596885681152344,14.80393123626709,17.035497665405273,16.026329040527344,11.603718757629395,15.768956184387207,14.777774810791016,11.215822219848633,12.9267578125,14.643805503845215
1866,17.287485122680664,15.769112586975098,16.598438262939453,16.661611557006836,10.244348526000977,18.255949020385742,15.197339057922363,10.695676803588867,15.253353118896484,15.002511024475098
1867,16.98247528076172,15.104231834411621,16.617916107177734,16.851579666137695,9.098775863647461,18.427494049072266,14.833428382873535,10.908866882324219,15.47594165802002,15.034987449645996
1868,15.973466873168945,16.21312141418457,17.24930191040039,19.027816772460938,12.051337242126465,19.200315475463867,15.38183879852295,12.555747032165527,16.721784591674805,15.78780460357666
1869,17.51728630065918,15.444581031799316,17.846391677856445,20.35767364501953,11.594430923461914,19.754732131958008,16.780033111572266,12.692110061645508,19.13614273071289,14.678282737731934
1870,17.77678680419922,15.932572364807129,18.618318557739258,20.93227767944336,12.556754112243652,19.31787872314453,16.699674606323242,13.635270118713379,18.109825134277344,15.069183349609375
1871,19.284648895263672,15.068017959594727,20.28321075439453,21.406291961669922,13.693060874938965,19.40328025817871,17.651975631713867,13.911837577819824,19.518110275268555,16.752166748046875
1872,17.855623245239258,13.341583251953125,19.82401466369629,15.771794319152832,14.03731632232666,18.488718032836914,15.073089599609375,13.252630233764648,15.918571472167969,16.822322845458984
1873,17.76677131652832,13.8187837600708,19.81125259399414,16.84428596496582,15.905736923217773,16.924848556518555,16.062788009643555,14.632877349853516,16.849327087402344,16.540266036987305
1874,17.178762435913086,11.980791091918945,17.537376403808594,16.078462600708008,14.493302345275879,15.473949432373047,16.07204818725586,14.511663436889648,16.554914474487305,17.22980308532715
1875,21.40497398376465,14.55846118927002,20.088502883911133,18.889705657958984,17.147476196289062,17.494186401367188,18.518041610717773,16.66560935974121,18.643396377563477,19.79568862915039
1876,19.127532958984375,13.626144409179688,17.378917694091797,15.501526832580566,16.178438186645508,16.179330825805664,16.790435791015625,14.777697563171387,16.46135139465332,16.675945281982422
1877,19.70156478881836,14.948080062866211,19.114011764526367,17.673736572265625,16.870513916015625,18.550195693969727,18.571550369262695,15.32912540435791,18.016311645507812,18.552236557006836
1878,18.955860137939453,14.27704906463623,18.699256896972656,17.700559616088867,17.334367752075195,19.126691818237305,18.656417846679688,16.65616226196289,18.646881103515625,20.70018196105957
1879,17.994478225708008,14.632475852966309,17.809127807617188,19.407855987548828,17.347951889038086,17.09501838684082,17.423425674438477,15.409150123596191,19.902076721191406,19.099987030029297
1880,20.369869232177734,13.83056640625,18.523540496826172,17.675495147705078,16.539936065673828,16.947057723999023,17.812519073486328,15.931676864624023,17.96158790588379,18.28347396850586
1881,18.78823471069336,15.533517837524414,19.83273696899414,19.39339256286621,16.194215774536133,19.421232223510742,19.175291061401367,16.023191452026367,20.67051124572754,20.22280502319336
1882,17.401662826538086,13.944708824157715,17.692880630493164,15.97084903717041,13.366382598876953,16.203359603881836,16.156591415405273,14.423617362976074,15.17697525024414,16.45800018310547
1883,19.888132095336914,17.775615692138672,20.210941314697266,19.963411331176758,17.044187545776367,18.445905685424805,21.243959426879883,16.256322860717773,18.28834342956543,19.942392349243164
1884,22.2274169921875,17.828014373779297,19.892263412475586,17.740209579467773,17.18964958190918,18.60050392150879,19.518705368041992,15.384838104248047,19.88854217529297,19.913490295410156
1885,21.921180725097656,19.47527313232422,20.641571044921875,18.570892333984375,17.70812225341797,19.01603889465332,18.29222297668457,15.701634407043457,20.4844913482666,19.526626586914062
1886,22.540353775024414,19.841432571411133,20.120529174804688,19.635896682739258,18.3973445892334,19.796024322509766,19.829580307006836,17.16349983215332,21.84041404724121,20.804201126098633
1887,19.05988121032715,17.545286178588867,18.811206817626953,18.87566375732422,17.185169219970703,16.967815399169922,17.53239631652832,14.441519737243652,20.183439254760742,19.281606674194336
1888,21.238643646240234,15.409300804138184,19.013154983520508,16.45328712463379,14.980081558227539,18.914127349853516,17.44887924194336,13.830527305603027,21.481664657592773,19.196876525878906
1889,17.45473861694336,17.45886993408203,19.693445205688477,19.420833587646484,17.133432388305664,18.804603576660156,17.2228946685791,15.573555946350098,20.76801300048828,20.48846435546875
1890,21.26254653930664,18.00494956970215,20.009048461914062,19.27329444885254,19.29305648803711,19.06120491027832,18.257415771484375,15.821106910705566,23.731706619262695,20.549654006958008
1891,21.786579132080078,17.568052291870117,19.97952651977539,17.140291213989258,18.76755714416504,18.213102340698242,18.857891082763672,15.416455268859863,23.056537628173828,19.022695541381836
1892,22.354042053222656,18.890241622924805,20.443113327026367,17.584062576293945,19.37928581237793,19.964067459106445,18.879552841186523,17.04539680480957,24.84259033203125,20.24749183654785
1893,21.646589279174805,17.828763961791992,19.640111923217773,16.87899398803711,17.358226776123047,17.98464012145996,17.792152404785156,14.799677848815918,23.678918838500977,19.011775970458984
1894,20.9285945892334,15.383878707885742,19.16677474975586,15.20850658416748,16.085983276367188,17.557846069335938,17.468616485595703,13.7233247756958,16.636775970458984,19.40462303161621
1895,20.387060165405273,15.312564849853516,18.242237091064453,15.328459739685059,15.021381378173828,19.172527313232422,17.4317569732666,14.263197898864746,20.309524536132812,18.868213653564453
1896,20.919479370117188,18.183019638061523,20.319433212280273,18.962549209594727,18.75740623474121,18.6995792388916,20.233448028564453,15.64783000946045,22.403724670410156,20.421283721923828
1897,20.843311309814453,16.898107528686523,21.1157283782959,17.28154945373535,16.29917335510254,18.937114715576172,18.571529388427734,14.767851829528809,21.422996520996094,20.43761444091797
1898,23.578746795654297,17.343334197998047,22.964277267456055,20.246139526367188,16.594449996948242,20.009063720703125,20.098785400390625,15.814763069152832,23.337282180786133,21.466711044311523
1899,22.86517333984375,17.25022315979004,21.372800827026367,17.8190860748291,17.885578155517578,20.520214080810547,18.5098819732666,16.838024139404297,22.81169891357422,21.11714744567871
1900,23.148941040039062,17.60865020751953,21.577983856201172,18.653688430786133,16.012014389038086,20.072519302368164,18.656110763549805,15.710558891296387,20.58619499206543,21.52459144592285
1901,23.477479934692383,19.518144607543945,20.965904235839844,19.424226760864258,19.396724700927734,19.90953826904297,19.798307418823242,16.718212127685547,20.670637130737305,20.23390769958496
