year,Dh2BIL01_,Dh2BIL02_,Dh2BIL04_,Dh2BIL06_,Dh2BIL07_,Dh2BIL10_,Dh2BIL11_,Dh2BIL13_,Dh2BIL14_,Dh2BIL16_
1866,20.901697158813477,19.970340728759766,22.21096420288086,21.34416389465332,14.527963638305664,23.31307029724121,17.890193939208984,14.862740516662598,19.76997184753418,18.724628448486328
1867,21.561567306518555,20.036937713623047,22.027605056762695,22.45586585998535,14.092577934265137,23.33492660522461,18.219829559326172,15.42166519165039,20.47650909423828,19.450212478637695
1868,20.039182662963867,21.222021102905273,22.14789581298828,24.013437271118164,17.240571975708008,23.561065673828125,19.671249389648438,16.962228775024414,21.181617736816406,20.160930633544922
1869,21.429969787597656,20.01397132873535,23.560895919799805,25.01225471496582,16.326457977294922,23.9162540435791,20.886747360229492,16.96829605102539,23.703584671020508,18.247297286987305
1870,22.34337043762207,21.12657356262207,24.798673629760742,25.891454696655273,18.19378662109375,24.227981567382812,20.478227615356445,18.41987419128418,23.179031372070312,19.89999008178711
1871,23.724031448364258,20.256704330444336,25.992080688476562,26.83539581298828,19.314958572387695,24.56732940673828,22.2594051361084,18.797452926635742,24.7315731048584,21.914823532104492
1872,22.03186798095703,18.624725341796875,25.66356086730957,21.78963279724121,19.489469528198242,22.176164627075195,19.81920623779297,18.48516845703125,21.21602439880371,21.015165328979492
1873,22.645536422729492,18.8034725189209,25.507007598876953,22.932844161987305,21.59555435180664,22.476276397705078,19.939109802246094,19.869417190551758,22.109220504760742,21.82685089111328
1874,22.723787307739258,16.74370574951172,23.992801666259766,21.038692474365234,19.848609924316406,20.765594482421875,19.01264762878418,19.816221237182617,21.48057746887207,21.694332122802734
1875,26.834840774536133,19.076461791992188,26.486690521240234,24.069412231445312,22.048561096191406,22.40035629272461,22.386554718017578,21.61043357849121,23.797449111938477,24.467363357543945
1876,23.841150283813477,18.71763038635254,23.4224796295166,19.81943130493164,21.13701820373535,20.573734283447266,20.92586898803711,19.44472312927246,21.065214157104492,20.442049026489258
1877,24.888782501220703,20.26394271850586,26.32884407043457,23.05489158630371,22.547286987304688,22.022430419921875,21.440248489379883,20.0943660736084,23.066558837890625,22.88429069519043
1878,24.289669036865234,19.471073150634766,25.710763931274414,23.155120849609375,22.52882194519043,22.98845863342285,21.308856964111328,21.2946720123291,24.377735137939453,24.55923843383789
1879,23.251434326171875,19.697620391845703,23.437992095947266,25.17278480529785,22.6639347076416,22.53342056274414,20.257606506347656,20.463733673095703,25.37557029724121,24.401418685913086
1880,25.944421768188477,20.066287994384766,26.16703987121582,24.1645450592041,22.823808670043945,22.02292823791504,21.65675926208496,21.093568801879883,23.799880981445312,23.22530746459961
1881,21.064090728759766,21.590927124023438,26.5792236328125,25.005996704101562,22.25893783569336,25.275636672973633,23.01866340637207,21.74517059326172,24.969131469726562,24.55357551574707
1882,23.23064613342285,20.70378875732422,24.627248764038086,21.86077308654785,19.83366584777832,23.154741287231445,21.892614364624023,20.495119094848633,21.10795021057129,22.110475540161133
1883,22.74250602722168,22.144245147705078,23.925546646118164,24.922704696655273,22.062116622924805,23.335960388183594,24.223209381103516,21.90488052368164,23.345975875854492,23.846254348754883
1884,27.3963623046875,23.402311325073242,27.23912239074707,24.104406356811523,22.740989685058594,23.806264877319336,24.855886459350586,20.841814041137695,25.838472366333008,24.55643653869629
1885,26.13017463684082,23.17862319946289,26.66766357421875,23.37877655029297,22.404062271118164,23.636171340942383,20.63323974609375,20.31637954711914,24.677845001220703,23.989299774169922
1886,27.35187339782715,23.243759155273438,23.808422088623047,22.986066818237305,23.150012969970703,24.9022274017334,23.118223190307617,21.50505256652832,25.00510025024414,24.705326080322266
1887,25.09661865234375,22.59795379638672,24.305870056152344,23.750141143798828,22.429298400878906,22.57110595703125,20.547828674316406,20.43862533569336,26.182477951049805,23.256505966186523
1888,27.311777114868164,22.445838928222656,25.32181739807129,22.61292266845703,21.5852108001709,24.3193302154541,21.977275848388672,20.66921043395996,28.039051055908203,24.22658348083496
1889,22.366750717163086,24.671199798583984,26.147552490234375,25.691965103149414,23.381086349487305,24.795713424682617,21.89586067199707,22.308712005615234,27.1347713470459,25.42371940612793
1890,25.744356155395508,23.007352828979492,25.454090118408203,24.003753662109375,24.948652267456055,24.691789627075195,21.53290367126465,21.19663429260254,29.431081771850586,24.77675437927246
1891,28.002233505249023,24.679061889648438,27.00623321533203,23.546958923339844,25.320003509521484,24.22340202331543,23.343103408813477,20.823482513427734,28.730792999267578,24.11078453063965
1892,27.967784881591797,24.982227325439453,27.07587242126465,23.24384880065918,25.413408279418945,25.96527099609375,23.506757736206055,22.938858032226562,31.095502853393555,24.75897979736328
1893,26.72654914855957,22.444353103637695,23.56149673461914,18.905241012573242,22.279766082763672,21.495037078857422,21.06981658935547,19.59428596496582,25.38228416442871,21.678152084350586
1894,27.830768585205078,22.020132064819336,25.980520248413086,21.495826721191406,22.85487174987793,24.068449020385742,22.814830780029297,20.261768341064453,22.72488784790039,24.8019962310791
1895,25.282285690307617,21.388042449951172,23.9848575592041,20.25789451599121,20.783151626586914,24.806806564331055,21.322359085083008,20.519657135009766,25.829988479614258,22.990543365478516
1896,25.887144088745117,20.922080993652344,25.59125328063965,23.302303314208984,23.471158981323242,23.402565002441406,21.6569881439209,20.053863525390625,25.65934181213379,24.029945373535156
1897,26.935598373413086,23.179473876953125,27.807811737060547,22.593482971191406,23.30502700805664,24.12000846862793,23.513669967651367,19.823780059814453,27.53003692626953,25.394609451293945
1898,29.63843536376953,24.130266189575195,28.633464813232422,25.45401382446289,23.061328887939453,25.600929260253906,24.423667907714844,21.796445846557617,28.568857192993164,26.39453887939453
1899,28.34616470336914,23.819772720336914,27.86290168762207,21.513233184814453,24.184673309326172,23.979114532470703,23.54226303100586,22.189332962036133,28.973115921020508,26.94162940979004
1900,29.626689910888672,23.574724197387695,28.58938980102539,24.55226707458496,22.413414001464844,25.565155029296875,23.505447387695312,21.863140106201172,27.522153854370117,27.049917221069336
1901,30.212024688720703,26.23698616027832,28.864181518554688,25.358139038085938,25.64168357849121,25.997655868530273,22.261144638061523,22.786582946777344,27.654361724853516,26.169227600097656
1902,28.862211227416992,28.427221298217773,29.262474060058594,25.295223236083984,25.32575225830078,25.142690658569336,25.287321090698242,21.548667907714844,26.86457633972168,25.282657623291016
1903,26.939138412475586,27.840164184570312,24.15386962890625,25.663108825683594,24.49439239501953,25.441892623901367,24.7040958404541,25.19649314880371,25.189029693603516,23.29791259765625
1904,28.307048797607422,28.276315689086914,28.414880752563477,26.38265609741211,24.918251037597656,27.150270462036133,25.792049407958984,25.474916458129883,27.98111915588379,25.362228393554688
1905,27.700456619262695,26.41274642944336,27.615110397338867,23.653244018554688,26.419313430786133,25.607423782348633,23.257431030273438,25.284500122070312,28.07206153869629,23.925491333007812
1906,29.834495544433594,28.70500373840332,28.610572814941406,25.73447608947754,27.359952926635742,27.91744613647461,25.673215866088867,27.38605499267578,29.789358139038086,26.28801155090332
1907,30.806013107299805,29.76687240600586,26.95682716369629,25.56499481201172,25.800853729248047,28.304798126220703,25.805530548095703,27.8830509185791,29.048154830932617,25.337055206298828
1908,26.90226936340332,26.295888900756836,24.857463836669922,25.144203186035156,22.477941513061523,23.591623306274414,23.35820960998535,26.936702728271484,27.33271026611328,23.677593231201172
1909,28.190061569213867,24.646060943603516,24.253381729125977,21.759628295898438,24.22100257873535,26.029937744140625,25.497928619384766,25.60944175720215,27.391691207885742,23.216960906982422
