year,rTSRBIL01_,rTSRBIL02_,rTSRBIL04_,rTSRBIL06_,rTSRBIL07_,rTSRBIL10_,rTSRBIL11_,rTSRBIL13_,rTSRBIL14_,rTSRBIL16_
1904,0.7937036156654358,1.3385939598083496,0.9199443459510803,1.1848762035369873,1.940243124961853,0.9192041158676147,0.8475399017333984,0.9382621645927429,0.9841010570526123,0.8580098748207092
1905,0.5684432983398438,0.6584839224815369,0.5976160764694214,0.7371079921722412,0.7294411659240723,0.9768874645233154,0.8165261745452881,0.6276501417160034,0.6932562589645386,0.45944806933403015
1906,0.7043806910514832,0.7895775437355042,0.8008724451065063,0.850453794002533,0.9387540817260742,0.7962238192558289,0.7434078454971313,0.8709117770195007,0.669248104095459,0.5989792346954346
1907,0.8162539005279541,0.9066606760025024,1.1546118259429932,1.034088134765625,1.3609532117843628,0.955893337726593,0.8463439345359802,0.9962120056152344,0.8141041994094849,0.9461227059364319
1908,1.0612040758132935,0.7770755290985107,1.1133254766464233,1.112159252166748,1.8372912406921387,1.2454628944396973,1.4466307163238525,1.1737658977508545,1.1024917364120483,0.8736343383789062
1909,1.0583184957504272,1.4016872644424438,1.09038507938385,1.4325220584869385,1.9240000247955322,1.1798244714736938,0.9222716093063354,1.3445188999176025,1.429115891456604,1.048219919204712
1910,0.5737372040748596,0.6127995252609253,0.6493109464645386,0.9968342781066895,0.9172680974006653,0.846031129360199,0.7898073196411133,0.8154627084732056,0.7955922484397888,0.5168328285217285
1911,0.8130184412002563,0.9858565330505371,1.0815010070800781,1.2626891136169434,2.0400140285491943,0.9839272499084473,1.1178252696990967,1.3041181564331055,1.065230131149292,1.3764265775680542
1912,0.9301839470863342,1.0166454315185547,1.0368914604187012,1.4602410793304443,2.1743781566619873,1.034641146659851,1.2828916311264038,1.316222071647644,1.294459581375122,1.0509973764419556
1913,1.1832267045974731,1.250447392463684,1.5148046016693115,1.7542617321014404,2.5333940982818604,1.4543993473052979,1.596160888671875,1.520483136177063,1.2681021690368652,1.1793444156646729
1914,0.7976517677307129,0.8613687753677368,1.3602253198623657,0.9351211190223694,1.9667588472366333,0.995782196521759,1.1798346042633057,1.0164073705673218,1.1399766206741333,1.3308659791946411
1915,0.9304982423782349,0.8431769013404846,1.0458028316497803,1.1156460046768188,1.449039101600647,0.7444679737091064,0.8388502597808838,0.8928791880607605,0.9019445776939392,1.0828748941421509
1916,0.8931761980056763,0.9979730248451233,0.9373171329498291,1.153740406036377,2.1640784740448,0.6753300428390503,1.2489253282546997,1.1248481273651123,1.2322293519973755,1.3518688678741455
1917,0.8342273235321045,1.1562445163726807,1.1297682523727417,1.1190582513809204,1.6554067134857178,0.5943448543548584,1.6191056966781616,1.0326759815216064,1.8448563814163208,1.3421423435211182
1918,0.9475955963134766,1.1077730655670166,1.0129427909851074,0.9767734408378601,2.2282140254974365,0.7988088130950928,1.6590410470962524,1.1341712474822998,1.3495036363601685,1.3142443895339966
1919,1.0322948694229126,1.0589548349380493,1.1732465028762817,0.9871447682380676,2.7492055892944336,1.19420325756073,1.3393203020095825,1.2747535705566406,1.431483268737793,1.0797594785690308
1920,0.6721184253692627,0.5350892543792725,0.649115800857544,0.7454511523246765,0.8665868639945984,1.0528337955474854,0.5941015481948853,0.7810168862342834,0.6378700137138367,0.6174455881118774
1921,1.1674877405166626,1.0278643369674683,1.5250155925750732,1.37251615524292,2.636977195739746,1.2791136503219604,1.8058491945266724,2.141893148422241,1.7261637449264526,1.1416571140289307
1922,0.6401359438896179,0.6790918111801147,0.7768707871437073,0.7229682207107544,1.1381044387817383,0.9375723004341125,0.8757273554801941,0.7353814244270325,0.781886875629425,0.8174952864646912
1923,1.0877809524536133,0.7810042500495911,0.932727038860321,1.1159615516662598,2.4864351749420166,0.9887643456459045,1.463107705116272,1.2331442832946777,1.174892544746399,1.189223051071167
1924,0.8889206051826477,0.9375817775726318,0.7618427872657776,1.1079968214035034,1.4590482711791992,0.9479069113731384,1.207269549369812,0.672580897808075,0.7546054720878601,0.9076256155967712
1925,0.9144763946533203,1.447664499282837,0.910995364189148,0.9144962430000305,1.9035744667053223,1.0341471433639526,1.2804173231124878,0.9959024786949158,0.8256380558013916,0.9589464068412781
1926,0.8557420372962952,1.326882243156433,0.8583823442459106,0.7980607151985168,1.926112413406372,1.2355355024337769,1.4758667945861816,1.2506132125854492,1.1040147542953491,1.1694495677947998
1927,0.8471837639808655,1.4010802507400513,1.2003369331359863,1.270631194114685,1.957314133644104,1.0707111358642578,1.615338921546936,1.1114099025726318,1.1885253190994263,1.3734294176101685
1928,0.8826552629470825,1.3623090982437134,1.1310237646102905,1.1146721839904785,1.6017261743545532,1.2437189817428589,1.2996939420700073,1.1721844673156738,1.4499521255493164,1.1081000566482544
1929,0.8838135600090027,1.453399419784546,0.733242392539978,0.7874674201011658,1.9326962232589722,0.4682718813419342,1.5482802391052246,1.1617679595947266,1.5814672708511353,1.1893707513809204
1930,0.6643766760826111,1.3105231523513794,1.384665608406067,0.5961664915084839,1.3546903133392334,0.5576386451721191,0.9089073538780212,0.7871559858322144,0.9949221014976501,1.0827144384384155
1931,0.9612628817558289,1.673086404800415,1.8614706993103027,0.6102150082588196,1.980837345123291,0.49976983666419983,1.555788278579712,1.2928895950317383,1.2162002325057983,1.1441847085952759
1932,0.8721742033958435,1.215997338294983,1.5866883993148804,0.6516873836517334,1.241528034210205,0.5427500009536743,1.3552285432815552,1.0687713623046875,0.9154411554336548,0.9300357699394226
1933,1.3616197109222412,2.022608757019043,1.9901025295257568,0.6710875630378723,2.4512505531311035,0.42462584376335144,1.819657325744629,1.3948928117752075,1.5231825113296509,1.1410481929779053
1934,1.4232347011566162,2.1046364307403564,2.3707797527313232,0.7040225863456726,2.527557611465454,0.5749993324279785,1.6336935758590698,1.7769440412521362,1.8682218790054321,1.5081743001937866
1935,1.0422650575637817,1.4044663906097412,1.6422243118286133,0.5136643052101135,1.710065484046936,0.46071821451187134,1.3294583559036255,1.0974661111831665,1.1660090684890747,1.084394931793213
1936,1.0261669158935547,0.9517068862915039,1.351043462753296,0.7843077778816223,1.7349958419799805,0.7347258925437927,1.3502877950668335,0.6616172194480896,0.8792071342468262,0.859545886516571
1937,1.1422348022460938,1.4513047933578491,2.131273031234741,0.48452961444854736,2.0170488357543945,0.6684325337409973,1.7216854095458984,1.345497488975525,0.9755303859710693,0.9611985087394714
1938,1.3498419523239136,1.4953866004943848,1.698722004890442,0.5956490635871887,2.1620266437530518,0.6815012693405151,1.5182338953018188,1.9393284320831299,1.743551254272461,1.2740650177001953
1939,1.2408171892166138,2.0727908611297607,1.4991174936294556,0.6492395997047424,1.7920008897781372,0.7765129804611206,1.4619916677474976,2.186988353729248,1.6043570041656494,1.2170324325561523
1940,1.2081760168075562,1.422569990158081,1.4172413349151611,0.6060903668403625,1.589024305343628,0.6563010215759277,1.5767626762390137,1.5679365396499634,1.3220311403274536,1.1525523662567139
1941,1.3966889381408691,0.9196302890777588,2.2367777824401855,0.4516794979572296,1.6800647974014282,0.8923319578170776,1.7809404134750366,1.710190773010254,0.6382874250411987,0.9157939553260803
1942,1.144530177116394,1.1369707584381104,1.0888630151748657,0.6243777871131897,1.6332130432128906,1.1910351514816284,1.5799025297164917,1.1874420642852783,0.5897268652915955,0.8135837316513062
1943,1.1316206455230713,1.6827607154846191,1.648012399673462,0.46403756737709045,1.3298165798187256,1.2659507989883423,1.253169059753418,1.6045955419540405,0.5440563559532166,1.072758436203003
1944,1.1810275316238403,1.2384898662567139,1.371321439743042,0.6005787253379822,1.034962773323059,1.1388884782791138,1.2576322555541992,1.8231688737869263,0.8087987899780273,1.0113146305084229
