year,MinRWAPA06_,MinRWAPA07_,MinRWAPA08_,MinRWAPA09_,MinRWAPA10_,MinRWAPA11_,MinRWAPA13_,MinRWAPA15_,MinRWAPA17_,MinRWAPA19_
1815,279.7890625,215.0625,393.4140625,566.0390625,206.984375,414.2578125,517.2265625,88.4140625,277.25,92.0703125
1816,295.1328125,259.921875,433.9375,420.4296875,260.734375,321.84375,377.703125,138.859375,262.046875,119.5546875
1817,223.0546875,288.796875,376.875,550.03125,259.8828125,392.78125,250.515625,142.4296875,178.828125,117.703125
1818,295.5703125,462.546875,465.59375,639.78125,400.65625,481.5234375,277.8125,91.9375,128.3125,156.1484375
1819,359.484375,405.1640625,385.4609375,745.75,459.90625,280.421875,225.828125,119.375,131.21875,231.6015625
1820,247.453125,241.9375,332.9140625,386.609375,456.9765625,281.390625,209.5625,55.203125,197.140625,158.25
1821,282.671875,167.75,452.7578125,423.6796875,448.453125,273.0703125,291.6796875,91.5,238.640625,114.453125
1822,240.5,258.765625,458.796875,552.625,629.15625,298.234375,74.3984375,56.5546875,85.0625,114.4375
1823,320.09375,396.6328125,471.875,515.9921875,581.0625,392.234375,160.9140625,10.15625,218.0859375,119.7890625
1824,251.8984375,466.6015625,690.390625,740.078125,784.6953125,392.90625,266.7421875,55.671875,206.1640625,134.359375
1825,172.890625,392.9140625,546.609375,831.625,649.125,346.546875,188.3359375,142.3359375,246.2421875,133.859375
1826,555.7734375,0,889.9609375,1115.2265625,773.1015625,626.0390625,124.515625,109.21875,195.3515625,207.2578125
1827,528.1328125,0,871.1796875,921.6171875,608.328125,530.921875,116.4453125,106.96875,102.1875,167.046875
1828,452.3984375,0,682.359375,458.5703125,522.4765625,415.0234375,70.1328125,62.734375,202.84375,142.78125
1829,472.03125,707.34375,814.0390625,515.84375,781.7109375,587.25,78.625,121.5390625,243.796875,244.4375
1830,468.6171875,506.5703125,628.7109375,701.15625,533.4296875,455.953125,40.1484375,80.3828125,104.1796875,167.515625
1831,0,645.8125,859.125,596.1015625,485.4140625,534.828125,84.71875,81.8203125,160.234375,244.4609375
1832,418.5546875,511.1875,578.3984375,603.703125,495.078125,345.046875,156.1796875,98.0625,199.9453125,216.2421875
