year,MaxRWAPA06_,MaxRWAPA07_,MaxRWAPA08_,MaxRWAPA09_,MaxRWAPA10_,MaxRWAPA11_,MaxRWAPA13_,MaxRWAPA15_,MaxRWAPA17_,MaxRWAPA19_
1727,623.4609375,1466.2734375,720.7578125,1108.21875,0,354.0703125,753.0625,0,768.421875
1728,727.8359375,1562.5078125,730.3671875,900.109375,0,357.6875,799.34375,0,936.6796875
1729,895.1953125,1800.640625,982.3359375,0,0,440.0625,503.3359375,895.65625,814.765625
1730,1122.5546875,1933.578125,1133.40625,2020.015625,0,515.515625,465.8515625,687.78125,612.125
1731,0,1721.5703125,817.1640625,1182.296875,0,307.109375,415.171875,751.8125,491.3203125
1732,982.9609375,1309.9609375,742.2265625,1054.140625,0,348.0703125,679.8046875,1306.671875,823.109375
1733,800.1171875,1196.6796875,777.578125,1025.015625,0,353.15625,475.3671875,1195.703125,1416.3125
1734,534.15625,0,496.2890625,650.390625,0,281.5859375,512.53125,1579.1875,1045.140625
1735,704.421875,2783.1953125,842.59375,1130.578125,0,363.3828125,437.9140625,1069.9765625,950.140625
1736,793.609375,1318.53125,1104.609375,1134.3984375,0,442.515625,178.3515625,959.53125,1064
1737,761.5859375,1409.5546875,904.203125,1306.0625,0,325.15625,242.9765625,805.2578125,797.5
1738,1227.6796875,1601.296875,1196.265625,1690.546875,0,471.3671875,240.75,624.765625,1275.0546875,3272.828125
1739,1319.171875,1552.2734375,1371.578125,1774.828125,4908.234375,489.734375,259.5,522.53125,1321.75,1170.8046875
1740,1160.078125,1131.3046875,1163.3359375,1391.03125,837.34375,484.59375,330.6015625,775.21875,1498.453125,1180.71875
1741,815.546875,699.9765625,1001.40625,1201.1328125,2201.0078125,437.859375,431.796875,851.8515625,1406.8671875,870.015625
1742,1100.171875,992.140625,1087.8359375,1115.9609375,2222.09375,498.84375,405.2265625,758.4296875,1546.0703125,729.7109375
1743,1015.484375,898.8515625,1038.0546875,761.90625,2082.5625,437.53125,475.3828125,624.21875,1669.5703125,690.2578125
1744,1144.4609375,1168.5546875,1304.8828125,1304.8125,1082.4140625,463.09375,438.8125,498.65625,540.96875,500.78125
1745,868.671875,1043.5546875,1119.9140625,1194.4453125,1096.578125,508.921875,442.8671875,445.8828125,510.234375,459.484375
1746,1159.109375,1163.5625,1279.9375,1826.9453125,1028.4140625,562.2109375,595.109375,463.0234375,872.4609375,431.9921875
1747,945,1654.4609375,1141.6015625,1519.890625,991.9375,495.7734375,658.859375,512.703125,925.6328125,483.4609375
1748,744.5859375,1186.7734375,720.078125,1413.7109375,658.53125,455.4375,567.2265625,522.046875,930.828125,362.203125
1749,1131.6640625,1118.2890625,1256.953125,1720.9453125,630.4609375,530.1875,339.0703125,677.4453125,969.0234375,433.15625
1750,916.0625,1125.3203125,1177.1640625,1801.4921875,659.5078125,624.796875,536.703125,832.3671875,1049.4140625,416.359375
1751,846.4765625,635.0390625,958.484375,1223.234375,700.609375,516.7578125,485.953125,787.7578125,544.859375,402.078125
1752,1006.1328125,1035.3359375,1129.0234375,1467.8828125,739.453125,1038.09375,728.984375,476.1171875,715.796875,433.46875
1753,935.0390625,1308.9453125,1178.65625,1732.9296875,847.8203125,1257.15625,936.5859375,444.6796875,806.359375,505.859375
1754,536.859375,1515.75,1641.390625,1921.71875,761.609375,1301.9453125,670.1484375,385.328125,1095.765625,564.7578125
1755,1555.8671875,0,1300.59375,1733.25,941.125,1047.1484375,707.84375,333.9921875,0,539.203125
1756,1520.734375,0,1361.28125,1686.65625,0,1047.421875,1010.3828125,317.8671875,0,455.78125
1757,1490.1796875,4397.28125,1265.1171875,0,500.90625,1349.65625,714.1875,375.5546875,940.40625,570.46875
1758,1510.3125,1413.453125,1172.6328125,1951.8125,1093.8359375,1228.4140625,582.2890625,399.046875,875.65625,460.1484375
1759,1029.515625,1300.46875,1295.1328125,1673.3203125,863.3828125,625.1796875,711.1875,335.1328125,676.0546875,355.6875
1760,1002.6328125,1234.8515625,975.4453125,1518.1953125,805.7421875,637.625,599.65625,279.4453125,630.21875,435.1484375
1761,949.2109375,1019.9609375,1073.3515625,1440.90625,718.546875,662.8671875,527.65625,362.375,764.421875,502.046875
1762,789.265625,1128.8671875,1130.8203125,1363.4140625,820.9453125,598.53125,527.5859375,308.0234375,758.7265625,441.28125
1763,892.8046875,992.9921875,971.8359375,1578.4453125,749.3125,645.109375,434.390625,327.28125,870.703125,345.8984375
1764,723.4375,716.8203125,799.40625,1264.765625,778.3671875,982.03125,497.09375,460.1484375,858.03125,360.9375
1765,667.59375,864.8203125,1002.09375,1162.6796875,754.578125,852.421875,414.4140625,583.484375,663.9609375,380.5390625
1766,565.1796875,848.9375,788.6796875,1160.03125,805.5234375,663.609375,453.8984375,545.734375,707.359375,312.015625
1767,707.3515625,843.7734375,850.8828125,1035.078125,709.8984375,633.03125,655.6953125,465.2109375,774.7109375,266.7734375
1768,677.1953125,890.28125,917.0390625,1806.0546875,662.859375,750.8515625,534.59375,546.3359375,906.609375,269.46875
1769,798.8515625,507.3359375,689.2109375,836.5546875,613.421875,563.25,752.390625,416.5546875,838.71875,406.7578125
1770,777.375,590.6328125,767.125,1102.6328125,469.453125,586.7578125,739.9296875,492.2734375,782.0078125,386.7890625
1771,589.671875,0,744.1953125,886.7578125,367.640625,548.0546875,969.015625,410.0234375,697.578125,312.40625
1772,822.1015625,0,791.046875,1259,219.46875,559.2890625,697.3515625,529.6015625,567,272.5625
1773,564.8515625,0,663.8671875,1086.2109375,384.375,557.4296875,829.390625,444.4453125,588.0234375,220.7578125
