year;MLAAPA06_;MLAAPA07_;MLAAPA08_;MLAAPA09_;MLAAPA10_;MLAAPA11_;MLAAPA13_;MLAAPA15_;MLAAPA17_;MLAAPA19_;aver
1765;470.8412476;270.0354614;448.0788269;467.1474915;394.610321;442.7003479;484.2915039;438.1880188;395.4572754;452.0163574;426.3366852
1766;443.473999;285.4549255;463.3002319;456.6287537;388.3983154;488.5157776;484.9181519;378.7327576;528.6698608;444.3863831;436.2479157
1767;502.8194885;357.8230286;484.1994324;483.8532715;379.5392456;452.6112976;417.4350586;403.7278748;526.3322754;456.9840698;446.5325043
1768;580.7211304;507.191803;584.7297363;469.6078796;365.1413574;528.616272;509.0361633;414.1809082;498.9154968;455.9416809;491.4082428
1769;461.3866272;443.889679;416.5170288;469.5805664;386.9906006;360.3751221;412.2799377;357.490387;499.099823;514.2627563;432.1872528
1770;515.1339111;369.723053;467.1705933;455.5920105;413.015686;379.0700378;560.9124146;412.1431885;557.4958496;491.9113464;462.2168091
1771;429.0087585;0;389.9709473;424.4277649;393.3197937;373.6157532;595.2641602;381.352417;595.2444458;480.5239563;406.2727997
1772;566.3500977;0;470.6146545;514.9609375;301.3486023;472.6797485;432.3873596;442.4449768;483.3204651;531.131958;421.52388
1773;472.8477478;0;415.5987244;506.8417053;382.0323486;440.2461548;600.0010376;396.5926819;472.3399658;444.1521912;413.0652557
1774;499.0470886;479.1991272;453.6690369;460.8090515;351.2278137;500.5314636;580.1168213;466.7151794;448.1486206;462.4844666;470.1948669
1775;507.2950439;345.171051;411.5271912;429.5890808;312.2970581;396.6223145;470.3753052;456.1806335;460.3655701;418.2024231;420.7625671
1776;472.0050964;395.9125061;416.3770752;546.7610474;272.4685974;443.2994995;561.5234985;396.0072021;466.1670227;467.5083008;443.8029846
1777;514.4663696;353.0844116;462.634491;544.335022;380.7175903;440.0613098;510.8831177;379.8959351;473.8913269;451.6815796;451.1651154
1778;599.9892578;340.6739502;545.2728882;524.2995605;394.682312;441.6850891;551.5188599;405.325531;414.0172119;529.4133301;474.6877991
1779;537.8005371;320.4646606;587.6485596;500.6222839;362.2710876;420.7208862;518.2427368;396.9308167;475.4893494;440.184906;456.0375824
1780;524.2648315;346.9779968;569.6633911;515.6181641;445.1455994;416.0683594;572.9016724;374.1352539;500.6430664;420.4224243;468.5840759
1781;618.6065063;358.6465759;534.2891846;551.2019043;358.0812988;431.1239319;450.2052307;337.5314026;528.4394531;420.9295654;458.9055054
1782;618.0505371;427.0626831;528.8825073;547.4086304;405.0642395;503.5128174;381.7764587;354.6431274;524.4193726;471.14151;476.1961884
1783;602.9396973;428.3158569;553.3375854;603.8201904;369.3308716;485.1879272;407.7394104;370.250885;506.8685608;452.2882385;478.0079224
1784;593.0041504;306.975769;529.4505005;503.7750244;250.0049744;472.437439;471.1065369;235.0070496;546.1433105;470.8615112;437.8766266
1785;594.4890137;376.1326599;542.298645;538.0415649;395.1950378;412.9645691;542.1044312;386.2099915;586.3114014;383.4965515;475.7243866
1786;498.3369751;296.0855103;425.1017456;533.0252686;378.2310486;375.4320984;427.2730408;308.1154785;558.3060913;418.6687927;421.857605
1787;504.2780151;410.1597595;469.0386658;493.6592102;361.627655;357.4505005;391.0934753;345.1991272;532.6604614;431.896698;429.7063568
1788;535.4943848;411.6683044;489.0069275;490.9976501;363.3484802;352.3829041;403.9769287;358.3875427;565.713501;397.6244202;436.8601044
1789;481.7283325;284.5586548;403.1908264;468.1803284;356.6530457;399.0737305;488.6720886;331.552124;455.5551453;393.4722595;406.2636536
1790;458.8903198;359.9907227;465.8178711;520.348999;278.1603088;320.2101135;327.1228333;214.969223;381.2763062;401.8213196;372.8608017
1791;442.8427734;375.1322021;515.8441772;453.9989929;380.3484497;377.8114929;509.3406677;352.7151184;511.2163696;413.2028198;433.2453064
1792;453.2106018;431.6907043;520.1563721;499.9466858;357.4693909;385.5229492;462.6711426;325.4169922;416.4423218;413.4238892;426.595105
