year;CWTtanAPA06_;CWTtanAPA07_;CWTtanAPA08_;CWTtanAPA09_;CWTtanAPA10_;CWTtanAPA11_;CWTtanAPA13_;CWTtanAPA15_;CWTtanAPA17_;CWTtanAPA19_;aver
1784;2.963336706;3.247143745;3.186295509;3.764883041;0;3.181598425;2.762390375;3.155383825;2.947878361;2.893259287;2.810216928
1785;3.108325005;2.900012732;2.902909517;3.444398165;0;3.341715574;2.421795368;2.511701345;3.078129053;3.121457577;2.683044434
1786;2.94301939;3.039979696;3.16137886;3.543829918;0;4.01647234;2.568351269;2.670624495;2.796478748;2.806661606;2.754679632
1787;2.656905174;3.127970219;2.777300358;3.698825836;0;3.813572168;2.603037596;3.204171658;2.919163227;2.469132423;2.727007866
1788;3.096934795;3.393120289;3.340337515;3.900191069;0;4.034098625;2.456599474;2.766011238;2.882455826;2.761633635;2.863138247
1789;2.68149066;3.708909273;3.635204077;3.321303129;0;3.439721346;2.424304962;2.813691854;3.614240885;3.128451347;2.876731753
1790;2.350972891;2.938499689;2.480652571;3.195036411;0;3.199824333;2.773881912;3.219700575;3.384308338;2.804596901;2.634747362
1791;2.998692036;3.189281464;2.938192129;3.258761883;0;3.29421711;2.835488558;2.596143246;2.978626728;2.726980209;2.681638336
1792;2.840031862;3.079457045;2.75227809;3.203292608;0;2.96536088;2.977156401;2.838093042;3.298686743;3.792712688;2.774706936
1793;2.837068319;3.133917332;3.17052722;3.312835217;0;3.828490973;2.765652895;2.874708652;2.971140623;3.002929926;2.789727116
1794;3.050985813;4.080029011;3.138852596;3.368184328;0;3.611888885;2.894022703;2.340239286;2.954578638;2.795705557;2.823448682
1795;2.827036381;4.552025318;3.30272007;3.407527447;0;3.765918732;2.905845165;2.358169317;2.993183136;3.042766809;2.915519238
1796;2.928408146;3.251881361;2.995013714;2.997076273;0;3.221999884;3.284240961;2.391448975;3.020448446;2.886336088;2.697685385
1797;3.227309704;2.955259323;2.75137639;3.215684652;0;3.078385353;2.95515728;2.648092747;3.034346104;2.912759066;2.677837062
1798;3.327946424;3.371492624;3.114438534;3.1253016;0;3.492231131;3.064008713;2.799340248;2.8791821;2.860146999;2.803408837
1799;3.108618498;3.167072773;3.339071512;3.186675549;0;3.208478689;2.945495129;2.61948967;2.798316002;2.939795732;2.731301355
1800;2.604523182;2.904340506;2.770992994;2.826855659;0;2.992605209;2.49800849;2.817382336;2.957929373;3.062458754;2.54350965
1801;3.349167824;3.206394196;3.319538116;3.224625587;0;3.572866201;2.981060982;2.600996256;3.032763481;3.017312288;2.830472493
1802;2.604721069;2.926620007;2.902917862;2.863815784;0;2.93763113;2.77938962;3.025368214;2.712178707;2.707844019;2.546048641
1803;3.540396452;3.270147324;3.796554565;2.838208914;0;3.31812191;2.829451084;2.685338497;3.081913233;3.120339632;2.848047161
1804;3.250250816;2.540294409;3.559691906;2.864241838;0;3.257946491;2.978479862;2.441558123;2.867385149;3.045508623;2.680535722
1805;3.14604044;2.401157379;3.219784975;3.016179323;0;3.257639408;3.643369436;2.572524309;3.409353733;2.910731792;2.75767808
1806;3.16650939;2.321690321;3.111576557;2.771155834;0;3.045346975;3.131210327;2.712315083;3.30816412;3.064477921;2.663244653
1807;3.071218729;2.455576181;2.832870722;3.209610701;0;3.255065918;2.826983929;2.617129564;3.266427279;3.047449589;2.658233261
1808;3.14221406;2.41185236;3.037827969;3.426976204;0;3.201516151;3.015542984;2.628139734;3.089192867;3.128368855;2.708163118
1809;3.237069368;2.437035084;3.115998268;3.11446166;0;2.969677687;2.938491344;2.761098623;3.196856499;3.22300005;2.699368858
1810;3.034353733;2.595240831;2.773742199;2.80949235;0;2.801537275;3.311222076;3.084606886;3.137259245;3.238437653;2.678589225
1811;3.035334587;2.409262896;2.772055387;2.863130093;0;2.835981846;3.340397596;2.688419104;3.071213722;3.109046459;2.612484169
1812;2.629250526;2.42905736;2.60175395;2.675075293;0;2.45140481;3.104831934;2.951803923;2.812895536;2.695069313;2.435114264
1813;2.902641773;2.522137642;2.778949261;3.062676191;0;2.707103252;3.217694521;2.608147144;3.034511328;2.566431284;2.54002924
1814;2.951831102;2.481467009;2.742344379;2.962985516;0;2.643208504;3.173113585;2.840116978;2.636729002;2.93580246;2.536759853
1815;2.825120926;2.430006981;2.996925831;2.902572632;0;2.84157896;3.236176014;2.86942625;3.01009202;2.992780209;2.610467982
1816;2.914882421;2.654300213;2.855101347;2.734612226;0;2.675734997;2.773450613;3.113315582;2.836005211;3.09517169;2.56525743
1817;2.693234444;2.922493458;3.044278383;3.071238041;0;2.817420244;3.076157808;3.078340769;2.72390914;2.967123985;2.639419627
1818;3.120886326;2.731432676;3.09731555;3.183335304;0;2.705207825;2.639947891;2.795042753;2.634377003;3.398018837;2.630556417
1819;2.897870779;2.495091915;2.973267555;2.961089611;0;2.593520403;3.144635439;2.871582985;2.53173089;3.153326035;2.562211561
1820;2.964447975;2.662288666;3.203985214;2.924041986;0;2.596402884;2.900081158;2.329837561;2.816157818;3.42755127;2.582479453
1821;2.945735693;2.848882914;3.057157516;3.007986784;0;2.510373116;2.706080914;2.518764019;2.654017448;3.061695099;2.53106935
1822;3.026735544;2.760166168;2.823410511;2.973866701;0;2.716604233;2.569221973;2.894079924;2.786315203;2.965976954;2.551637721
1823;2.940351486;2.691015482;3.021633148;2.79884553;0;2.545566559;2.65656209;2.809345007;2.637597799;2.859700918;2.496061802
1824;2.8700068;2.72552824;2.963209867;3.05745697;0;2.518041372;2.94992137;3.095245838;2.790931463;2.926343203;2.589668512
1825;2.673773766;2.992976665;2.611412764;3.130088568;0;2.528295755;2.872377634;2.805936337;2.789251089;2.908258438;2.531237102
1826;3.161800146;0;3.512579441;3.176628113;0;3.547538042;2.687605143;3.29942894;2.60340786;3.080724239;2.506971192
1827;3.056880474;0;4.158572197;3.822629929;0;3.323121786;2.544765234;3.121352196;2.415569782;2.888141394;2.533103299
1828;3.122512102;0;3.281378031;3.28174448;0;2.785154343;2.406815529;3.263163567;2.677773476;3.256354094;2.407489562
1829;3.455443859;2.886930466;2.979325533;3.470720291;0;2.844323874;2.340816975;2.676168203;2.704260349;3.351932526;2.670992208
1830;3.038455009;2.814107418;3.129112482;3.551028728;0;2.67920208;2.360633135;2.779706478;2.484535933;3.228511095;2.606529236
1831;0;3.304879904;3.573426008;4.261678696;0;2.937282562;2.342875004;2.824442148;2.798498154;3.93705368;2.598013616
1832;3.555012941;3.262287378;3.131479979;3.449080944;0;2.679467201;2.52572298;2.721611738;2.813986063;3.350972652;2.748962188
1833;3.478591681;2.774221897;2.903535366;3.251224756;0;2.78267169;2.444202423;2.788632393;3.342251301;2.987689257;2.675302076
1834;3.485119104;2.898914814;2.740775108;3.284508705;0;2.588235855;2.407960653;3.349457026;3.027290344;2.539356232;2.632161784
1835;3.49999094;2.689683914;3.055063248;3.129242897;0;2.681517363;2.536760092;3.19575572;3.114561081;2.684166431;2.658674169
1836;3.19167161;3.145769835;2.720918655;3.037997246;0;2.550782204;2.594947815;3.352324963;3.105247259;2.746812105;2.644647169
1837;3.682491541;3.025761843;2.803194284;3.148565531;0;2.40902853;2.649390936;3.727449894;2.917211533;2.72305727;2.708615136
1838;3.454710007;2.942534924;2.857729435;2.911023378;0;2.433157206;2.651593924;3.275209904;2.677529097;2.792828798;2.599631667
1839;3.557662725;3.077681303;2.674542904;2.88196516;0;2.254591227;2.922642231;2.983445406;2.808462381;2.349164486;2.551015782
1840;3.609941721;3.008167744;3.430768967;3.247887135;0;2.511884928;3.362815857;2.877014637;2.790308952;2.922367096;2.776115704
1841;3.421107292;2.880359888;3.185516119;2.77835083;0;2.561650515;3.151259422;2.810294628;2.544506073;2.77820611;2.611125088
1842;3.639076471;3.147381783;2.920142651;3.263903618;0;2.545701027;3.107610464;2.493601799;3.027278185;2.710340261;2.685503626
1843;3.363517046;3.262544632;2.516304493;2.971315145;0;2.396310806;3.154622316;2.655267;2.877752542;2.54922533;2.574685931
1844;3.895919323;3.13004899;2.631866217;3.18648839;0;2.50643158;3.380426168;3.191700459;2.908743858;2.642990351;2.747461534
1845;3.652346611;2.734442234;3.078635931;3.143601894;0;2.5785532;3.221882105;2.936175108;2.807883263;2.585591555;2.67391119
1846;3.432690144;2.949843407;2.639281034;2.926966667;0;2.753102303;2.748737812;3.096351624;2.93057704;2.543813944;2.602136397
1847;3.451693773;2.441581249;2.993928432;2.958107233;0;2.457636356;2.502446413;3.365612984;2.990450859;2.824354887;2.598581219
1848;3.998436213;2.623508215;3.225600243;3.209889174;0;2.395591736;2.63126421;3.700232983;2.957161665;2.972288609;2.771397305
1849;3.850955725;2.423022985;3.312492609;3.251082182;0;2.408747435;2.320858002;3.372305155;3.122497559;2.810540676;2.687250233
1850;3.765916109;2.597020149;2.834837675;3.031820297;0;2.420055389;2.195790052;3.545476198;3.037838221;3.065008402;2.649376249
1851;3.62956214;2.601517439;2.830449343;3.387483358;0;2.449828863;2.644294024;3.988029957;3.671195269;3.092617035;2.829497743
1852;4.508045673;2.6178267;2.980992794;3.229610682;0;2.462733746;2.647890091;4.44436121;3.542221785;3.318677664;2.975236034
1853;3.599556923;2.639218807;2.933576107;2.887405872;0;2.372005939;3.130860567;4.486824036;3.287157774;3.331791401;2.866839743
1854;3.899953842;2.703738213;2.893139601;3.046593666;0;2.564620733;2.745744467;4.978083611;3.5849123;3.374464989;2.979125142
1855;3.464764357;2.544067383;2.595126629;2.789639473;0;2.459717035;2.751440525;4.732384682;3.353670597;3.103516817;2.77943275
1856;3.689662457;2.536743641;2.580075026;2.761250257;0;2.401343346;2.719293118;4.222403526;3.459233999;2.932316542;2.730232191
1857;3.212569475;2.645861149;2.398101091;2.912177324;0;2.290210724;2.623413563;3.641649008;3.129785776;2.837276936;2.569104505
1858;3.85721612;2.49763298;2.695095301;3.076111078;0;2.454558611;2.886673212;3.904297113;3.148118019;3.009371519;2.752907395
1859;3.209445477;2.852674961;2.288912773;2.946554184;0;2.401978254;3.102976084;3.652197361;2.933181047;2.753256559;2.61411767
1860;3.527837515;2.776043415;2.338519812;2.849648237;0;2.656825781;3.099701643;4.123612881;3.120829821;3.052219152;2.754523826
1861;3.33795476;2.811420918;2.440629482;2.974174976;0;2.772054672;3.398076057;4.384099007;3.032051325;2.844915628;2.799537683
1862;2.798630953;2.809369326;2.378187895;2.56068635;0;2.26202178;3.64958024;3.684798002;3.585510969;2.844318628;2.657310414
1863;3.312783718;2.679465055;2.424192429;2.89910841;0;2.426038504;3.289874792;4.292880058;3.753054142;3.308283329;2.838568044
1864;3.299871922;2.472322702;2.481432199;2.871325731;0;2.19826293;3.394521713;3.458786011;3.340689421;2.901028633;2.641824126
1865;3.035694361;2.566245556;2.114355803;2.752275705;0;2.236785889;2.794406414;3.066811323;3.399046421;2.66563344;2.463125491
1866;2.898511171;2.998300552;2.09819293;2.685785294;0;2.171430111;3.098305464;3.282248259;3.59754014;2.695606947;2.552592087
1867;2.698272467;2.825430393;2.10902524;2.630919456;0;2.162629843;3.000688791;3.077426434;3.519235134;2.647976875;2.467160463
1868;3.35116148;2.763604403;2.41557312;2.825485945;0;2.404312849;2.977370262;3.573437691;3.288542509;3.227744818;2.682723308
1869;2.977758646;2.569000721;2.382222176;2.785752058;0;2.289981365;2.658396959;3.090500116;3.361437082;2.829679251;2.494472837
1870;3.111864328;2.756208658;2.521745443;2.966455936;0;2.300959587;2.792734385;3.906864405;3.625594139;2.872977257;2.685540414
1871;2.920077085;2.434687614;2.143869877;2.669086218;0;2.146363735;2.863179207;3.796658754;3.522309065;2.726607084;2.522283864
1872;3.035157681;2.785352468;2.788053513;2.991722345;0;2.219645977;2.886169195;5.124586105;3.427459002;3.365877151;2.862402344
1873;3.279853106;2.643278837;3.015841484;2.741943598;0;2.253165483;2.85717392;4.221231937;3.508232594;3.058968306;2.757968926
1874;3.108638287;2.742486954;2.640295267;2.731925011;0;2.376610994;2.59987545;3.766878128;3.318762064;2.771446466;2.605691862
1875;3.104748487;2.576920509;3.284369469;2.984663248;0;2.2347579;2.899656057;3.670882463;3.627978802;2.930955648;2.731493258
1876;2.960518837;2.57236743;2.783761024;2.908698559;0;2.196307182;2.547260761;3.389654636;3.252627134;2.770851374;2.538204694
1877;2.69737649;2.955146551;2.722620726;2.839314461;0;2.197265863;2.48946929;3.465738058;3.342188358;2.690281868;2.539940166
1878;3.018985033;3.117903948;2.653635979;2.745702505;0;2.287636042;2.370988369;3.708137751;3.385952711;2.778894186;2.606783652
1879;2.847141743;3.042656898;2.686569214;2.615357637;0;2.184108734;2.633665085;3.822614431;3.432870388;2.604439735;2.586942387
1880;2.660107374;3.055469036;2.628489256;2.48142004;0;1.948940992;2.82297492;3.37847352;3.580433846;2.4442451;2.500055408
1881;2.622789621;3.184447527;2.691495419;2.575125933;0;2.137845993;2.770374775;3.609809399;3.463789463;2.740947247;2.579662538
1882;2.593521595;2.716011763;2.696375132;2.51892972;0;2.187264681;2.76982832;3.587837219;3.462989569;2.528971434;2.506172943
1883;3.005167961;2.76520586;2.78630209;2.770240307;0;2.290360689;2.706135988;3.874043465;3.365936756;2.852559805;2.641595292
1884;3.485193253;3.483560085;2.587436199;2.609047413;0;2.174046755;2.498952389;3.203283548;3.260327339;2.606882334;2.590872931
1885;3.110289097;2.992976427;2.738042831;2.602659225;0;2.160122871;2.521300554;3.249556303;3.315437317;2.720221043;2.541060567
1886;2.870745659;3.103744745;2.858931541;2.755591631;0;2.287612677;2.700568199;2.982257843;3.174099445;2.76840353;2.550195527
1887;3.143724918;3.065027714;2.894226551;2.824134827;0;2.214631796;2.430776596;3.226366758;3.40390563;2.833554506;2.60363493
