year;MLACHO01_;MLACHO03_;MLACHO04_;MLACHO05_;MLACHO07_;MLACHO14_;MLACHO15_;MLACHO16_;MLACHO17_;MLACHO19_;aver
1770;374.7273254;305.7595825;393.8862305;259.8669434;233.1284027;343.5918274;494.4689331;373.9247131;222.325592;357.2304688;335.8910019
1771;500.1213989;591.309082;410.3163147;468.4006653;408.7332764;538.6811523;503.8700867;506.9487;336.8351135;498.168396;476.3384186
1772;344.3861084;454.7819824;395.1733398;337.2233887;333.1348877;407.7529297;487.9352722;359.8722534;312.6289368;351.0603943;378.3949493
1773;466.0928345;463.0039978;354.4206848;433.9470215;374.5582886;580.6968384;444.4762268;437.2217407;277.8861389;460.4222717;429.2726044
1774;495.4164734;570.1818848;401.4031982;397.2900696;395.3780518;579.3062744;450.4410095;423.5971375;319.7901001;511.9077148;454.4711914
1775;403.7858887;552.0666504;349.8092346;425.0567322;383.6733704;492.389801;517.0739136;501.7111511;338.996521;566.8964233;453.1459686
1776;445.9640198;319.4100342;450.4440002;359.8261108;327.9050293;445.4118042;461.8624878;427.9198914;288.4165344;406.3447266;393.3504639
1777;556.2467041;552.6791382;406.5133972;430.6765442;399.8331604;538.8563232;484.7015686;500.8060303;340.4107056;561.9419556;477.2665527
1778;427.2696228;531.336853;341.3922424;375.8729858;432.5419312;544.0311279;532.7180176;510.6540527;361.2897034;602.0849609;465.9191498
1779;405.1419067;443.7220154;454.9622498;318.8911743;361.3317566;311.6124268;0;535.7694092;293.0939026;402.2921753;352.6817017
1780;448.7689819;434.6436462;334.7603455;385.4191895;325.1465149;254.6810303;0;364.3731079;284.1144714;485.9119263;331.7819214
1781;427.8766174;536.9539185;296.8843689;422.4976807;422.2185364;508.4229431;0;530.237793;377.5437012;581.9014893;410.4537048
1782;340.3516541;479.7747803;314.2126465;357.4307556;391.7362061;487.0022278;0;428.8607788;324.921814;527.7524414;365.2043304
1783;477.812561;543.0700073;423.1716614;435.0584717;468.0623474;508.7607117;0;579.0375366;405.1656189;512.3980713;435.2536987
1784;492.4310913;441.8736267;336.5459595;369.2113037;432.0083923;503.0525818;0;493.2861023;311.4816284;441.7678223;382.1658508
1785;454.7084656;594.6218872;298.6568604;432.9674988;502.6008301;566.3720093;0;596.5910034;357.9952393;580.8242188;438.5338013
1786;511.5655212;488.3101501;332.1986694;330.6445923;472.5237427;625.2451172;0;468.1149902;354.9851379;556.5142822;414.0102203
1787;437.743988;513.3034058;323.8919373;350.9551086;450.2651367;571.8952026;0;481.4521484;393.0994873;583.6040039;410.6210419
1788;459.4320068;447.7934265;343.0449829;334.5932007;440.1335144;575.9848633;0;523.1158447;352.5906067;533.2911377;400.9979584
1789;512.2003784;657.6538086;365.3635559;418.895874;606.3010254;790.9695435;0;615.18396;400.026886;644.7498169;501.1344849
1790;482.9846191;476.9897766;496.7115479;339.5405884;464.5341797;516.2685547;0;492.7197571;325.8533936;478.0448303;407.3647247
1791;494.1853333;425.8532104;381.3599548;343.6727905;370.5976563;507.2102966;0;509.9934082;317.6260071;544.9719238;389.5470581
1792;444.6065369;541.3081665;461.8233337;425.0614929;484.9937439;608.9257813;0;520.331543;373.8161621;605.3495483;446.6216309
1793;345.0752258;421.0926208;386.6519775;389.7815247;352.4638062;418.9453125;0;445.3076477;300.5646362;610.7764893;367.0659241
1794;467.3868103;359.7160645;463.7564697;356.6893311;342.7180786;400.6964417;0;354.3299561;204.8399811;329.3791504;327.9512283
1795;543.7880249;537.6814575;528.3740845;352.4859314;411.3944702;509.758606;0;516.0134277;325.3681335;496.9790344;422.184317
1796;477.7019653;396.3851318;453.088623;320.2981567;380.9154663;435.1505737;0;523.0111084;346.3119202;465.2428894;379.8105835
1797;539.0738525;457.7652588;481.8121338;418.4957581;429.8129272;442.1575623;0;564.5083618;117.4305725;448.8327332;389.988916
1798;393.0186157;446.0411682;393.5714722;380.9778748;393.216217;452.4957886;0;458.2155762;406.7254028;436.8232422;376.1085358
1799;443.8564758;584.1178589;519.4609985;410.0016785;479.7337036;435.5973206;0;542.3654175;344.249176;547.4476318;430.6830261
1800;455.0660706;447.0639343;459.1000671;381.0055237;473.8376465;408.6045227;0;458.7340698;385.5190735;431.4747314;390.040564
1801;374.0776978;212.2766113;208.1694183;278.7980042;331.20401;149.3249359;0;300.8334045;277.7465515;340.6080017;247.3038635
1802;490.7487183;543.9544067;509.6547852;385.9917908;443.4543762;341.2100525;0;506.3532715;359.4866028;562.7367554;414.3590759
1803;464.073822;391.6484375;498.1186829;386.6710815;468.7331543;400.5609436;0;510.3184509;331.7054443;;383.5366686
1804;368.7635803;297.3235168;477.4406433;339.9302673;289.1282959;312.6969299;0;139.9064484;265.2486877;;276.7153744
1805;518.625061;544.6486206;474.078064;367.6620178;401.4610901;530.2703857;0;492.3724976;343.3843079;433.9328613;410.6434906
1806;545.6046753;451.9326477;511.3703613;347.8382263;353.8313599;410.1539001;0;421.3983154;261.8936768;422.8321838;372.6855347
1807;545.1953125;513.8503418;473.7992249;449.0673218;353.7099304;442.7428894;0;524.9812622;388.1610413;425.9927368;411.7500061
1808;539.6901245;462.3033142;494.3251038;412.824707;351.7929993;455.7938538;0;507.9594116;322.1878052;482.9383545;402.9815674
1809;566.3734131;509.5067444;506.7096863;426.8373108;450.5292358;474.0230103;0;588.8045044;326.3358459;442.2474365;429.1367188
1810;613.3602905;530.623291;467.3189392;454.0843811;386.8532715;501.572113;0;520.8248901;350.8311157;478.0857849;430.3554077
1811;452.6991272;510.4989319;451.7383118;452.0762024;408.5496826;449.7830811;0;508.1655579;329.8157349;332.0666809;389.5393311
1812;560.8909302;327.4604187;509.4259338;374.2970886;442.1570435;367.4197083;0;444.9064331;421.780365;419.658905;386.7996826
1813;519.8527222;187.3559875;489.7179871;434.100769;387.5754089;189.9497375;0;451.7966614;500.6596985;346.2586365;350.7267609
1814;456.5980835;183.3374634;480.1252136;404.3912964;352.7408142;337.7921753;0;396.1717224;411.2059326;188.4311218;321.0793823
1815;481.643158;168.595108;523.62146;430.930481;402.3833923;238.469223;0;558.8508301;361.5458069;375.5278015;354.1567261
1816;532.1883545;384.6453247;582.7695923;494.7503357;534.7635498;452.2358093;0;630.0900269;335.5935974;536.1801147;448.3216705
1817;224.5574188;644.4921265;300.9001465;179.0537415;243.16716;462.282074;0;212.9831238;277.1515503;146.0098267;269.0597168
1818;184.0962524;153.2813416;135.5412292;173.2275391;163.5392456;98.81603241;0;202.2363892;243.0947266;192.2327728;154.6065529
1819;429.8355408;191.4160767;502.9562378;466.5957642;384.6800537;411.9186401;0;575.0047607;483.0229797;454.1763;389.9606354
1820;480.6806335;452.1021423;566.7459717;376.7255859;449.2489319;451.0863342;0;544.3623047;141.2948303;435.4759521;389.7722687
1821;473.0105896;526.3780518;530.8477173;437.9661865;419.6242676;342.3580627;0;529.7609253;153.4218597;387.480011;380.0847672
1822;397.9290161;428.3770752;364.1240234;317.8143616;389.2041626;112.9929886;0;293.3522034;140.3256378;235.6329803;267.9752449
1823;441.6624146;520.0418701;448.4017639;382.2701721;488.5445251;379.5718994;0;538.3308105;464.6261597;469.1745605;413.2624176
1824;429.9475098;465.9092407;490.6876221;406.8856201;522.0365601;363.6080017;0;536.2404785;358.8482361;417.2164917;399.1379761
