Year	KHA01	KHA02	KHA03	KHA04	KHA05	KHA06	KHA08	KHA09	KHA10	KHA11	KHA12	KHA14	KHA15	KHA16	KHA17	KHA19	KHA20
1797	0,37	0,10	0,53	0,38	0,30	0,34	0,29	0,48	0,48	0,35	0,68	0,25	0,37	0,48		0,37	0,29
1798	0,10	0,03	0,17	0,11	0,14	0,14	0,09	0,20	0,24	0,16	0,40	0,11	0,04	0,12		0,12	0,14
1799	0,23	0,19	0,30	0,20	0,20	0,30	0,26	0,33	0,26	0,18	0,46	0,16	0,28	0,33		0,16	0,23
1800	0,05	0,00	0,10	0,02	0,04	0,26	0,11	0,19	0,31	0,14	0,34	0,09	0,03	0,23		0,11	0,17
1801	0,39	0,33	0,42	0,17	0,29	0,46	0,52	0,37	0,63	0,45	0,52	0,37	0,50	0,46		0,24	0,29
1802	0,38	0,25	0,47	0,04	0,31	0,41	0,53	0,58	0,58	0,51	0,55	0,36	0,47	0,60		0,43	0,38
1803	0,37	0,32	0,58	0,18	0,33	0,49	0,10	0,32	0,53	0,45	0,53	0,30	0,51	0,67		0,40	0,28
1804	0,25	0,15	0,45	0,33	0,22	0,38	0,33	0,35	0,25	0,37	0,40	0,24	0,45	0,48		0,25	0,29
1805	0,29	0,21	0,72	0,21	0,25	0,39	0,33	0,54	0,39	0,59	0,64	0,34	0,47	0,54		0,34	0,39
1806	0,35	0,38	1,14	0,20	0,35	0,48	0,59	0,69	0,54	0,78	0,75	0,53	0,52	0,68		0,45	0,52
1807	0,03	0,05	0,21	0,00	0,12	0,08	0,16	0,09	0,23	0,19	0,25	0,16	0,07	0,27		0,15	0,10
1808	0,33	0,31	0,51	0,11	0,30	0,36	0,38	0,50	0,40	0,61	0,57	0,33	0,45	0,52		0,46	0,25
1809	0,28	0,25	0,41	0,18	0,24	0,32	0,35	0,43	0,21	0,35	0,49	0,37	0,26	0,49		0,31	0,19
1810	0,23	0,29	0,24	0,20	0,58	0,19	0,28	0,31	0,20	0,29	0,33	0,38	0,34	0,44		0,26	0,16
1811	0,16	0,16	0,27	0,26	0,11	0,27	0,29	0,26	0,10	0,12	0,32	0,18	0,17	0,34		0,21	0,15
1812	0,04	0,05	0,06	0,01	0,06	0,04	0,07	0,06	0,04	0,08	0,15	0,07	0,00	0,10		0,08	0,06
1813	0,06	0,12	0,15	0,04	0,07	0,14	0,15	0,06	0,11	0,06	0,27	0,07	0,06	0,20		0,18	0,06
1814	0,24	0,18	0,25	0,13	0,16	0,20	0,16	0,16	0,13	0,13	0,43	0,11	0,19	0,40		0,18	0,14
1815	0,12	0,05	0,15	0,05	0,09	0,13	0,04	0,09	0,05	0,07	0,35	0,11	0,11	0,23		0,09	0,14
1816	0,16	0,14	0,17	0,07	0,10	0,22	0,27	0,12	0,13	0,07	0,40	0,11	0,10	0,28		0,11	0,18
1817	0,25	0,16	0,25	0,14	0,18	0,29	0,40	0,21	0,20	0,18	0,62	0,16	0,10	0,36		0,27	0,18
1818	0,21	0,23	0,48	0,13	0,19	0,34	0,41	0,27	0,26	0,12	0,45	0,18	0,03	0,49		0,34	0,23
1819	0,08	0,03	0,21	0,10	0,11	0,23	0,20	0,16	0,15	0,06	0,21	0,07	0,04	0,21		0,13	0,08
1820	0,00	0,10	0,22	0,00	0,09	0,18	0,13	0,12	0,12	0,00	0,18	0,06	0,00	0,25		0,10	0,15
1821	0,04	0,15	0,36	0,09	0,22	0,33	0,37	0,30	0,29	0,05	0,35	0,13	0,25	0,43		0,30	0,19
1822	0,21	0,30	0,52	0,10	0,29	0,42	0,24	0,24	0,35	0,18	0,29	0,10	0,19	0,43		0,43	0,27
1823	0,31	0,17	0,20	0,14	0,09	0,25	0,32	0,14	0,25	0,20	0,17	0,04	0,07	0,19		0,37	0,14
1824	0,14	0,06	0,23	0,21	0,15	0,22	0,27	0,15	0,27	0,08	0,13	0,08	0,06	0,16		0,33	0,24
1825	0,08	0,00	0,03	0,03	0,00	0,05	0,00	0,00	0,09	0,00	0,06	0,00	0,00	0,00		0,06	0,00
1826	0,06	0,03	0,14	0,06	0,02	0,23	0,12	0,11	0,11	0,07	0,16	0,04	0,04	0,14		0,28	0,14
1827	0,25	0,17	0,30	0,05	0,04	0,25	0,11	0,15	0,18	0,07	0,19	0,10	0,14	0,18		0,12	0,17
1828	0,44	0,10	0,77	0,19	0,16	0,43	0,43	0,32	0,37	0,16	0,33	0,19	0,22	0,32		0,53	0,34
1829	0,39	0,31	0,42	0,16	0,23	0,32	0,31	0,18	0,33	0,25	0,26	0,09	0,11	0,27		0,37	0,21
1830	0,03	0,10	0,19	0,07	0,14	0,05	0,00	0,05	0,09	0,27	0,09	0,05	0,00	0,08		0,20	0,06
1831	0,34	0,30	0,38	0,21	0,15	0,30	0,34	0,15	0,37	0,24	0,28	0,14	0,25	0,27		0,39	0,22
1832	0,26	0,11	0,25	0,08	0,17	0,21	0,20	0,17	0,32	0,10	0,24	0,12	0,09	0,16		0,25	0,14
1833	0,08	0,03	0,08	0,00	0,00	0,11	0,02	0,00	0,17	0,05	0,12	0,04	0,00	0,06		0,15	0,08
1834	0,28	0,28	0,29	0,20	0,19	0,28	0,44	0,31	0,50	0,34	0,33	0,25	0,17	0,20		0,41	0,28
1835	0,42	0,28	0,32	0,26	0,30	0,44	0,53	0,47	0,56	0,51	0,35	0,32	0,20	0,28		0,66	0,41
1836	0,22	0,18	0,24	0,11	0,23	0,25	0,24	0,26	0,28	0,30	0,31	0,10	0,05	0,19		0,43	0,16
1837	0,04	0,07	0,11	0,07	0,06	0,08	0,04	0,08	0,10	0,08	0,14	0,07	0,03	0,05		0,15	0,05
1838	0,10	0,15	0,14	0,13	0,10	0,11	0,15	0,12	0,13	0,28	0,15	0,12	0,13	0,10	0,22	0,24	0,16
1839	0,09	0,12	0,23	0,10	0,19	0,21	0,13	0,15	0,14	0,22	0,23	0,08	0,06	0,10	0,27	0,25	0,15
1840	0,15	0,24	0,32	0,16	0,40	0,31	0,25	0,21	0,21	0,21	0,21	0,16	0,17	0,31	0,15	0,57	0,22
1841	0,20	0,20	0,32	0,15	0,37	0,31	0,26	0,26	0,32	0,25	0,32	0,19	0,18	0,25	0,19	0,69	0,33
1842	0,23	0,21	0,61	0,21	0,54	0,28	0,32	0,30	0,32	0,44	0,38	0,18	0,27	0,31	0,27	0,68	0,32
1843	0,10	0,11	0,52	0,06	0,38	0,23	0,17	0,16	0,25	0,13	0,24	0,14	0,04	0,27	0,44	0,39	0,29
1844	0,15	0,08	0,16	0,10	0,29	0,22	0,18	0,16	0,15	0,28	0,13	0,09	0,10	0,14	0,44	0,23	0,12
1845	0,12	0,07	0,24	0,03	0,39	0,25	0,23	0,20	0,27	0,29	0,18	0,13	0,06	0,26	0,46	0,40	0,19
1846	0,14	0,18	0,31	0,14	0,52	0,26	0,26	0,28	0,40	0,35	0,26	0,14	0,18	0,30	0,54	0,40	0,25
1847	0,07	0,12	0,24	0,06	0,20	0,13	0,03	0,09	0,21	0,04	0,17	0,09	0,12	0,14	0,23	0,14	0,16
1848	0,14	0,13	0,23	0,10	0,31	0,24	0,20	0,13	0,23	0,17	0,23	0,11	0,15	0,16	0,34	0,31	0,20
1849	0,00	0,00	0,11	0,04	0,09	0,07	0,00	0,00	0,14	0,00	0,05	0,03	0,00	0,05	0,19	0,09	0,06
