year,RCTA*KHA_03_,RCTA*KHA_06_,RCTA*KHA_09_,RCTA*KHA_12_,RCTA*KHA_14_,RCTA*KHA_15_,RCTA*KHA_16_,RCTA*KHA_17_,RCTA*KHA_19_,RCTA*KHA_20_
1832,41.57786560058594,35.41581726074219,47.29013442993164,49.33915328979492,29.617137908935547,0,21.17146110534668,0,38.78461456298828,25.989076614379883
1833,43.649749755859375,37.0417594909668,23.669864654541016,51.03245544433594,29.44756507873535,0,0,0,37.7585334777832,27.456850051879883
1834,42.088497161865234,33.31825256347656,42.91122817993164,44.317588806152344,28.47959327697754,0,0,18.324827194213867,37.92332077026367,23.601228713989258
1835,38.93525695800781,36.51076126098633,44.27509689331055,43.975242614746094,30.726253509521484,0,17.307369232177734,35.94729995727539,40.30214309692383,25.21657943725586
1836,35.742244720458984,29.57517433166504,39.96586990356445,44.07441329956055,23.102445602416992,0,0,40.360355377197266,35.64834976196289,17.4345760345459
1837,49.524784088134766,49.02598571777344,46.040679931640625,50.990543365478516,31.2056827545166,0,104.83091735839844,38.049224853515625,42.54623794555664,23.968252182006836
1838,42.70356750488281,40.85259246826172,42.35377502441406,46.22284698486328,28.7368221282959,0,31.321815490722656,28.67764663696289,31.3165225982666,20.732683181762695
1839,39.978153228759766,32.364078521728516,45.287086486816406,45.271305084228516,34.734214782714844,0,23.84758949279785,37.969505310058594,38.41029739379883,25.993385314941406
1840,37.38786315917969,31.417156219482422,42.91818618774414,42.75962448120117,29.013225555419922,0,13.265104293823242,41.45481491088867,37.406288146972656,22.413827896118164
1841,29.396276473999023,26.9072265625,40.24609375,37.86260986328125,38.34744644165039,0,25.613378524780273,32.31325149536133,0,17.737417221069336
1842,36.06157302856445,27.240398406982422,46.976898193359375,45.25856018066406,30.393890380859375,0,14.643227577209473,30.543251037597656,0,23.180496215820312
1843,30.99523162841797,30.77528190612793,34.19948196411133,50.73320007324219,26.964927673339844,0,0,36.01496505737305,0,22.209619522094727
1844,37.28398895263672,31.250402450561523,43.46418380737305,48.616336822509766,32.906288146972656,0,16.164398193359375,26.349605560302734,0,27.859128952026367
1845,32.683021545410156,30.59393310546875,41.29366683959961,49.188621520996094,29.054933547973633,0,11.8345365524292,22.310686111450195,0,22.10569190979004
1846,31.550785064697266,25.873849868774414,39.443729400634766,45.87685775756836,28.941822052001953,0,12.540386199951172,19.258331298828125,0,23.62443733215332
1847,39.405250549316406,39.843868255615234,38.47598648071289,54.64405822753906,29.973737716674805,0,8.70047378540039,34.381553649902344,0,26.440153121948242
1848,33.69013214111328,34.85863494873047,37.23738479614258,44.1966438293457,27.384952545166016,0,10.922015190124512,35.43983459472656,0,21.757230758666992
1849,35.19950485229492,45.54784393310547,6.561356067657471,34.93984603881836,23.863290786743164,0,13.459760665893555,47.14628219604492,0,20.136199951171875
1850,34.326904296875,35.41731262207031,47.59123611450195,48.72498321533203,30.411977767944336,0,22.834497451782227,50.67931365966797,0,16.162193298339844
1851,36.42988204956055,30.285451889038086,41.23417663574219,53.00994110107422,33.149147033691406,0,24.581005096435547,49.707183837890625,0,17.344295501708984
