year,CWTtanKHA_03_,CWTtanKHA_06_,CWTtanKHA_09_,CWTtanKHA_12_,CWTtanKHA_14_,CWTtanKHA_15_,CWTtanKHA_16_,CWTtanKHA_17_,CWTtanKHA_19_,CWTtanKHA_20_
1805,4.161615371704102,3.6885433197021484,3.914961576461792,3.1101016998291016,3.737541913986206,4.613790035247803,-999,0,2.8613851070404053,4.518531799316406
1806,4.357489585876465,3.8737800121307373,3.7090072631835938,3.292983293533325,3.614358901977539,4.807908535003662,-999,0,3.159043073654175,4.814119338989258
1807,3.2341651916503906,2.8469603061676025,3.488649606704712,2.488957643508911,4.10521125793457,3.723836660385132,-999,0,2.458120584487915,3.945336103439331
1808,4.141237735748291,3.390963315963745,3.5981109142303467,3.1465580463409424,3.6710212230682373,4.64473295211792,-999,0,2.6412158012390137,4.310722351074219
1809,3.2574124336242676,2.7211835384368896,3.4711225032806396,2.3100500106811523,3.483461380004883,3.4349305629730225,-999,0,2.5264763832092285,3.4365298748016357
1810,3.09342098236084,2.9342758655548096,2.9022879600524902,3.166008949279785,3.4484987258911133,3.5204293727874756,-999,0,3.0919711589813232,4.053584098815918
1811,4.238885879516602,4.032631874084473,2.8936705589294434,5.065346717834473,3.616786241531372,4.037091255187988,-999,0,3.609287738800049,4.774257659912109
1812,2.611269950866699,2.432917833328247,3.488538980484009,5.137598514556885,4.40187406539917,4.019233703613281,2.977285385131836,0,2.3282995223999023,3.591769218444824
1813,2.9619712829589844,2.6033191680908203,3.1837682723999023,4.666790962219238,3.7249343395233154,3.4186689853668213,3.4136509895324707,0,2.486703395843506,3.559199571609497
1814,3.2501442432403564,3.089669942855835,3.035994291305542,4.6169753074646,3.587395191192627,3.6685917377471924,3.5191855430603027,0,2.9559133052825928,4.138365268707275
1815,3.3189947605133057,2.903665065765381,3.081831693649292,3.9273674488067627,3.6936826705932617,4.296513557434082,2.7925283908843994,0,2.3948676586151123,3.936142921447754
1816,3.5934269428253174,3.25788950920105,3.405472755432129,4.471489906311035,3.7276804447174072,3.2153825759887695,3.8850090503692627,0,3.3449132442474365,4.272284507751465
1817,3.376796245574951,3.023648500442505,3.352313756942749,4.484193801879883,3.5818557739257812,3.496659994125366,3.3629183769226074,0,3.4012198448181152,3.7465052604675293
1818,4.04062032699585,3.5926828384399414,3.703896999359131,3.573918342590332,3.6851680278778076,3.4437785148620605,3.4076199531555176,0,3.4258198738098145,4.88875150680542
1819,3.46899676322937,3.1807148456573486,3.821629762649536,3.428961992263794,5.600336074829102,3.759061813354492,3.3906450271606445,0,3.203674554824829,3.3971445560455322
1820,3.3495430946350098,2.8729541301727295,3.271336793899536,3.942089557647705,5.4636688232421875,3.6529343128204346,3.3669629096984863,0,3.1006457805633545,3.7526748180389404
1821,3.821328639984131,3.4231226444244385,3.5277202129364014,4.160675525665283,3.5226809978485107,3.3098223209381104,3.1353580951690674,0,3.7206084728240967,4.252277851104736
1822,3.503427505493164,3.6023523807525635,3.5580344200134277,3.7138619422912598,3.6265804767608643,3.3028342723846436,2.9147956371307373,0,3.4480159282684326,4.9301533699035645
1823,3.8196663856506348,3.660327672958374,3.899791955947876,3.986847400665283,5.796729564666748,3.9368371963500977,2.9849281311035156,0,3.775440216064453,4.4855523109436035
1824,3.3229641914367676,3.133678674697876,3.32658052444458,4.17369270324707,3.7220606803894043,4.367897033691406,4.696126937866211,0,3.0562925338745117,4.122805595397949
1825,2.5583908557891846,2.2585232257843018,-999,4.752029895782471,3.807835578918457,4.753800392150879,2.446195125579834,0,2.584749221801758,3.8458399772644043
1826,3.0253689289093018,2.749403953552246,3.0619869232177734,2.6911184787750244,4.4531636238098145,3.557194948196411,2.8623757362365723,0,3.3354480266571045,3.768993854522705
1827,3.0668632984161377,2.846646308898926,3.160170316696167,2.7193455696105957,3.4477908611297607,3.220876693725586,2.9617345333099365,0,2.4241435527801514,3.8894801139831543
1828,4.810305595397949,4.026949882507324,4.0544538497924805,3.4680356979370117,4.042774200439453,3.1734814643859863,3.2453668117523193,0,3.1202707290649414,4.8944268226623535
1829,3.6940908432006836,3.389981269836426,3.039241075515747,2.5568981170654297,3.6978137493133545,3.535299062728882,2.7407898902893066,0,2.9759573936462402,3.6537110805511475
1830,3.5002481937408447,2.9066832065582275,3.12990403175354,2.3325629234313965,4.527152061462402,2.62121319770813,2.692883253097534,0,3.3174798488616943,3.5487968921661377
1831,3.8610103130340576,3.563887357711792,3.395920753479004,3.0891098976135254,3.971195936203003,2.9680540561676025,-999,0,3.301028251647949,4.443062782287598
1832,3.3946869373321533,2.9436705112457275,3.2983238697052,2.480121612548828,3.913503646850586,3.2516987323760986,-999,0,3.0973920822143555,3.7292380332946777
1833,2.338534355163574,2.7483229637145996,4.252008438110352,2.2162182331085205,5.257789134979248,-999,-999,0,2.9518487453460693,3.349337339401245
1834,3.4286999702453613,3.3711555004119873,3.7518670558929443,3.2469873428344727,4.107665538787842,3.793379306793213,-999,2.730348587036133,3.4886770248413086,4.5993170738220215
1835,3.477306604385376,3.572091579437256,3.7809486389160156,3.220123529434204,3.9264378547668457,3.3756067752838135,-999,2.3825230598449707,3.2750561237335205,4.664161205291748
1836,3.7316606044769287,3.5324923992156982,3.884939670562744,3.563624620437622,4.432583808898926,3.3173468112945557,-999,2.405247688293457,3.7899999618530273,4.773619174957275
1837,2.1845061779022217,2.1687722206115723,2.541283369064331,2.0855042934417725,4.537004470825195,3.693662166595459,-999,2.1167004108428955,2.6970956325531006,3.1785480976104736
1838,2.5033512115478516,2.259864568710327,3.0977017879486084,2.613539218902588,3.726745843887329,3.0677928924560547,-999,2.5229203701019287,3.7255795001983643,3.859912395477295
1839,2.8925745487213135,2.8648669719696045,3.3201725482940674,2.6616673469543457,3.5748541355133057,7.2566633224487305,2.264369487762451,2.8074796199798584,3.4391942024230957,3.7003531455993652
1840,3.785276174545288,3.375868082046509,3.4045231342315674,2.9839391708374023,3.972705125808716,3.4748659133911133,2.2295427322387695,2.1735384464263916,3.8637888431549072,4.355561256408691
1841,4.628727436065674,3.4108307361602783,3.3695671558380127,3.5824947357177734,3.4694058895111084,3.180377244949341,2.5963404178619385,3.1829981803894043,-999,5.04931640625
1842,3.7126994132995605,3.3819072246551514,3.5535519123077393,3.1892027854919434,3.9192068576812744,3.345344305038452,2.3653860092163086,3.1785075664520264,-999,4.331446647644043
1843,4.1811699867248535,2.831070899963379,3.7452824115753174,2.7470555305480957,4.214951992034912,-999,-999,3.3062801361083984,-999,4.412278652191162
1844,3.2671971321105957,2.7673404216766357,3.375947952270508,2.493797540664673,3.8423736095428467,-999,2.820770502090454,4.026346206665039,-999,3.342478036880493
1845,3.5642621517181396,2.947519540786743,3.6400046348571777,2.6217892169952393,4.068358421325684,-999,2.6467134952545166,4.23314905166626,-999,3.7866880893707275
1846,4.154725074768066,3.7308502197265625,3.9406301975250244,3.208591938018799,4.042934417724609,-999,2.6103382110595703,4.518777847290039,-999,4.208167552947998
1847,2.7407073974609375,2.3445615768432617,3.0329959392547607,2.1051769256591797,3.9441471099853516,-999,2.7532236576080322,3.097816228866577,-999,3.505052328109741
1848,3.51629638671875,3.0375149250030518,3.2260961532592773,2.5918171405792236,3.900428533554077,0,2.9739623069763184,3.010014295578003,-999,4.019192695617676
1849,2.347848415374756,1.9958457946777344,3.1818747520446777,4.514883518218994,5.375710964202881,2.9974377155303955,3.7167723178863525,1.9656713008880615,-999,2.725045919418335
1850,2.8576176166534424,2.5651848316192627,3.0252416133880615,3.647578239440918,3.9157540798187256,3.0777671337127686,2.6960504055023193,2.0972812175750732,-999,3.8569247722625732
1851,2.8751702308654785,2.7966816425323486,3.5177948474884033,3.335638999938965,3.8312268257141113,2.7064366340637207,2.6876986026763916,1.9919953346252441,-999,3.853792905807495
1852,3.7853410243988037,3.5721094608306885,3.695078134536743,4.200080871582031,4.133081436157227,4.74778938293457,2.906795024871826,3.144401788711548,-999,5.145402908325195
1853,4.402788162231445,4.4938578605651855,3.2678141593933105,2.8380014896392822,4.174834728240967,5.49616813659668,2.7900922298431396,2.8612852096557617,-999,4.70244836807251
1854,3.4679958820343018,4.184946060180664,4.426692485809326,3.032081127166748,4.037802219390869,5.315354347229004,2.6293153762817383,2.447096586227417,5.4092020988464355,4.526547908782959
1855,3.402834892272949,4.196160316467285,4.071401119232178,3.441926956176758,4.292993068695068,5.2169508934021,2.442068576812744,2.87628173828125,5.340075969696045,4.674126148223877
1856,3.8850011825561523,4.221024036407471,3.5234413146972656,3.9152815341949463,4.274420738220215,6.30316162109375,2.358283042907715,2.776298761367798,4.4529523849487305,5.082196235656738
1857,3.39327073097229,3.936955213546753,4.2480854988098145,2.95757794380188,4.064202308654785,5.127743244171143,3.2786192893981934,2.4228920936584473,-999,5.018350601196289
1858,3.3976964950561523,3.3106558322906494,3.530543327331543,3.411323308944702,4.0029778480529785,4.7476487159729,2.3531813621520996,2.610715866088867,4.24074649810791,4.097705364227295
1859,3.9716007709503174,3.663515329360962,3.7889349460601807,4.332808971405029,4.1876912117004395,4.459618091583252,4.0356059074401855,2.99794340133667,4.8940935134887695,4.0652923583984375
1860,4.445483207702637,4.472728252410889,3.8842763900756836,4.383083343505859,4.357728004455566,5.955106258392334,3.7570669651031494,3.226532220840454,4.291505336761475,4.6514482498168945
1861,3.927401065826416,3.792603015899658,3.7764132022857666,3.943962335586548,3.8133840560913086,5.271477222442627,3.100472927093506,2.6160247325897217,4.0583109855651855,3.865854263305664
1862,3.796558141708374,4.0785698890686035,3.4665563106536865,3.8180840015411377,4.269810199737549,4.665631294250488,3.0282750129699707,2.9368882179260254,4.107594013214111,3.730961322784424
1863,5.438263416290283,4.887846946716309,4.78839635848999,4.458459854125977,4.788814067840576,6.913741588592529,3.970402956008911,3.452500104904175,5.1028852462768555,3.9239277839660645
1864,3.7792043685913086,4.249706268310547,3.948943614959717,3.989772319793701,3.979013204574585,5.446500301361084,0,3.0262482166290283,4.104552745819092,3.6185429096221924
1865,4.80184268951416,4.481274604797363,3.7935049533843994,4.624412536621094,4.798178195953369,6.532046318054199,4.692931175231934,3.1805832386016846,4.226935386657715,3.5803415775299072
1866,2.813368082046509,3.0354204177856445,3.0966742038726807,3.2290537357330322,3.6011221408843994,3.607316017150879,3.7362310886383057,2.579361915588379,2.7946181297302246,3.3199541568756104
1867,3.0646307468414307,2.4333131313323975,2.57773494720459,3.519742250442505,3.477692127227783,3.4609241485595703,3.577552080154419,2.723881483078003,2.834700345993042,3.784902811050415
1868,4.146048545837402,3.7282116413116455,3.2735061645507812,4.0069379806518555,3.9961328506469727,4.873758316040039,3.989696979522705,2.842618465423584,3.557558298110962,3.440457344055176
1869,2.273359775543213,2.355893611907959,2.474935293197632,2.1768856048583984,3.0966548919677734,0,3.2295806407928467,1.9466036558151245,2.2354931831359863,2.329457998275757
1870,4.201920986175537,3.095796585083008,3.148056745529175,3.396538496017456,3.657392740249634,3.6137278079986572,4.042373180389404,2.780393123626709,3.28466796875,3.3391199111938477
1871,4.071598052978516,4.213947772979736,3.5169713497161865,3.5179622173309326,3.8108391761779785,4.305229187011719,4.297913074493408,3.3025543689727783,3.377748489379883,3.3210999965667725
1872,3.8778700828552246,4.031854629516602,3.848663330078125,3.9211831092834473,4.231903076171875,4.643997669219971,4.494256973266602,3.6049447059631348,3.6799557209014893,3.626405954360962
1873,3.328131914138794,3.208143472671509,2.9924721717834473,3.4574358463287354,3.6978366374969482,3.19684100151062,4.116650581359863,3.1046087741851807,3.168063163757324,3.225362539291382
1874,2.6424572467803955,3.1619787216186523,2.891651153564453,4.2718939781188965,5.180988311767578,2.945244312286377,3.426784038543701,2.8050451278686523,2.7954084873199463,3.326497793197632
1875,3.8749074935913086,3.7253189086914062,3.33512806892395,5.131049633026123,3.4887990951538086,4.893799304962158,4.142773151397705,3.3035104274749756,3.267827272415161,4.141102313995361
1876,3.9683074951171875,3.98563551902771,3.0546834468841553,4.841543197631836,3.873491048812866,4.209263324737549,4.283886432647705,3.6133415699005127,3.5062379837036133,3.8506743907928467
1877,4.0059895515441895,4.126154899597168,3.4259536266326904,5.752782821655273,4.206707954406738,5.022489547729492,4.66855525970459,3.5087411403656006,3.429610013961792,4.489559650421143
1878,6.789914608001709,4.993494510650635,3.5079586505889893,5.671982765197754,3.981477737426758,5.550813674926758,4.354077339172363,3.7478253841400146,3.6538197994232178,5.0759172439575195
1879,3.813889265060425,3.917886972427368,3.9819447994232178,4.904233932495117,4.234602451324463,5.027892589569092,4.770667552947998,3.1974947452545166,3.5988264083862305,5.207372665405273
1880,5.778374671936035,3.989290952682495,3.618518590927124,4.130190372467041,3.999335289001465,5.300609111785889,4.818313121795654,3.6634600162506104,3.4814798831939697,5.5307183265686035
1881,5.574590682983398,3.541459083557129,3.7709970474243164,4.4541215896606445,3.8680763244628906,4.50287389755249,5.177428245544434,3.5659303665161133,3.3636674880981445,5.100302219390869
1882,4.399252414703369,3.0560545921325684,3.563225030899048,4.511613368988037,3.6275577545166016,3.93403959274292,4.193999290466309,3.1696817874908447,3.745018243789673,4.305202960968018
1883,4.913390159606934,3.6613450050354004,4.020235538482666,3.655329465866089,3.957261562347412,4.311764717102051,4.163745403289795,3.4550063610076904,3.9325923919677734,4.820501804351807
1884,3.1136879920959473,2.8301303386688232,2.91953444480896,2.501243829727173,4.260886192321777,2.5090391635894775,3.5523126125335693,2.4247195720672607,3.1672089099884033,2.9947710037231445
1885,3.101870536804199,2.839946985244751,3.164217948913574,0,3.640012741088867,2.2999815940856934,3.458301067352295,2.545257806777954,3.8039019107818604,2.663839340209961
1886,4.062611103057861,2.7852373123168945,3.098240852355957,0,3.477741241455078,3.1606929302215576,3.928825855255127,3.226398229598999,3.668642520904541,3.716060161590576
1887,4.143022537231445,3.4639453887939453,3.1906869411468506,0,3.8806698322296143,3.9708774089813232,4.048501014709473,3.573875904083252,3.518465995788574,4.512481212615967
1888,4.8235955238342285,3.020050525665283,3.07646107673645,0,3.5452282428741455,4.535873889923096,4.100276470184326,3.8470652103424072,3.7366602420806885,4.992364883422852
1889,4.426454544067383,3.360391616821289,0,0,4.217389106750488,3.9654226303100586,4.412674903869629,3.0842530727386475,4.155212879180908,4.944253444671631
1890,4.825968265533447,3.270594358444214,0,0,3.5815813541412354,4.265973091125488,4.190681457519531,3.07979154586792,3.755486488342285,4.667092800140381
1891,5.171849250793457,3.933751344680786,0,0,4.066240310668945,4.357473850250244,4.286530017852783,3.0840952396392822,3.7529547214508057,5.46636962890625
1892,5.8260817527771,4.602538108825684,0,0,4.775714874267578,5.2541303634643555,4.937572956085205,3.766258955001831,-999,5.714559555053711
