year,MaxRWKHA_03_,MaxRWKHA_06_,MaxRWKHA_09_,MaxRWKHA_12_,MaxRWKHA_14_,MaxRWKHA_15_,MaxRWKHA_16_,MaxRWKHA_17_,MaxRWKHA_19_,MaxRWKHA_20_
1766,594.3671875,584.8359375,382.328125,1165.28125,313.4453125,692.640625,480.78125,0,0,465.265625
1767,820.640625,684.703125,516.28125,1261.8828125,356.7421875,767.828125,548.4296875,0,0,546.0234375
1768,544.2109375,471.2890625,353,616.609375,249.921875,322.2734375,396.765625,0,0,367.3515625
1769,706.6796875,742.765625,777.265625,887.953125,471.6875,894.640625,600.921875,0,0,482.171875
1770,321.6796875,393.6640625,339.03125,473.71875,197.2109375,266.8203125,335.640625,0,0,223.6328125
1771,191.2265625,199.1171875,210.84375,354.2265625,180.7109375,131.8828125,118.0234375,0,0,79.609375
1772,324.171875,318.2109375,220.140625,574.125,154.21875,251.140625,238.4453125,0,0,233.1640625
1773,201.7734375,131.171875,76.0234375,334.078125,76.03125,106.2109375,171.4609375,0,0,132.90625
1774,611.3359375,489.921875,308.09375,392.3984375,240.03125,499.90625,548.9453125,0,0,390.1796875
1775,966.8984375,583.9921875,367.7578125,486.890625,253.65625,587.453125,660.40625,0,0,600.1640625
1776,595.5078125,450.796875,328.859375,524.234375,194.4921875,204.203125,573.28125,0,0,454.390625
1777,657.953125,527.9375,464.15625,825.21875,293.828125,636.515625,797.828125,0,0,513.6015625
1778,707.234375,495.484375,427.859375,736.21875,229.296875,655.4765625,665.796875,0,0,509.2265625
1779,360.0546875,403.6796875,264.7421875,468.765625,207.6015625,128.1484375,372.2265625,0,0,272.75
1780,318.9609375,429.6796875,331.9375,465.421875,207.8203125,365.5625,335.3984375,0,0,316.0390625
1781,315.1484375,301.5390625,178.859375,486.9140625,132.5859375,215.390625,403.21875,0,0,241.3046875
1782,544.078125,500.671875,442.9140625,617.109375,263.4140625,617.5,531.6484375,0,0,347.8203125
1783,435.96875,419.4375,412.4375,650.1953125,185.6484375,212.1875,474.3359375,0,0,319.8125
1784,823.8359375,689.953125,743.96875,735.5078125,312.078125,572.8828125,606.25,0,0,436.1171875
1785,654.9609375,606.9609375,660.8046875,603.328125,442.5390625,648.4453125,443.9296875,0,0,421.1171875
1786,168.3984375,205.640625,175.4765625,364.6328125,128.1875,151.6328125,265.078125,0,0,142.1875
1787,760.359375,547.234375,668.8203125,705.78125,384.5234375,839.8046875,585.03125,0,0,403.5703125
1788,364.09375,396.140625,426.6015625,497.8125,199.796875,439.4609375,448.1484375,0,0,290.9453125
1789,473.03125,502.2109375,429.5234375,785.078125,267.4453125,547.6484375,648.4140625,0,0,329.1640625
1790,771.2578125,439.5703125,519.8515625,699.703125,0,686.15625,793.9296875,0,0,426.5390625
1791,289.375,245.2890625,335.53125,438.078125,0,365.7265625,775.6171875,0,0,251.125
1792,404.609375,228.890625,412.4375,506.7578125,0,387.9921875,665.53125,0,939.03125,221.0625
1793,689.21875,481.140625,694.5703125,739.078125,0,826.578125,866.796875,0,688.8828125,316.984375
1794,1213.84375,702.2578125,1137.4296875,1070.5234375,1056.1640625,1062.4296875,784.421875,0,725.765625,606.6796875
1795,553.6328125,409.40625,455.734375,557.796875,308.5859375,195.8046875,489.875,0,357.484375,233.4140625
1796,688.5859375,369.0078125,534.6484375,840.65625,322.2265625,556.046875,513.984375,0,505.09375,283.7890625
1797,555.15625,374.890625,486.3125,727.7890625,271.8984375,441.9375,497.1953125,0,415.171875,318.1875
1798,183.9140625,159.3203125,198.765625,478.2421875,154.6875,91.9453125,226.609375,0,174.09375,142.765625
1799,311.4375,291.0625,330.09375,457.1484375,190.4296875,313.375,441.703125,0,216.5859375,261.6015625
1800,153.796875,274.6953125,214.421875,395.8046875,82.7265625,85.3046875,182.5625,0,167.6953125,184.78125
1801,505,500.390625,422.9296875,603.7109375,391.171875,585.171875,589.875,0,281.5703125,310.3203125
1802,575.2109375,450.1640625,633.7734375,666.3828125,404.9140625,516.359375,642.5234375,0,482.71875,378.78125
1803,598.96875,515.8203125,353.7109375,548.5703125,312.5625,573.328125,685.3203125,0,496.9453125,314.2734375
1804,526.8203125,385.4375,385.5546875,419.8203125,261.40625,504.359375,506.2890625,0,278.0625,365.9921875
1805,782.546875,429.1953125,571.0703125,643.421875,350.6640625,26.9140625,559.5390625,0,390.828125,437.1953125
1806,1267.03125,513.1953125,731.46875,767.9453125,509.484375,542.3125,761.1015625,0,476.59375,525.171875
1807,243.453125,91.046875,92.5703125,280.6484375,184.375,9.2890625,268.875,0,217.0390625,168.7890625
1808,511.2265625,387.3828125,502.703125,601.328125,340.3828125,611.2421875,563.421875,0,457.0703125,313.828125
1809,453.890625,368.375,340.3046875,480.53125,369.0625,20.3203125,469.53125,0,370.3984375,258.5859375
1810,261.375,206.703125,346.75,369.390625,352.5703125,105.203125,484.625,0,511,181.3046875
1811,322.7734375,272.796875,240.9375,591.8984375,227.6328125,515.8203125,345.6796875,0,282.1796875,183.03125
1812,54.8515625,65.1171875,78.453125,467.4765625,57.9453125,28.3203125,157.296875,0,102.0703125,66.234375
1813,186.984375,143.953125,78.0703125,442.953125,97.65625,321.78125,234.3828125,0,175.0703125,97.7109375
1814,272.1171875,204.2265625,199.2734375,586.578125,164.5078125,388.6171875,366.359375,0,184.015625,159.1171875
1815,166.46875,140.0859375,114.0859375,395.7578125,125.546875,203.7421875,236.375,0,84.4453125,171.0078125
1816,204.78125,226.65625,143.1796875,477.4140625,120.765625,257.7265625,312.2421875,0,232.046875,310.0703125
1817,333.359375,305.8359375,223.265625,664.0859375,163.8515625,143.6796875,354.3984375,0,544.515625,225.0234375
1818,759.109375,357.671875,306.953125,519.2734375,182.1171875,122.875,459.4921875,0,724.296875,256.890625
1819,236.40625,252.8125,223.203125,390.03125,46.8515625,175.0390625,237.9296875,0,200.9765625,95.09375
