year,CWAKHA_03_,CWAKHA_06_,CWAKHA_09_,CWAKHA_12_,CWAKHA_14_,CWAKHA_15_,CWAKHA_16_,CWAKHA_17_,CWAKHA_19_,CWAKHA_20_
1834,358.7257080078125,303.48687744140625,392.80694580078125,322.31329345703125,459.4940185546875,-999,-999,155.09535217285156,309.2794494628906,354.1264953613281
1835,369.53729248046875,354.3104248046875,452.9482727050781,321.9765930175781,420.85614013671875,386.0354919433594,-999,154.4849853515625,312.6397399902344,401.6132507324219
1836,365.77008056640625,332.56304931640625,409.0367126464844,359.9098815917969,432.69830322265625,-999,-999,168.98373413085938,352.87725830078125,378.3129577636719
1837,258.1736755371094,237.9991912841797,273.11517333984375,222.65725708007812,287.46734619140625,-999,-999,158.4367218017578,269.14080810546875,257.21453857421875
1838,243.26809692382812,223.1700439453125,306.423583984375,233.7581024169922,399.6632385253906,-999,-999,156.89964294433594,314.66339111328125,298.9435119628906
1839,312.7820129394531,283.60028076171875,395.3761901855469,262.9810485839844,337.58807373046875,-999,-999,201.23744201660156,328.33575439453125,383.1990661621094
1840,402.18865966796875,321.30133056640625,389.54931640625,297.4183349609375,442.41864013671875,-999,-999,145.2915496826172,387.2259826660156,347.9959411621094
1841,475.6802062988281,310.4103088378906,373.8836669921875,338.6799011230469,368.2289123535156,-999,-999,207.35598754882812,-999,375.8683166503906
1842,401.0379943847656,289.6521301269531,442.87548828125,384.0820617675781,468.51312255859375,-999,-999,212.62852478027344,-999,412.9909973144531
1843,399.7343444824219,245.6053009033203,381.40533447265625,287.9609375,434.2330627441406,-999,-999,227.22889709472656,-999,335.0007019042969
1844,315.6924133300781,278.5381164550781,410.7079162597656,259.38153076171875,396.4647521972656,-999,429.4417419433594,248.2300262451172,-999,279.0173645019531
1845,352.9503173828125,260.3824462890625,380.9965515136719,256.6990661621094,399.3179626464844,-999,297.96533203125,254.64028930664062,-999,282.89288330078125
1846,408.4114990234375,325.1678771972656,451.50994873046875,336.0106506347656,438.7805480957031,-999,-999,285.9415283203125,-999,360.9166564941406
1847,274.1602478027344,229.1034698486328,292.78570556640625,210.23924255371094,398.68402099609375,-999,-999,223.1963348388672,-999,313.1960754394531
1848,340.35455322265625,260.7421875,349.63214111328125,253.00172424316406,384.1065368652344,0,-999,209.88751220703125,-999,353.04925537109375
1849,221.5224609375,182.65113830566406,-999,373.85040283203125,504.3326110839844,228.43043518066406,-999,153.0185546875,-999,294.79095458984375
1850,313.5578918457031,259.70611572265625,389.2215270996094,361.7961120605469,428.215576171875,413.49505615234375,586.9645385742188,176.53855895996094,-999,291.26922607421875
1851,285.3973388671875,228.10548400878906,384.46783447265625,354.61468505859375,338.6502685546875,238.9629364013672,-999,160.13650512695312,-999,283.91943359375
1852,448.28045654296875,328.9076843261719,440.579833984375,375.97174072265625,436.7450866699219,418.9244689941406,334.73114013671875,237.05250549316406,-999,411.1553649902344
1853,418.69158935546875,348.6583251953125,375.1972961425781,264.8729248046875,482.57928466796875,466.43463134765625,443.1385498046875,202.05186462402344,-999,372.0796203613281
1854,344.8104553222656,384.8475646972656,457.0245361328125,317.4168395996094,357.4571228027344,431.9336853027344,324.2901306152344,211.60707092285156,-999,307.48883056640625
1855,312.4428405761719,392.8797607421875,428.5486755371094,361.9749755859375,416.2090148925781,440.3305358886719,365.31060791015625,212.94654846191406,449.1454772949219,317.5856628417969
1856,340.2200012207031,347.6408386230469,444.5414733886719,323.69842529296875,481.9832763671875,508.4660949707031,320.3662414550781,212.52369689941406,475.5790100097656,359.7352294921875
1857,384.0724792480469,372.1443176269531,468.0740051269531,339.697021484375,461.7828063964844,449.7560729980469,414.7158203125,215.92755126953125,-999,408.1573181152344
1858,379.13983154296875,307.0194091796875,467.1910095214844,379.0661926269531,503.0848693847656,448.27197265625,326.3144226074219,214.7970733642578,413.2569580078125,229.08985900878906
1859,375.5875549316406,376.51068115234375,424.3201599121094,432.67449951171875,407.3727722167969,393.79595947265625,399.0748596191406,245.85125732421875,458.6148681640625,252.1725616455078
1860,427.7640686035156,421.7929382324219,462.19390869140625,428.295166015625,411.13983154296875,485.67425537109375,444.7167053222656,269.8583984375,461.90924072265625,326.8654479980469
1861,389.84893798828125,405.0870361328125,444.96136474609375,428.2315368652344,478.44366455078125,470.32440185546875,286.9265441894531,227.88331604003906,460.8390197753906,451.2205505371094
1862,361.0336608886719,409.46075439453125,436.0531311035156,418.3203430175781,513.362548828125,433.1391906738281,397.6243591308594,254.51365661621094,500.4847412109375,334.6130676269531
1863,452.1849670410156,430.9271240234375,500.6661376953125,435.76702880859375,550.88330078125,550.3018188476562,483.90496826171875,288.9609680175781,541.3875122070312,-999
1864,392.3587951660156,416.79443359375,428.75262451171875,427.69964599609375,457.4071044921875,468.6720886230469,0,266.6452331542969,458.63555908203125,-999
1865,475.0413513183594,387.6584167480469,425.2683410644531,443.5265197753906,505.27288818359375,516.6824951171875,435.32586669921875,273.5390319824219,465.9993591308594,348.1585388183594
1866,301.7774658203125,253.7767791748047,372.0556945800781,347.0510559082031,378.4202575683594,344.3180847167969,385.75701904296875,239.2751922607422,314.75225830078125,389.4352111816406
1867,283.35980224609375,204.7539825439453,296.938720703125,336.8831787109375,366.6446228027344,299.3846435546875,324.4842224121094,227.7598419189453,288.1190185546875,167.2853240966797
1868,436.234619140625,338.7424621582031,430.4999084472656,393.7315673828125,460.1349182128906,430.1424560546875,412.8896179199219,268.07281494140625,406.99822998046875,374.45513916015625
1869,250.06744384765625,241.51361083984375,-999,245.5503692626953,288.2183837890625,0,348.3742370605469,177.9574432373047,231.29049682617188,201.3438262939453
1870,380.1963806152344,295.3077392578125,378.5881652832031,314.71685791015625,356.5845031738281,392.6753234863281,407.54168701171875,235.80296325683594,276.4955749511719,319.6773986816406
1871,441.47607421875,406.9363098144531,440.2295227050781,372.8656005859375,460.7343444824219,463.8832702636719,449.0160827636719,305.8098449707031,357.63916015625,323.49176025390625
1872,386.6324157714844,385.2782287597656,403.7218322753906,390.1596374511719,414.3998107910156,440.3623352050781,427.3034973144531,318.92266845703125,379.9241027832031,374.80279541015625
1873,310.4623718261719,282.0538635253906,420.0347595214844,374.11236572265625,378.2088928222656,340.6796875,399.5180969238281,278.8585510253906,343.8337097167969,258.2728576660156
1874,309.84857177734375,288.68902587890625,-999,431.01568603515625,342.8655090332031,353.77777099609375,377.95538330078125,266.5773010253906,257.0038757324219,402.52459716796875
1875,436.1220397949219,348.10394287109375,464.5594177246094,503.26312255859375,412.5028991699219,434.98095703125,463.9317932128906,297.18560791015625,451.50775146484375,362.69781494140625
1876,416.1339416503906,353.2755126953125,328.11236572265625,449.4503479003906,469.5526428222656,424.307861328125,422.15533447265625,321.8518981933594,359.8096618652344,438.246337890625
1877,468.72198486328125,401.6065673828125,426.11907958984375,536.882080078125,475.5660095214844,468.39776611328125,504.28851318359375,323.0875244140625,443.85833740234375,396.05950927734375
1878,456.60888671875,428.9067077636719,442.2881774902344,513.9945678710938,480.0418395996094,536.4273681640625,493.07879638671875,310.9404602050781,443.7420959472656,430.7718505859375
1879,560.4857177734375,401.0106506347656,482.59368896484375,469.5500793457031,483.7779235839844,507.92681884765625,521.7636108398438,314.9405822753906,482.5281677246094,454.1036376953125
1880,476.2141418457031,345.0595397949219,476.79949951171875,450.1008605957031,495.7641296386719,484.8273010253906,595.6148681640625,328.8750305175781,431.79901123046875,401.04144287109375
