year,MinRWKHA_03_,MinRWKHA_06_,MinRWKHA_09_,MinRWKHA_12_,MinRWKHA_14_,MinRWKHA_15_,MinRWKHA_16_,MinRWKHA_17_,MinRWKHA_19_,MinRWKHA_20_
1828,715.7265625,392.546875,276.65625,314.625,141.4453125,118.3984375,286.109375,0,402.2421875,288.65625
1829,296.6953125,301.4453125,166.015625,242.21875,59.6640625,183.8671875,229.171875,0,276.234375,163.578125
1830,137.9921875,29.546875,18.046875,30.21875,20.453125,-5.28125,53.8671875,0,97.6328125,75.59375
1831,368.234375,269.140625,135.0859375,273.8125,117.109375,92.375,239.4921875,0,345.71875,221.03125
1832,255.4921875,179.484375,102.2734375,217.5078125,59.7421875,212.8125,141.109375,0,208.1640625,147.96875
1833,66.1953125,94.625,-1.1953125,66.0625,18.109375,-7.1796875,41.7265625,0,103.765625,73.359375
1834,257.3203125,247.1875,226.53125,318.203125,205.1328125,55.8984375,188.1875,69.5,394.59375,236.9375
1835,315.6015625,391.9921875,424.9765625,318.6875,247.09375,149.890625,267.328125,94.0546875,629.484375,334.6328125
1836,229.828125,213.4921875,273.4921875,270.171875,99.0078125,192.65625,166.7265625,30.296875,384.5546875,162.21875
1837,92.8515625,51.2890625,30.890625,130.859375,22.0859375,85.7421875,41.8359375,-6.640625,58.1171875,39.34375
1838,126.4140625,83.484375,117.15625,89.03125,56.984375,87.375,79.6328125,22.375,222.390625,156.5
1839,202.96875,54.78125,140.1484375,199.359375,57.0234375,40.671875,103.7578125,252.921875,197.265625,127.7578125
1840,282.0078125,137.4765625,196.3828125,159.8125,74.03125,154.71875,302.7890625,149.1484375,473.015625,186.546875
1841,279.3515625,277.296875,254.6015625,248.0625,164.015625,154.71875,291.046875,195.015625,-31.3203125,274.7421875
1842,615.296875,213.0390625,287.7578125,357.4140625,173.2421875,261.2265625,384.6015625,140.09375,799.9375,291.328125
1843,487.28125,158.6796875,116.3125,189,104.75,37.5703125,244.9140625,328.0625,354.5390625,312.0703125
1844,158.234375,150.7109375,132.1484375,90.7265625,99.765625,73.3671875,131.078125,316.125,240.8125,104.75
1845,209.9453125,175.140625,186.953125,127.3671875,132.6875,49.4609375,196.1015625,368.8671875,355.953125,168.4296875
