year,MLAKHA_03_,MLAKHA_06_,MLAKHA_09_,MLAKHA_12_,MLAKHA_14_,MLAKHA_15_,MLAKHA_16_,MLAKHA_17_,MLAKHA_19_,MLAKHA_20_
1732,0,224.85733032226562,340.9356994628906,0,257.74267578125,339.128662109375,0,0,0,257.31298828125
1733,0,207.3290557861328,395.9303894042969,0,303.81097412109375,308.04888916015625,0,0,0,266.7519226074219
1734,0,206.0415496826172,355.0798034667969,0,257.9648132324219,244.98497009277344,0,0,0,179.44618225097656
1735,0,182.7159423828125,259.74066162109375,0,269.9813232421875,259.71417236328125,0,0,0,205.04100036621094
1736,0,226.83831787109375,423.959228515625,0,304.7987365722656,299.79248046875,0,0,0,246.95684814453125
1737,0,243.60508728027344,387.5146789550781,0,281.3000183105469,267.8289489746094,0,0,0,235.6350860595703
1738,0,224.4739227294922,313.11309814453125,0,257.2731018066406,329.6823425292969,0,0,0,204.78860473632812
1739,0,287.35699462890625,439.6312255859375,0,310.57244873046875,295.3123474121094,0,0,0,219.663330078125
1740,0,238.86666870117188,364.1716613769531,0,287.472900390625,308.7120056152344,0,0,0,219.88876342773438
1741,0,295.3553466796875,454.0485534667969,0,290.4960632324219,352.0696716308594,0,0,0,189.52345275878906
1742,0,171.37742614746094,317.9755554199219,0,93.8904037475586,208.34791564941406,0,0,0,200.26644897460938
1743,0,273.9362487792969,414.1554260253906,0,282.27655029296875,263.5957336425781,0,0,0,172.05154418945312
1744,0,190.44564819335938,310.9497375488281,0,303.1991882324219,215.35015869140625,134.33477783203125,0,0,137.60641479492188
1745,0,202.08035278320312,208.85032653808594,0,306.65130615234375,283.44818115234375,0,0,0,262.69952392578125
1746,257.70623779296875,328.4751281738281,304.00634765625,0,326.0952453613281,318.4183044433594,369.8409729003906,0,0,205.9974822998047
1747,297.8028564453125,218.40826416015625,301.2427673339844,0,363.56689453125,217.1029052734375,240.3202667236328,0,0,195.6859893798828
1748,277.81103515625,295.404541015625,200.46603393554688,0,341.8790588378906,435.6451721191406,323.7247009277344,0,0,214.4296875
1749,213.3602294921875,286.18707275390625,293.26837158203125,0,272.6239013671875,386.6684265136719,266.6050720214844,0,0,186.10646057128906
1750,273.076416015625,225.38803100585938,200.87060546875,0,330.8418884277344,333.2551574707031,219.87623596191406,0,0,162.9120330810547
1751,208.8065643310547,237.6522979736328,238.44725036621094,0,276.4037170410156,443.5491943359375,270.429443359375,0,0,193.16661071777344
1752,215.27310180664062,259.61279296875,345.42767333984375,0,350.845703125,345.7710266113281,270.8279113769531,0,0,157.8803253173828
1753,224.1043243408203,187.2305145263672,209.7455291748047,0,299.35546875,312.5942687988281,209.24415588378906,0,0,196.0826873779297
1754,252.24087524414062,297.5705261230469,228.5884246826172,0,310.537109375,545.5283203125,256.8860778808594,0,0,216.85415649414062
1755,228.38037109375,322.4006042480469,293.05908203125,0,260.45355224609375,525.5397338867188,260.6090087890625,0,0,197.02284240722656
1756,293.5845031738281,472.7076721191406,313.6048583984375,0,334.59173583984375,458.1109313964844,271.918701171875,0,0,212.6774444580078
1757,241.76467895507812,318.768310546875,298.03759765625,0,340.3400573730469,269.408447265625,187.5237274169922,0,0,146.8198699951172
1758,192.37326049804688,404.433349609375,296.2992858886719,0,286.8297424316406,324.5184020996094,227.15817260742188,0,0,171.81394958496094
1759,297.1969909667969,219.0935821533203,244.20721435546875,0,290.56658935546875,245.5748291015625,197.20506286621094,0,0,161.9330291748047
1760,287.9745178222656,230.5056915283203,124.97650146484375,0,88.07182312011719,227.42306518554688,249.25390625,0,0,170.9274444580078
1761,342.48370361328125,252.9013671875,222.17543029785156,91.46392059326172,233.0587158203125,353.5855712890625,270.39678955078125,0,0,156.65199279785156
1762,270.4404602050781,286.9767761230469,221.64785766601562,122.84043884277344,294.3390197753906,383.26123046875,285.171875,0,0,170.91307067871094
1763,230.0279083251953,232.07945251464844,224.88156127929688,140.99375915527344,358.3231506347656,388.5268249511719,263.7109069824219,0,0,113.8485107421875
1764,289.84375,288.672119140625,231.94012451171875,245.88916015625,329.4674072265625,480.3604736328125,302.3617858886719,0,0,218.0146484375
1765,337.8302307128906,280.8089294433594,340.4435729980469,243.6642303466797,392.293701171875,288.39337158203125,216.8465576171875,0,0,172.74493408203125
1766,181.51527404785156,299.9328918457031,237.5911865234375,154.98146057128906,329.72015380859375,388.0253601074219,224.31747436523438,0,0,152.92242431640625
1767,300.7215576171875,335.4689025878906,404.0686950683594,285.0627136230469,365.1499938964844,367.4385681152344,280.5552978515625,0,0,149.77423095703125
1768,248.61502075195312,304.38641357421875,302.79620361328125,264.25323486328125,338.2919006347656,300.9742736816406,301.9214782714844,0,0,189.17564392089844
1769,322.8055114746094,334.826171875,319.065185546875,282.7320556640625,344.6046142578125,351.55023193359375,224.1646270751953,0,0,203.6483612060547
1770,247.72958374023438,218.65872192382812,265.2350158691406,223.5714569091797,304.14508056640625,213.83338928222656,202.2152099609375,0,0,151.28907775878906
1771,258.8069763183594,286.5298156738281,261.9788818359375,241.58396911621094,268.366455078125,315.6437072753906,211.0772705078125,0,0,200.4033203125
1772,342.662109375,319.1055603027344,271.0713806152344,294.8468322753906,303.92510986328125,350.5625915527344,229.0605010986328,0,0,194.3011016845703
1773,369.428466796875,289.6659851074219,277.5125427246094,304.7212829589844,286.4612731933594,354.1644287109375,295.77960205078125,0,0,268.9078063964844
1774,332.4479675292969,372.37030029296875,415.6870422363281,272.44500732421875,365.17236328125,452.4035339355469,308.4754333496094,0,0,212.08021545410156
1775,274.74688720703125,357.35235595703125,330.5333251953125,264.67962646484375,343.39642333984375,339.9115295410156,212.01431274414062,0,0,146.8703155517578
1776,297.2384033203125,311.82464599609375,265.2439270019531,258.9186096191406,307.9856262207031,258.5135192871094,226.98297119140625,0,0,134.94557189941406
1777,331.4786376953125,343.25677490234375,341.5447692871094,318.1825256347656,318.58526611328125,323.9103088378906,230.85458374023438,0,0,143.50672912597656
1778,352.6806945800781,345.419189453125,315.3827819824219,288.0751953125,312.7821044921875,275.2790222167969,208.7246856689453,0,0,165.30563354492188
1779,413.5604248046875,382.0102233886719,416.1310729980469,308.4124755859375,409.2541809082031,195.9807891845703,278.0220642089844,0,0,229.81336975097656
1780,350.5165710449219,388.615478515625,350.2315673828125,303.986328125,352.5778503417969,337.633056640625,272.7034912109375,0,0,236.24668884277344
1781,416.529541015625,356.4781188964844,346.1870422363281,307.3941955566406,326.2819519042969,322.9075622558594,267.3460388183594,0,0,304.9293518066406
1782,320.80609130859375,375.31121826171875,356.4479064941406,270.55133056640625,321.3818054199219,362.1296081542969,241.36924743652344,0,0,318.0733642578125
1783,384.5144348144531,415.13861083984375,490.74066162109375,368.8530578613281,392.43096923828125,478.414306640625,336.8667297363281,0,0,363.3056335449219
1784,330.7525939941406,404.9204406738281,371.5142822265625,310.1737976074219,421.1080627441406,302.958984375,214.7800750732422,0,0,241.80311584472656
1785,228.81927490234375,406.259033203125,322.6595153808594,301.1377868652344,399.7120361328125,342.7432861328125,218.99154663085938,0,0,251.22438049316406
1786,263.1512756347656,262.6302185058594,273.82769775390625,349.8995361328125,332.7774963378906,347.2505798339844,227.30650329589844,0,0,256.88885498046875
1787,329.9593811035156,408.1392822265625,595.1948852539062,380.9158020019531,408.62982177734375,465.02740478515625,298.52972412109375,0,0,332.7566223144531
1788,300.60198974609375,383.09442138671875,540.2150268554688,355.03204345703125,372.0767822265625,487.7793884277344,325.3835754394531,0,0,372.31158447265625
1789,280.5163879394531,367.5750732421875,537.6102294921875,352.318359375,417.2576904296875,371.12322998046875,247.31378173828125,0,0,306.0352783203125
1790,299.5535888671875,323.1540222167969,548.2857666015625,327.222412109375,0,318.0877380371094,281.13653564453125,0,0,259.7283020019531
1791,239.2073516845703,258.16265869140625,427.7703857421875,247.80441284179688,0,191.68492126464844,214.12916564941406,0,0,194.2222900390625
