year,RAKHA_03_,RAKHA_06_,RAKHA_09_,RAKHA_12_,RAKHA_14_,RAKHA_15_,RAKHA_16_,RAKHA_17_,RAKHA_19_,RAKHA_20_
1837,0.4091221955476527,0.2767949970486967,0.23654405948651913,0.5873709662600248,0.15535926639037712,0.38266820117274847,0.20761403836796433,0.21450662403248089,0.43746677148426727,0.22447598734937912
1838,0.5117059487017883,0.40841343948724784,0.47553306870926804,0.41853621629005033,0.342009260214013,0.44203884614377387,0.33595591033275696,0.8253382895956634,0.9096357027109718,0.659937687753839
1839,0.8090843809584953,0.6670223123738879,0.5698410690858111,0.8137298570302818,0.31101995132006266,0.20007333957065043,0.43906085545638973,1.0395041729310464,1.0072136126491102,0.5465324880883315
1840,1.0877042087181366,1.0287293484551157,0.7697296962242604,0.6566472734274242,0.4389976729498244,0.6229807761128257,1.1802355593460305,1.0170389671907856,1.7638106690998114,0.7608561191502616
1841,1.095463752189218,1.3214746109495081,0.9588914329339389,0.9893435932523715,0.6995313630082052,0.6700372294472743,1.1476753655116596,0.7445071309047506,4.032628244111322,1.165697641901815
1842,2.3598666538646142,0.9149022063713232,1.1140152243905561,1.3857683022214928,0.7128554083647316,1.002371546277999,1.4152998538406933,0.9436669975411434,2.9908745973904587,1.1706862849646171
1843,1.984356681778479,0.7043783993599959,0.5308738825582395,0.8505478057998914,0.45694308964571917,0.1708489160546094,0.9555204069990424,1.47116204213647,1.4416980068515812,1.337214830542166
1844,0.6762660971561445,0.5776678374897699,0.5578139169254683,0.5499558524565913,0.4433996506343334,0.3237005640919506,0.5549569925223068,1.6671237499405152,0.9733517123112563,0.5382795109025693
1845,0.9744191230940942,0.7180541628887624,0.7381523467397528,0.6045450388460978,0.5647450135652008,0.24087246230673998,0.7489472626482012,1.7567097438479067,1.4666882002767494,0.6943262250285613
1846,1.17583521477178,0.8034466587770339,0.9733687828877748,0.8011780227527225,0.5749926442818918,0.6290158510775683,0.9650601367019362,2.0120736844030915,1.6784762107079132,0.8358023538520456
1847,0.9763844834518096,0.3410632717242663,0.3497600219246948,0.5042124817654781,0.2802740947044384,0.3596949186253937,0.4632404632437641,1.0006055012812993,0.7152285111977079,0.8657468055262996
1848,0.8251664290059466,0.7444059894848039,0.4275194162654685,0.8143256153311,0.38874020079454397,0,0.6534369640423847,1.4155821502576913,1.242969020982315,0.9382631804673309
