year,DhKHA_03_,DhKHA_06_,DhKHA_09_,DhKHA_12_,DhKHA_14_,DhKHA_15_,DhKHA_16_,DhKHA_17_,DhKHA_19_,DhKHA_20_
1809,26.22817039489746,32.27526092529297,30.087160110473633,32.82241439819336,26.917116165161133,31.308732986450195,0,0,24.65621566772461,25.782333374023438
1810,26.199281692504883,27.75530433654785,28.90395164489746,30.815448760986328,24.60988426208496,29.024459838867188,0,0,21.3673152923584,25.623748779296875
1811,29.621129989624023,33.79179000854492,32.078575134277344,28.615684509277344,25.815465927124023,32.89895248413086,16.93512725830078,0,22.89254379272461,27.35862159729004
1812,24.546646118164062,29.145082473754883,24.532869338989258,29.181779861450195,24.021635055541992,8.180488586425781,28.897218704223633,0,23.851478576660156,23.74117660522461
1813,27.50507164001465,33.971534729003906,25.805404663085938,28.028921127319336,25.499860763549805,29.795150756835938,30.28407096862793,0,25.114206314086914,27.472280502319336
1814,30.03746223449707,33.008323669433594,30.88326644897461,28.746076583862305,26.98001480102539,27.77606964111328,29.26583480834961,0,24.100841522216797,27.957582473754883
1815,29.542316436767578,32.74049758911133,29.255117416381836,27.832204818725586,26.902597427368164,30.26563835144043,27.912675857543945,0,24.265853881835938,27.869895935058594
1816,29.55599594116211,34.137794494628906,29.93667221069336,26.52235984802246,24.598066329956055,29.290409088134766,29.836009979248047,0,23.67108154296875,27.833532333374023
1817,27.463905334472656,33.066837310791016,31.230276107788086,24.7569580078125,26.169422149658203,28.162813186645508,25.13814926147461,0,22.151809692382812,26.60086441040039
1818,28.347463607788086,32.99071502685547,31.547163009643555,30.537527084350586,26.866239547729492,27.42947769165039,29.206687927246094,0,23.18509292602539,27.213096618652344
1819,31.028301239013672,31.541427612304688,31.135866165161133,33.728973388671875,18.492645263671875,29.290428161621094,27.175527572631836,0,22.17905044555664,21.74163055419922
1820,29.708784103393555,32.14503860473633,30.092361450195312,29.368982315063477,21.475536346435547,19.062204360961914,30.215038299560547,0,24.254444122314453,27.7926025390625
1821,27.711246490478516,31.977209091186523,31.778242111206055,33.06890106201172,25.796720504760742,32.300575256347656,30.164413452148438,0,23.52577018737793,26.495595932006836
1822,29.02732276916504,32.889404296875,31.19231414794922,32.0848388671875,25.993640899658203,31.54113006591797,28.914142608642578,0,22.1081600189209,28.44554901123047
1823,31.56034278869629,32.22798156738281,29.926876068115234,30.72718620300293,19.044082641601562,24.076839447021484,28.271015167236328,0,22.767444610595703,26.587215423583984
1824,31.653017044067383,31.235124588012695,31.78950309753418,28.881004333496094,23.097063064575195,18.048736572265625,27.259782791137695,0,23.19443702697754,28.478076934814453
1825,20.214561462402344,29.19203758239746,0,27.781532287597656,22.961687088012695,21.06892967224121,23.253114700317383,0,21.545452117919922,15.069014549255371
1826,30.302974700927734,33.149391174316406,29.03144645690918,31.17376708984375,22.81903076171875,19.740711212158203,29.292085647583008,0,24.60658836364746,27.190954208374023
1827,30.15717315673828,32.27222442626953,32.1593132019043,30.907272338867188,25.646297454833984,25.57640838623047,28.131458282470703,0,21.581958770751953,28.564905166625977
1828,31.597776412963867,31.947206497192383,33.45258712768555,32.6751594543457,27.417861938476562,31.75377655029297,32.158992767333984,0,24.461172103881836,27.51036262512207
1829,27.860584259033203,32.09672164916992,30.275907516479492,30.924781799316406,26.112960815429688,32.57047653198242,30.9520263671875,0,25.690523147583008,26.880794525146484
