year,MRadDistKHA_03_,MRadDistKHA_06_,MRadDistKHA_09_,MRadDistKHA_12_,MRadDistKHA_14_,MRadDistKHA_15_,MRadDistKHA_16_,MRadDistKHA_17_,MRadDistKHA_19_,MRadDistKHA_20_
1814,7197.25,7744.6484375,7584.5234375,2551.3046875,5590.1328125,9702,8997.5546875,0,1010.3515625,5078.359375
1815,7343.140625,7867.671875,7673.046875,1138.359375,5683.7734375,9865.9296875,9207.5,0,7406.328125,5229.640625
1816,7525.734375,8078.25,7785.828125,1589.1484375,5776.671875,10100.765625,9488.375,0,1260.9296875,5437.34375
1817,7803.9609375,8368.3515625,7984.4140625,2197.1171875,5909.6953125,10211.484375,9788.5625,0,1658.5546875,5642.609375
1818,8334.453125,8699.078125,8231.0234375,2654.6328125,6053.3828125,10309.5859375,10145.0546875,0,2263.3984375,5876.6328125
1819,8546.2421875,8929.21875,8390.2578125,5054.46875,6080.1015625,10460.8671875,10346.9296875,0,2423.046875,5934.7890625
1820,8744.5546875,9100.859375,8508.9140625,5247.6484375,6112.2109375,10491.59375,10553.5625,0,2554.359375,6061.7421875
1821,9112.7734375,9426.4765625,8795.1328125,5671.109375,6231.1640625,10753.2890625,11002.234375,0,2932.6328125,6254.3203125
1822,9622.2109375,9829.4296875,9040.59375,6132.921875,6337.6953125,10946.875,11448.9921875,0,3416.359375,6541.1640625
1823,9833.03125,10083.4375,9160.7109375,6453,6377.6640625,10983.734375,11633.8984375,0,3724.0078125,6689.65625
1824,10072.265625,10308.4453125,9328.0234375,6912.296875,6425.0546875,11012.9375,11804.984375,0,4058.40625,6903.9140625
1825,10099.0234375,10353.78125,9328.0234375,7266.09375,6438.1796875,11016.765625,11825.453125,0,4127.71875,6919.3984375
1826,10244.8359375,10570.296875,9428.0859375,4052.328125,6479.1171875,11053.40625,11944.3828125,0,4335.78125,7063.84375
1827,10536.703125,10796.015625,9582.046875,4231.3984375,6557.9296875,11091.734375,12119.015625,0,4459.265625,7229.96875
1828,779.2421875,833.2578125,9912.34375,4584.8125,6728.359375,11249.4765625,12441.34375,0,4929.921875,7542.6171875
1829,1194.6171875,1161.453125,10101.671875,4849.4921875,6810.8984375,11463.859375,12723.0390625,0,5257.6640625,7727.390625
1830,1404.65625,1216.1171875,10139.2578125,4904.0078125,6855.4453125,11467.859375,12792.3359375,0,5396.234375,7824.09375
1831,1829.8515625,1513.0546875,10298.984375,5202.84375,7005.703125,11572.09375,1469.0625,0,5773.0625,8064.3828125
1832,2120.9140625,1718.125,10437.3203125,5449,7090.8125,11813.921875,1634.8046875,0,6001.7578125,8237.1015625
1833,2212.421875,1848.59375,10459.0703125,5556.1640625,7124.546875,11816.8203125,1691.78125,0,6126.3359375,8331.625
1834,2505.875,2127.296875,10724.0859375,5896.671875,7356.5703125,11890.46875,1896.71875,103.8203125,6576.6640625,8595.5390625
1835,2877.890625,2552.8671875,11180.8359375,6244.4921875,7647.8046875,12071.546875,2195.1171875,270.9140625,7263.203125,8949.9296875
1836,3130.21875,2783.0078125,11484.84375,6558.7265625,7792.6484375,12281.109375,2380.40625,378.2734375,7685.84375,9132.3515625
1837,3245.9296875,2861.5390625,604.4921875,6723.515625,7836.2578125,12389.9765625,2439,439.125,7807.2265625,9195.671875
1838,3390.78125,2976.90625,738.8515625,6841.625,7933.59375,12513.609375,2533.9921875,671.546875,8068.7578125,9381.2734375
1839,3619.1953125,3166.296875,900.0078125,7071.65625,8021.578125,12570.6640625,2658.1875,965.109375,8350.7578125,9535.25
1840,3927.65625,3458.4453125,1117.6015625,7258.4375,8144.3046875,12747.484375,2991.2890625,1253.1796875,8849.5390625,9751.6796875
1841,4238.2265625,3828.9453125,1388.90625,7538.1796875,8340.40625,12936.9921875,3315.8515625,1463.5859375,1150.6015625,10082.5
