year,CNoKHA_03_,CNoKHA_06_,CNoKHA_09_,CNoKHA_12_,CNoKHA_14_,CNoKHA_15_,CNoKHA_16_,CNoKHA_17_,CNoKHA_19_,CNoKHA_20_
1964,365,412,254,757,542,0,832,1626,809,483
1965,304,303,165,383,362,0,389,1295,739,333
1966,432,426,279,491,569,0,749,1339,934,542
1967,460,450,343,503,566,0,1197,1673,1302,560
1968,372,257,243,271,352,0,785,1045,749,354
1969,430,268,302,256,437,0,982,1209,1408,492
1970,451,217,426,323,895,0,1211,1615,1255,549
1971,217,91,206,128,343,0,434,888,433,228
1972,385,83,190,36,360,0,696,1409,971,313
1973,300,220,245,290,213,0,529,573,719,201
1974,209,199,238,228,30,0,30,457,272,167
1975,281,351,244,362,362,0,585,801,508,291
1976,371,300,271,297,443,0,694,1146,632,359
1977,256,182,216,127,138,0,349,706,375,192
1978,325,270,250,329,366,0,503,926,501,336
1979,428,306,352,330,472,0,861,1373,890,499
1980,265,66,270,90,112,0,41,287,290,286
1981,338,349,230,341,334,0,556,623,437,394
1982,374,292,288,225,368,0,592,957,528,418
1983,334,315,325,236,305,0,360,981,425,405
1984,614,511,481,302,416,0,644,1758,987,459
1985,296,193,132,134,181,0,178,754,184,215
1986,404,383,447,350,365,0,527,1101,442,452
1987,523,387,427,170,330,0,257,928,467,509
1988,470,418,321,300,341,0,508,1262,522,500
1989,223,102,98,146,12,0,11,339,329,166
1990,566,566,456,403,418,0,651,1329,567,710
1991,616,543,525,381,414,0,753,1507,1124,593
1992,409,368,370,267,282,0,353,1134,810,496
1993,276,311,320,152,184,0,418,885,682,272
1994,594,551,480,341,378,0,819,1361,685,578
1995,357,396,298,167,228,0,360,995,332,380
1996,495,517,298,292,264,0,531,1446,398,482
1997,374,501,279,210,163,0,487,1370,538,453
1998,411,425,439,315,293,0,483,861,468,409
1999,321,200,264,142,163,0,4,408,268,324
2000,346,214,213,162,251,0,286,387,224,303
2001,388,419,289,368,283,0,600,659,435,550
2002,435,397,268,241,299,0,530,1139,386,491
2003,421,349,264,230,295,0,402,807,530,469
2004,565,355,358,260,310,0,298,902,549,485
2005,282,230,362,221,184,0,287,548,473,394
2006,352,255,269,308,146,0,373,535,325,443
2007,359,375,298,263,97,0,287,700,295,499
2008,358,351,246,285,156,0,371,734,256,358
2009,401,382,387,303,196,0,367,753,446,475
2010,365,299,252,217,129,0,389,529,347,299
2011,311,241,238,235,105,0,155,510,265,203
2012,552,503,446,320,213,0,501,783,658,503
2013,419,435,435,269,137,0,415,583,455,375
2014,490,383,392,251,144,0,338,598,482,382
2015,336,301,3792,188,111,4755,287,372,384,298
2016,349,356,446,190,105,0,268,509,486,414
2017,305,223,373,204,57,0,107,401,440,291
2018,427,433,636,298,113,0,578,751,663,401
2019,416,379,522,307,109,0,375,974,695,404
2020,288,359,361,228,75,0,164,587,590,279
2021,440,289,602,234,98,0,285,699,495,355
2022,392,217,323,221,58,0,161,576,466,325
2023,0,44,0,0,0,0,0,415
