year,MRWKHA_03_,MRWKHA_06_,MRWKHA_09_,MRWKHA_12_,MRWKHA_14_,MRWKHA_15_,MRWKHA_16_,MRWKHA_17_,MRWKHA_19_,MRWKHA_20_
1823,209.05372619628906,254.55889892578125,121.9089584350586,321.5215759277344,39.29292297363281,35.9747428894043,183.26815795898438,0,307.2401428222656,148.7328643798828
1824,237.57562255859375,224.88841247558594,166.93638610839844,462.2650451660156,47.76490020751953,29.29178810119629,172.59005737304688,0,334.3156433105469,213.6955108642578
1825,25.9190673828125,43.07611083984375,-0.003037751419469714,352.740966796875,12.331907272338867,4.349764823913574,18.92888069152832,0,69.73406982421875,15.332464218139648
1826,145.93914794921875,215.0060272216797,100.6477279663086,159.40496826171875,40.72602844238281,37.29499053955078,120.96068572998047,0,207.5438690185547,144.3621826171875
1827,293.3363952636719,223.97154235839844,153.69485473632812,177.80221557617188,79.00634002685547,39.44465637207031,177.1217803955078,0,124.10739135742188,165.16751098632812
1828,779.2421875,420.833251953125,328.1860656738281,352.9530334472656,170.11752319335938,154.36021423339844,314.13385009765625,0,470.4997863769531,312.3581848144531
1829,417.150390625,326.9024658203125,189.31964111328125,263.7622985839844,83.17655944824219,211.63485717773438,270.0645446777344,0,326.3543395996094,183.1486053466797
1830,210.41619873046875,54.548587799072266,37.589080810546875,53.773658752441406,45.1715087890625,3.5629074573516846,67.6599349975586,0,137.33090209960938,96.48213958740234
1831,423.56646728515625,296.2184143066406,158.93185424804688,298.6542663574219,151.38662719726562,102.2334976196289,257.1597595214844,0,374.9997863769531,240.42959594726562
1832,291.1693115234375,204.06048583984375,137.74505615234375,245.76031494140625,85.29193878173828,242.9049072265625,163.1243438720703,0,227.0534210205078,174.15591430664062
1833,90.92787170410156,129.9323272705078,22.097021102905273,106.19927215576172,34.9745979309082,2.451215982437134,55.99844741821289,0,124.09342956542969,95.25411224365234
1834,293.1078186035156,277.70526123046875,263.77386474609375,340.3686218261719,230.95748901367188,73.91024017333984,202.382080078125,103.8203125,445.61065673828125,263.7358703613281
1835,370.1656494140625,424.27215576171875,454.65869140625,345.8385925292969,290.0726623535156,180.0723876953125,294.4953308105469,166.2974395751953,684.8262939453125,353.8887023925781
1836,250.36688232421875,229.29222106933594,305.8526611328125,313.0785217285156,145.54620361328125,208.61924743652344,183.26358032226562,105.72883605957031,419.0074157714844,182.25625610351562
1837,114.52950286865234,78.08743286132812,66.78868103027344,166.08901977539062,43.72391891479492,107.4320297241211,58.368961334228516,59.837398529052734,123.30978393554688,63.388641357421875
1838,143.6184844970703,115.11105346679688,134.5794219970703,118.03936004638672,96.59790802001953,124.7344741821289,94.03040313720703,232.20643615722656,256.8385009765625,185.87811279296875
1839,226.74705505371094,188.0223388671875,160.98538208007812,229.6195831298828,87.6037826538086,56.292564392089844,123.13502502441406,289.7156066894531,284.0638732910156,154.11766052246094
1840,305.2638244628906,289.98583984375,217.41519165039062,185.13111877441406,124.01960754394531,175.43780517578125,331.03265380859375,287.2863464355469,498.35711669921875,214.12583923339844
1841,307.65582275390625,373.9669494628906,270.9232482910156,279.5343933105469,196.8470458984375,189.15823364257812,321.9991149902344,210.13623046875,1150.6015625,328.24871826171875
1842,663.7509765625,257.8023376464844,314.7120056152344,392.10894775390625,200.42977905273438,282.7123718261719,397.69189453125,264.03753662109375,717.9685668945312,330.6185607910156
1843,559.0739135742188,198.45066833496094,149.85043334960938,240.3963165283203,128.2788543701172,48.11094665527344,268.6601867675781,411.61590576171875,348.4643249511719,376.937255859375
1844,190.74169921875,162.92550659179688,157.45127868652344,155.20730590820312,124.3385238647461,91.35723114013672,155.84133911132812,463.9591369628906,234.11441040039062,150.93856811523438
1845,274.6752014160156,202.34591674804688,208.6204833984375,170.9434356689453,158.82830810546875,67.7379379272461,210.14593505859375,483.7599182128906,352.4563293457031,195.78993225097656
1846,332.687255859375,226.70228576660156,274.84942626953125,226.11495971679688,161.4755859375,177.3189239501953,271.9372253417969,540.2290649414062,407.55194091796875,235.80625915527344
1847,276.35760498046875,96.11077117919922,98.41979217529297,142.59642028808594,78.75764465332031,101.56476593017578,130.36936950683594,263.6498718261719,175.01776123046875,243.3931427001953
1848,232.76181030273438,210.2863006591797,120.3877944946289,230.11669921875,109.47781372070312,0,184.00094604492188,374.4111328125,304.3552551269531,264.469482421875
1849,147.18455505371094,67.30266571044922,1.927798867225647,325.6700439453125,35.85597610473633,292.5234375,31.93824005126953,203.80520629882812,47.970821380615234,94.05852508544922
1850,357.1791687011719,298.7896728515625,209.18490600585938,368.61474609375,148.58920288085938,228.5336151123047,292.3992004394531,251.33425903320312,321.0887756347656,233.53358459472656
1851,182.0804443359375,162.27926635742188,158.76632690429688,304.210205078125,66.27362060546875,73.99967956542969,271.8359069824219,140.8396759033203,137.40484619140625,159.58514404296875
1852,403.3555603027344,323.8506774902344,417.26019287109375,555.25732421875,307.162841796875,535.11572265625,625.9274291992188,435.7217712402344,719.5247802734375,435.6874694824219
1853,351.1228942871094,297.75384521484375,198.28976440429688,270.9829406738281,346.10406494140625,344.10205078125,372.8762512207031,468.5650329589844,421.49774169921875,235.033203125
1854,562.29248046875,362.20684814453125,260.2432861328125,449.3387756347656,599.0093383789062,384.1522521972656,408.4054260253906,913.4027099609375,640.8042602539062,370.9987487792969
1855,899.2603149414062,377.4587097167969,335.35626220703125,350.50201416015625,473.37554931640625,346.35821533203125,370.91650390625,777.5220336914062,651.232177734375,296.8109130859375
1856,540.5662841796875,369.44952392578125,188.75416564941406,404.35821533203125,481.93597412109375,463.4718933105469,406.888427734375,665.3876342773438,758.6668701171875,307.91534423828125
1857,792.0440063476562,445.8620910644531,462.8448791503906,717.372314453125,692.2578735351562,434.5649719238281,474.52392578125,656.0925903320312,899.658935546875,460.32879638671875
1858,412.7109680175781,367.57672119140625,280.526123046875,682.4046020507812,382.8287048339844,362.7695617675781,469.8451843261719,539.3294067382812,278.5625,400.73760986328125
1859,289.9312744140625,226.53057861328125,217.3375244140625,593.4263305664062,439.0826416015625,159.43666076660156,498.1329040527344,440.3984375,482.18359375,370.3931884765625
