year,MinLAKHA_03_,MinLAKHA_06_,MinLAKHA_09_,MinLAKHA_12_,MinLAKHA_14_,MinLAKHA_15_,MinLAKHA_16_,MinLAKHA_17_,MinLAKHA_19_,MinLAKHA_20_
1756,40.05078125,20.68461036682129,6.301009654998779,0,40.01890563964844,5.1791534423828125,40.01335906982422,0,0,6.642551422119141
1757,40.01305389404297,15.53264045715332,6.723672389984131,0,40.09977340698242,40.02668380737305,40.00154495239258,0,0,6.235584259033203
1758,40.054439544677734,19.30686378479004,6.162524223327637,0,40.01888656616211,40.02079772949219,40.11109924316406,0,0,6.886811256408691
1759,40.076236724853516,14.52253532409668,6.935277462005615,0,40.115196228027344,40.22254943847656,40.00289535522461,0,0,7.0818634033203125
1760,40.800411224365234,14.68532657623291,17.007583618164062,0,41.17264175415039,40.197879791259766,40.05242919921875,0,0,16.33025550842285
1761,40.27864074707031,14.002043724060059,6.175093650817871,40.002418518066406,40.2403678894043,40.31180191040039,40.0155143737793,0,0,6.552703857421875
1762,40.0460090637207,14.017715454101562,14.360629081726074,40.01915740966797,40.137447357177734,40.01808547973633,40.002784729003906,0,0,7.424129009246826
1763,40.03221893310547,14.29468059539795,9.442889213562012,40.00307083129883,41.760807037353516,40.09893798828125,40.069862365722656,0,0,7.017126083374023
1764,40.281776428222656,14.620495796203613,16.422046661376953,40.00238037109375,40.19503402709961,40.540306091308594,40.247379302978516,0,0,7.725342273712158
1765,40.035057067871094,14.21355152130127,13.57968807220459,40.01820373535156,40.216941833496094,40.2790641784668,40.03583526611328,0,0,6.620615482330322
1766,40.10670471191406,14.416582107543945,40.06755065917969,40.002193450927734,40.05058670043945,40.09157943725586,40.00346755981445,0,0,6.739818096160889
1767,40.02667236328125,14.354825019836426,40.15684509277344,40.099945068359375,40.18172836303711,40.29563522338867,40.019832611083984,0,0,6.7321672439575195
1768,40.1768684387207,15.542892456054688,40.05179977416992,40.019004821777344,40.06591796875,41.0543327331543,40.085506439208984,0,0,6.12993860244751
1769,40.08140182495117,15.48327922821045,40.07540512084961,40.10283660888672,40.00332260131836,40.15679168701172,40.298095703125,0,0,6.813835620880127
1770,40.018672943115234,14.81618881225586,40.197635650634766,40.01838684082031,40.146141052246094,40.03519058227539,40.04481887817383,0,0,6.079641342163086
1771,40.24094009399414,16.487546920776367,40.01857376098633,40.10002517700195,40.27888107299805,40.294586181640625,40.08381271362305,0,0,10.860685348510742
1772,40.05125427246094,18.779691696166992,40.099525451660156,40.05182647705078,40.044044494628906,43.56697082519531,40.091861724853516,0,0,7.321834087371826
1773,40.03460693359375,18.347856521606445,40.00259017944336,40.03531265258789,46.54580307006836,41.656036376953125,40.564208984375,0,0,16.908632278442383
1774,40.083717346191406,14.729318618774414,41.29130172729492,40.02751159667969,40.76976013183594,40.06541061401367,40.03489685058594,0,0,6.527451515197754
1775,40.028900146484375,14.867940902709961,40.76666259765625,40.02983474731445,40.05005645751953,40.34335708618164,40.00205612182617,0,0,6.007360935211182
1776,40.05953598022461,14.897138595581055,40.34749221801758,40.11575698852539,40.18217468261719,40.27996063232422,40.09434509277344,0,0,6.325839042663574
1777,40.067440032958984,15.57577896118164,40.04372787475586,40.278114318847656,40.04814910888672,40.601173400878906,40.0517463684082,0,0,6.72294282913208
1778,40.00215148925781,14.997559547424316,40.75211715698242,40.03542709350586,40.034576416015625,40.14320373535156,40.00157165527344,0,0,15.04348373413086
1779,40.146060943603516,15.396817207336426,40.26521301269531,40.05126953125,40.725830078125,40.26420974731445,40.003028869628906,0,0,15.016422271728516
1780,40.051029205322266,14.001001358032227,40.51694869995117,40.35521697998047,40.50566101074219,40.65355682373047,40.062294006347656,0,0,15.010765075683594
1781,40.23052978515625,15.536727905273438,40.344635009765625,40.00225830078125,40.12331008911133,41.31964874267578,40.06892013549805,0,0,15.189967155456543
1782,40.19721221923828,15.330979347229004,40.00224304199219,40.04367446899414,40.08296585083008,40.358638763427734,40.035037994384766,0,0,15.233623504638672
1783,40.49104309082031,19.229434967041016,40.06486892700195,40.344173431396484,41.52581787109375,42.97267150878906,40.197654724121094,0,0,15.021379470825195
1784,40.067649841308594,14.668521881103516,40.196937561035156,40.06678771972656,40.01926803588867,40.10055923461914,40.04226303100586,0,0,15.126986503601074
1785,40.1326789855957,16.425662994384766,40.05134201049805,40.08383560180664,40.16499710083008,40.01787185668945,40.11105728149414,0,0,15.043375968933105
1786,40.051246643066406,15.777097702026367,40.115604400634766,40.25400161743164,40.52552032470703,40.36774826049805,40.181495666503906,0,0,15.152144432067871
1787,40.027618408203125,14.83952808380127,40.27554702758789,40.09896469116211,40.16001892089844,40.04554748535156,40.071205139160156,0,0,15.044013977050781
1788,40.09743881225586,17.70720672607422,40.29691696166992,40.12122344970703,42.22957992553711,40.13558578491211,40.25627899169922,0,0,15.06761360168457
1789,40.03594970703125,15.376846313476562,40.09851837158203,40.094825744628906,40.581661224365234,40.062103271484375,40.017276763916016,0,0,15.9232177734375
1790,40.03498840332031,19.955833435058594,40.14256286621094,40.084190368652344,0,40.08360290527344,40.19976806640625,0,0,15.840740203857422
1791,40.0129280090332,17.265766143798828,40.099613189697266,40.13441467285156,0,40.531124114990234,40.05208969116211,0,0,15.006203651428223
1792,40.00210952758789,17.4097900390625,40.60439682006836,40.72206497192383,0,40.198246002197266,40.028839111328125,0,40.01074981689453,15.02157211303711
1793,40.026798248291016,17.225418090820312,40.034122467041016,40.03007888793945,0,40.00244903564453,40.01137161254883,0,40.19187927246094,15.173952102661133
1794,40.03468322753906,17.119592666625977,40.03498458862305,40.02845001220703,41.00617218017578,40.012569427490234,40.056610107421875,0,40.03504943847656,15.044427871704102
1795,40.11568832397461,19.586585998535156,40.26219177246094,40.13045883178711,62.258384704589844,40.64848709106445,40.06756591796875,0,40.00174331665039,18.324228286743164
1796,40.075565338134766,17.021638870239258,40.02678298950195,40.04829788208008,77.65789794921875,40.18134689331055,40.63401794433594,0,40.165122985839844,17.501941680908203
1797,40.25461196899414,20.43321418762207,41.05229568481445,40.06742477416992,166.58131408691406,40.40951919555664,41.01808547973633,0,40.22991943359375,17.957908630371094
1798,40.035186767578125,21.726545333862305,40.20895767211914,40.12472152709961,60.849945068359375,42.20163345336914,42.8737678527832,0,40.00285720825195,16.159076690673828
1799,40.01887512207031,23.590787887573242,40.01884078979492,41.0439338684082,77.78311920166016,40.215057373046875,245.19496154785156,0,40.27105712890625,16.91582489013672
1800,40.379676818847656,17.599695205688477,40.05206298828125,40.157676696777344,316.79315185546875,44.325260162353516,0,0,40.05130386352539,19.37452507019043
1801,40.30335235595703,18.494949340820312,40.669395446777344,41.25651168823242,40.496307373046875,40.32720184326172,0,0,40.37997817993164,16.03658676147461
1802,40.08319854736328,17.6657772064209,40.482627868652344,40.16494369506836,43.489524841308594,40.6376838684082,0,0,40.16520690917969,17.599462509155273
1803,40.127193450927734,17.208866119384766,40.36970520019531,40.06794357299805,45.432342529296875,40.34326934814453,0,0,40.017818450927734,16.18363380432129
1804,40.02305221557617,18.38226318359375,40.26409912109375,40.653785705566406,46.43325424194336,40.27909469604492,0,0,40.01316452026367,16.085704803466797
1805,40.01985549926758,17.469593048095703,40.327640533447266,40.00267028808594,40.08595275878906,84.18846893310547,0,0,40.13462829589844,16.986289978027344
1806,40.11652374267578,17.054933547973633,40.00391387939453,40.084320068359375,48.79376220703125,40.30058288574219,0,0,40.028133392333984,16.5900821685791
1807,40.046207427978516,29.940505981445312,40.22878646850586,40.311397552490234,40.40106201171875,48.55000305175781,0,0,40.2060432434082,17.42035675048828
1808,40.07854461669922,17.20998191833496,40.1562385559082,40.034664154052734,40.24709701538086,40.005615234375,0,0,40.067787170410156,16.615314483642578
1809,40.227996826171875,22.238433837890625,40.6153564453125,40.085304260253906,40.400718688964844,43.960365295410156,0,0,40.27070236206055,17.6834716796875
1810,40.04313278198242,18.21894073486328,40.24692916870117,40.21702575683594,41.23090744018555,44.42255783081055,0,0,40.02659606933594,16.077415466308594
1811,40.17499923706055,17.567241668701172,45.85002517700195,40.03483200073242,45.68146514892578,40.198265075683594,269.4617614746094,0,40.07551956176758,16.75623321533203
1812,43.02320861816406,25.79842758178711,40.175926208496094,40.010215759277344,44.006961822509766,42.634464263916016,41.111000061035156,0,40.598670959472656,28.978805541992188
1813,40.11013412475586,36.55777359008789,43.74702072143555,40.01810836791992,40.1883544921875,40.04973602294922,159.15615844726562,0,40.588592529296875,18.268959045410156
1814,40.05196762084961,21.295438766479492,40.66476821899414,40.24852752685547,43.125911712646484,40.083770751953125,156.3216552734375,0,40.669647216796875,16.412321090698242
1815,40.783409118652344,21.37954330444336,40.77619171142578,40.18146896362305,40.635887145996094,40.00193405151367,154.6259765625,0,40.58961868286133,16.297407150268555
1816,40.05480194091797,21.241809844970703,40.276580810546875,40.13265609741211,42.18297576904297,40.31253433227539,41.675533294677734,0,40.14934539794922,16.052949905395508
1817,40.37235641479492,17.975000381469727,40.01243591308594,40.0513916015625,41.256256103515625,40.5340461730957,52.909725189208984,0,40.09974670410156,16.829397201538086
1818,40.1680793762207,17.566911697387695,40.11738586425781,40.019046783447266,46.978519439697266,41.0970344543457,40.59121322631836,0,40.058982849121094,16.02082633972168
1819,40.068363189697266,19.08643913269043,40.47621154785156,40.109073638916016,40.39395523071289,40.13389205932617,49.21223449707031,0,40.14835739135742,17.82798194885254
1820,40.106468200683594,19.522111892700195,40.5382080078125,40.07473373413086,41.15852355957031,40.65805435180664,46.202884674072266,0,40.22248458862305,18.95722770690918
1821,40.06782150268555,17.35669708251953,41.17729568481445,40.04955291748047,44.82856369018555,40.358726501464844,41.848445892333984,0,40.132835388183594,16.18404769897461
1822,40.100826263427734,17.830486297607422,40.00553894042969,40.17266845703125,40.897674560546875,47.13486862182617,46.758975982666016,0,40.01295852661133,16.119312286376953
1823,40.093353271484375,18.394071578979492,40.192352294921875,40.05883026123047,41.89836120605469,56.104347229003906,46.68935775756836,0,40.04540252685547,16.020511627197266
1824,40.543663024902344,18.156089782714844,40.832157135009766,40.0357666015625,43.82721710205078,40.881797790527344,44.60381317138672,0,40.083255767822266,16.200624465942383
1825,40.29283142089844,40.60624694824219,0,40.34474182128906,40.95613479614258,42.81585693359375,72.17475128173828,0,40.084381103515625,16.844966888427734
1826,41.50290298461914,19.04709243774414,42.36149978637695,40.287437438964844,41.49920654296875,40.79384994506836,114.43211364746094,0,40.00342559814453,16.80739974975586
1827,40.39484786987305,18.87790298461914,41.45894241333008,40.001956939697266,41.66263198852539,44.89342498779297,40.360015869140625,0,40.116695404052734,17.876609802246094
1828,40.00249099731445,17.176368713378906,40.55592727661133,41.48363494873047,40.48253631591797,41.294342041015625,108.95978546142578,0,40.11017608642578,16.020915985107422
