year,CWTradKHA_03_,CWTradKHA_06_,CWTradKHA_09_,CWTradKHA_12_,CWTradKHA_14_,CWTradKHA_15_,CWTradKHA_16_,CWTradKHA_17_,CWTradKHA_19_,CWTradKHA_20_
1781,3.938821315765381,3.8131003379821777,4.060545444488525,3.0029406547546387,3.4458394050598145,4.397934436798096,4.470813751220703,0,0,4.028492450714111
1782,4.5184245109558105,4.193447589874268,4.65590763092041,3.430898427963257,4.106738567352295,4.275362014770508,4.12910270690918,0,0,4.445730686187744
1783,3.3018686771392822,3.050119161605835,3.6784396171569824,2.4857654571533203,3.253182888031006,3.166571855545044,3.7291014194488525,0,0,3.6317620277404785
1784,4.866367816925049,4.177814960479736,4.677401542663574,3.542448043823242,3.579596519470215,5.411325931549072,5.370071887969971,0,0,4.989219665527344
1785,4.63985538482666,3.8263773918151855,5.030930042266846,3.760112762451172,3.6850223541259766,5.008456707000732,4.9531073570251465,0,0,5.264326572418213
1786,3.1463232040405273,3.5983874797821045,3.823397159576416,3.132124900817871,3.327960252761841,4.059235095977783,4.190982341766357,0,0,3.78322172164917
1787,3.769650936126709,3.9303042888641357,3.6811399459838867,2.974743604660034,3.3768367767333984,4.43670654296875,4.327944278717041,0,0,4.50451135635376
1788,3.9380905628204346,3.8031961917877197,3.659435749053955,2.9351353645324707,3.142441987991333,4.365547180175781,4.1247878074646,0,0,4.017500877380371
1789,4.251983165740967,4.299476146697998,3.9424872398376465,3.760470151901245,3.338440179824829,5.432811260223389,5.096433162689209,0,0,4.766563892364502
1790,3.73978590965271,3.6568241119384766,3.7851078510284424,3.850811243057251,0,4.6916022300720215,3.8576982021331787,0,0,4.525901794433594
1791,3.908337116241455,4.207031726837158,4.129732608795166,3.9878756999969482,0,5.489046573638916,4.185420036315918,0,0,4.837336540222168
1792,4.033391952514648,3.3952767848968506,4.199884414672852,3.5560972690582275,0,5.223620414733887,4.1190619468688965,0,2.9223248958587646,5.155900001525879
1793,4.507297992706299,4.00253963470459,4.009092330932617,3.5789554119110107,0,6.112248420715332,4.350942134857178,0,2.8195621967315674,5.187388896942139
1794,4.145933151245117,4.543309211730957,4.508324146270752,3.6770272254943848,3.8669159412384033,6.4524312019348145,4.09266996383667,0,2.830538272857666,5.481924533843994
1795,3.7434747219085693,3.9731192588806152,4.31557559967041,3.410754680633545,3.5078835487365723,3.9685850143432617,3.731762170791626,0,2.9470784664154053,4.500298023223877
1796,3.7491891384124756,3.681856155395508,4.470255374908447,3.287412166595459,4.368081092834473,4.752365589141846,3.858058452606201,0,2.739262819290161,4.719356060028076
1797,3.5777781009674072,3.5344631671905518,4.045895576477051,2.736860513687134,3.8064024448394775,4.965463161468506,3.8100149631500244,0,2.829019546508789,4.1611127853393555
1798,3.327324628829956,2.931572198867798,4.008013725280762,2.692596673965454,3.2956113815307617,3.4678938388824463,4.21166467666626,0,2.9696338176727295,4.430734157562256
1799,3.399064779281616,3.1903955936431885,3.8109514713287354,2.6865904331207275,3.4739015102386475,4.042213439941406,3.6788105964660645,0,2.776339530944824,4.226527690887451
1800,3.4133424758911133,4.133238792419434,4.2241387367248535,3.0345299243927,3.4009056091308594,3.8653323650360107,-999,0,3.4992434978485107,4.632353782653809
1801,3.648315191268921,3.1483712196350098,4.007923126220703,2.689920425415039,3.579540729522705,4.530786037445068,-999,0,3.1372480392456055,4.61995792388916
1802,3.5762674808502197,3.3020548820495605,4.041029930114746,2.659540891647339,3.9847795963287354,4.436005592346191,-999,0,2.8796236515045166,4.341645240783691
1803,3.8441219329833984,3.9874672889709473,3.531769037246704,3.344848394393921,3.526921033859253,5.29868221282959,-999,0,2.9467384815216064,4.686034679412842
1804,4.873870372772217,4.370863437652588,4.451642990112305,3.192103147506714,3.8104135990142822,5.608283996582031,-999,0,3.206866502761841,5.377245903015137
1805,4.454752445220947,4.2716755867004395,4.437310695648193,3.310173988342285,3.9150822162628174,3.1376593112945557,-999,0,3.166741132736206,4.979162693023682
1806,4.599557399749756,4.641573429107666,4.131901264190674,3.592344284057617,3.7474000453948975,5.203837871551514,-999,0,3.575424909591675,5.266900539398193
1807,3.9383018016815186,3.6342616081237793,4.643583297729492,2.8464488983154297,4.344366073608398,3.586146354675293,-999,0,2.815849781036377,4.7743611335754395
1808,4.590505123138428,4.0239715576171875,4.3606061935424805,3.5568573474884033,3.9450371265411377,5.081806182861328,-999,0,3.0344080924987793,5.072155952453613
1809,3.670790672302246,3.283259391784668,4.3500590324401855,2.5576839447021484,3.9026246070861816,4.719258785247803,-999,0,2.754178762435913,3.854926824569702
1810,3.6517040729522705,3.7191402912139893,3.8270742893218994,3.5247974395751953,3.9059810638427734,4.347630500793457,-999,0,3.396643877029419,4.545470714569092
1811,4.758183479309082,4.828876972198486,3.825065851211548,5.299798011779785,3.987036943435669,4.603260040283203,-999,0,4.061737060546875,5.2975382804870605
1812,2.8217666149139404,3.023244619369507,3.9468624591827393,5.370792388916016,4.388495445251465,6.39629602432251,4.045998573303223,0,2.7699146270751953,4.09149694442749
1813,3.5348517894744873,3.3050761222839355,3.967952013015747,4.768817901611328,4.036741733551025,3.9785211086273193,4.5054779052734375,0,2.9328219890594482,4.132443904876709
1814,3.8036234378814697,3.856356620788574,3.889573097229004,4.768238067626953,4.0427727699279785,4.271123886108398,4.548009395599365,0,3.5275237560272217,4.749565124511719
1815,3.9648826122283936,3.6197354793548584,4.137003421783447,4.497325897216797,4.1810126304626465,4.926515579223633,3.9187891483306885,0,2.70676589012146,4.450361728668213
1816,4.1251630783081055,3.8257272243499756,4.267452716827393,4.872591972351074,4.205413341522217,3.7583463191986084,4.602697849273682,0,3.800490379333496,4.784492492675781
1817,3.814009428024292,3.4145450592041016,4.323794364929199,4.76024055480957,4.193032264709473,4.044009208679199,4.349917411804199,0,3.751884937286377,4.256353855133057
1818,4.381572246551514,4.000229358673096,4.334319591522217,3.798147439956665,3.7557806968688965,4.104659080505371,3.9815099239349365,0,3.712653160095215,5.549144268035889
1819,3.9866743087768555,3.663856029510498,4.646364212036133,3.854877471923828,4.176640033721924,4.087619781494141,4.307436466217041,0,3.816767692565918,4.056463718414307
1820,3.739527940750122,3.3990638256073,4.158078670501709,4.708095550537109,3.973134994506836,4.1193389892578125,3.5603325366973877,0,3.800231456756592,4.331784725189209
1821,4.067581653594971,4.070708274841309,4.350162982940674,4.454678058624268,3.9560635089874268,3.682164192199707,3.8659424781799316,0,4.116193771362305,4.545344829559326
