year,KhKHA_03_,KhKHA_06_,KhKHA_09_,KhKHA_12_,KhKHA_14_,KhKHA_15_,KhKHA_16_,KhKHA_17_,KhKHA_19_,KhKHA_20_
1797,9.709591928505916e-9,8.999768586875334e-9,1.3913630489183748e-8,2.9391376889554824e-8,1.2850302239497738e-9,6.9030682506120955e-9,2.945269721443337e-9,0,8.061257865094265e-9,4.562326252252394e-9
1798,3.720800581765169e-9,3.7587651301845885e-9,5.33887562941072e-9,1.853096774609863e-8,2.811336735044236e-10,1.193731467601855e-9,2.834471771952011e-10,0,2.635887339625039e-9,1.886916984924063e-9
1799,5.455651362735416e-9,8.384412118551942e-9,1.2761182728102634e-8,1.8002492937551764e-8,1.2619006630071783e-9,4.406722665467137e-9,6.74958437268155e-10,0,3.9258885224951204e-9,4.435227350298372e-9
1800,2.012092377626312e-9,5.719627175515446e-9,5.050820411919811e-9,1.1623615458541662e-8,5.3337183615274726e-11,1.3101885673637657e-9,0,0,1.4455605169829203e-9,2.5287885507821045e-9
1801,7.254365023759346e-9,1.683318387547526e-8,1.2791229302824218e-8,1.904107719509748e-8,3.6907063257739987e-9,6.675541685346586e-9,0,0,3.171567207095076e-9,3.897259065719918e-9
1802,8.373801059978501e-9,1.4399844254760377e-8,2.0581227814179458e-8,2.277951029664288e-8,2.9806017670570804e-9,8.095460993092404e-9,0,0,8.875057293758611e-9,6.159024431918414e-9
1803,9.697377801967684e-9,1.620615419799057e-8,8.232728128798655e-9,1.2726279555223033e-8,3.887089085144367e-9,9.345355300787747e-9,0,0,5.8305482238539766e-9,4.517442296431898e-9
1804,4.993767139770012e-9,1.107001313163116e-8,9.222810500545175e-9,1.2494843751253277e-8,2.1686636579706853e-9,6.473432983080418e-9,0,0,3.608272575692027e-9,3.728053705264462e-9
1805,1.1790690515431997e-8,1.2850527146809466e-8,1.603791718328902e-8,2.181515514076793e-8,5.42097520934981e-9,9.162855413931502e-11,0,0,5.845040433644294e-9,6.64913630176099e-9
1806,1.407648704393755e-8,1.792708186773657e-8,2.195689180145964e-8,2.6882457068347177e-8,7.62979889227283e-9,8.574919475466375e-9,0,0,6.818067627726234e-9,6.193641954774771e-9
1807,2.5137233072807396e-9,1.548741834297418e-9,7.264374758865513e-10,8.730124541108497e-9,2.2833957122678777e-9,6.776277259585271e-11,0,0,3.676124187048783e-9,1.6710736757920805e-9
1808,4.7574677009099055e-9,1.2229275086693304e-8,2.025894117724453e-8,1.5046240823675648e-8,4.2901277435289115e-9,1.1319363958156542e-8,0,0,1.058525717304949e-8,3.348910309993192e-9
1809,5.131355709211962e-9,1.1365544140692827e-8,8.150120740169589e-9,1.4429447872160365e-8,4.4975430384338585e-9,2.7340334076666474e-11,0,0,6.452511702046978e-9,2.839069729426851e-9
1810,3.315771944361141e-9,4.7851248447672914e-9,6.012222820456937e-9,6.472537996078802e-9,3.213369070591603e-9,1.5537628103533702e-9,0,0,3.226290054616151e-9,1.761822962736502e-9
1811,3.0978880263411937e-9,7.704819624130702e-9,5.180688691051948e-9,7.767018862951504e-9,1.9971918246695934e-9,1.1188176683667827e-8,2.14167293724663e-12,0,2.9800126367900774e-9,1.6375497180951354e-9
1812,7.639661479760781e-10,1.6284096824325915e-9,6.702203338919106e-10,8.90104372549796e-9,4.0155111466102e-10,1.2321132467473184e-12,7.957836157822629e-10,0,1.5621460404119326e-9,5.003957489045273e-10
1813,2.2830352574456286e-9,5.788036274385238e-9,1.089983693882444e-9,1.0446820325863128e-8,1.0700484163647257e-9,6.598335191458442e-9,3.4498521216785943e-9,0,3.0325943153234297e-9,1.0925815190017393e-9
1814,4.390402536220999e-9,7.385271968757337e-9,4.605566513890649e-9,1.2824642235342593e-8,1.901233701353923e-9,6.265483586331457e-9,2.508648310938627e-9,0,2.8967909773911837e-9,1.7471328417834382e-9
1815,2.5648110048112376e-9,4.588082229535099e-9,2.251716214125026e-9,8.300623610977418e-9,1.4632556091037987e-9,3.2486580692239674e-9,1.9697166164106176e-9,0,1.2672379707055217e-9,2.023968904788597e-9
1816,3.263250928761949e-9,8.182826996903405e-9,3.1708764135538277e-9,7.609163759016744e-9,1.1165611415660953e-9,6.245521922870903e-9,2.5869418640595053e-9,0,3.1250233776199708e-9,2.8255091701173223e-9
1817,4.384526507221742e-9,1.2885872984958638e-8,6.339506440862159e-9,9.389356958555007e-9,2.5528086210173826e-9,2.701097959573723e-9,2.0698404907865378e-9,0,5.809607307661302e-9,2.6502801493108147e-9
1818,6.768255376965228e-9,1.2346693875626468e-8,6.808694140011035e-9,1.3125822661606294e-8,1.635964867622119e-9,2.1306992452154743e-9,2.60502101926707e-9,0,9.29911951026996e-9,2.030154415853047e-9
1819,4.064699901960038e-9,8.035316830087433e-9,4.041332404903331e-9,1.7552919995951423e-8,8.999244123094712e-11,2.80235072755525e-9,1.0753475619224948e-9,0,1.8489001943282868e-9,4.4092732458088735e-10
1820,3.5029606956714456e-9,7.118012551458179e-9,3.68294759936153e-9,4.756823721596301e-9,2.5938604477840067e-10,1.6921447216271788e-10,1.59244387503432e-9,0,2.143420999896967e-9,1.6408081177500104e-9
1821,5.591816725829464e-9,1.2047833138914258e-8,1.0249867939541271e-8,1.764325294784792e-8,2.0049530464686112e-9,6.660167214413228e-9,6.312394398078299e-9,0,4.83121330922448e-9,2.1328019580376835e-9
1822,1.0630314019004757e-8,1.6078405084349553e-8,7.710234996473782e-9,1.801200191508725e-8,1.8546857144899443e-9,3.8779267458490305e-9,4.439582097424136e-9,0,5.886109473694747e-9,3.22019594405069e-9
1823,3.2600178919395607e-9,7.699811927907195e-9,2.7874524785326012e-9,7.521993592643333e-9,7.696762008192742e-11,3.8269966854324525e-10,8.80122812566862e-10,0,3.386806905696664e-9,1.4134774348558824e-9
1824,5.188696143645321e-9,8.14444793888442e-9,5.378774078242647e-9,5.482484063426148e-9,7.13744974749614e-10,8.175576654817897e-11,3.682679716009249e-10,0,4.659499406866364e-9,3.0222442716777906e-9
1825,3.2436946296756857e-10,1.7221231955662141e-9,0,3.100671527066605e-9,3.8687454701146316e-11,4.8520334998865894e-11,1.2316310055017395e-10,0,9.554061654707676e-10,6.408027221247765e-11
1826,3.4143083031072298e-9,8.613402394425241e-9,2.8130226021368713e-9,5.600112862853308e-9,4.231726852960229e-10,2.805325964319055e-10,1.5277764482637104e-9,0,2.8643083039470874e-9,2.0094322083541772e-9
1827,6.896957959534883e-9,7.532392108439688e-9,6.599383766519609e-9,4.570863750749446e-9,1.4337080019000014e-9,5.604647128063296e-10,2.947955657428124e-9,0,1.8431964377565928e-9,2.3343089322428832e-9
1828,1.410093306468853e-8,8.692944379740553e-9,1.1235744839605074e-8,1.217129705356332e-8,2.6715332213237157e-9,4.1508882432761096e-9,2.483576025134784e-9,0,7.867423195343232e-9,3.536733515001786e-9
